occ,y4_hhid,indidy4,male,age,relation_head,head,father_educ,mother_educ,over_12,cur_married,household_num,clusterid,rural,y4_weights,region_code,region_name,district_code,district_name,satisfy_school_age,read_wri_kiswa,school_exp,start_school_age,cur_school,school_lyear,educ_attain,primary,secondary,university,cur_grade,cur_prim,cur_second,cur_univ,public,board,transportation,time_to_school,free_meal_school,miss_school_lasttwo,absent_reason,access_textbook,homework_hour_week_fir,problem_school_fir,problem_school,problem_school_sec,psle,pass_psle,school_fee,book_mat,uniform_fee,transport_fee,extra_tuition,others,meal_cost,eduction_expendit_12m,adult_literacy_prog,unpaid_employee_12m,non_farm_12m,house_farm_12m,rental_pay_inc,priv_gov_inc,other_inc,income_known_sour
7,1006-001,7,0,7,SON/DAUGHTER,0,,,0,,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,45,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,12000,5500,12000,0,0,3500,38000,71000,0,0,0,0,0,0,0,0
1,1007-001,1,1,23,head,1,1,0,1,0,1007,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,1007-001,2,0,21,spouse,0,1,1,1,0,1007,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1007-001,3,0,0,SON/DAUGHTER,0,,,0,,1007,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1009-001,1,1,35,head,1,1,1,1,1,1009,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,1009-001,2,0,25,spouse,0,,0,1,1,1009,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1009-001,3,1,4,SON/DAUGHTER,0,,,0,,1009,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1019-001,1,0,31,head,1,,1,1,0,1019,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1019-001,2,0,10,SON/DAUGHTER,0,,,0,,1019,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,5,1,,,,,,Primary,1,0,0,1,0,0,45,0,yes,SCHOOL CLOSED IN BREAK,1,0,OTHER (SPECIFY),1,,0,,0,10500,50000,0,0,19000,34000,113500,0,0,0,0,0,0,0,0
1,1020-001,1,1,36,head,1,1,0,1,1,1020,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,9,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1020-001,2,0,30,spouse,0,1,1,1,1,1020,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1020-001,3,1,1,SON/DAUGHTER,0,,,0,,1020,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1021-001,1,1,27,head,1,1,1,1,0,1021,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,6,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1022-001,1,1,35,head,1,1,1,1,1,1022,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,1022-001,2,0,28,spouse,0,1,1,1,1,1022,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,1022-001,3,1,8,SON/DAUGHTER,0,,,0,,1022,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,6,1,,,,,,Primary,1,0,0,1,0,0,20,0,yes,SCHOOL CLOSED IN BREAK,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,26000,25000,0,0,3000,0,54000,0,0,0,0,0,0,0,0
4,1022-001,4,0,5,SON/DAUGHTER,0,,,0,,1022,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,0,1,5,1,,,,,,Others,0,0,0,0,0,0,10,1,yes,SCHOOL CLOSED IN BREAK,1,0,NO PROBLEMS (SATISFIED),0,,0,,40000,10000,25000,0,10000,1000,0,86000,0,0,0,0,0,0,0,0
1,1023-001,1,1,28,head,1,1,1,1,1,1023,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1023-001,2,0,23,spouse,0,1,1,1,1,1023,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1023-001,3,0,0,SON/DAUGHTER,0,,,0,,1023,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1024-001,1,1,28,head,1,1,1,1,0,1024,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,1,,,,,,University,0,0,1,0,0,1,30,0,yes,OTHER (SPECIFY),1,14,OTHER (SPECIFY),1,INADEQUATE BOOKS/TOOLS,1,1,1500000,300000,0,230400,50000,600000,1560000,4240400,0,1,0,0,0,0,0,0
2,1024-001,2,0,20,spouse,0,1,1,1,0,1024,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1024-001,3,0,0,SON/DAUGHTER,0,,,0,,1024,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1025-001,1,1,53,head,1,1,1,1,1,1025,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,12,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,1025-001,2,0,37,spouse,0,1,0,1,1,1025,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1026-001,1,0,22,head,1,1,1,1,0,1026,20210303304,0,5792.7813,arusha,ARUSHA,2,MERU,yes,0,1,8,1,,,,,,University,0,0,1,0,0,1,15,0,yes,ILLNESS CHILD,1,8,NO PROBLEMS (SATISFIED),0,,1,1,1500000,150000,0,240000,0,356000,0,2246000,0,0,0,0,0,0,0,0
1,1038-001,1,1,31,head,1,1,0,1,1,1038,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,1038-001,2,0,26,spouse,0,,,1,1,1038,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1038-001,3,1,7,SON/DAUGHTER,0,,,0,,1038,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,5,1,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,6000,20000,0,24000,30000,16000,96000,0,0,0,0,0,0,0,0
4,1038-001,4,1,3,SON/DAUGHTER,0,,,0,,1038,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5,1038-001,5,0,0,SON/DAUGHTER,0,,,0,,1038,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1039-001,1,1,31,head,1,1,1,1,1,1039,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1039-001,2,0,32,spouse,0,1,1,1,1,1039,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1039-001,3,1,6,SON/DAUGHTER,0,,,0,,1039,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,0,1,6,1,,,,,,Others,0,0,0,0,0,0,3,0,no,,0,0,NO PROBLEMS (SATISFIED),0,,0,,60000,2900,16000,0,0,0,0,78900,0,0,0,0,0,0,0,0
4,1039-001,4,1,0,SON/DAUGHTER,0,,,0,,1039,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1040-001,1,1,35,head,1,1,1,1,1,1040,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,6,0,0,University,0,0,1,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1040-001,2,0,31,spouse,0,1,1,1,1,1040,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,5,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1260000,90000,0,0,0,270000,0,1620000,0,1,0,0,0,0,0,0
3,1040-001,3,1,6,SON/DAUGHTER,0,,,0,,1040,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,5,1,,,,,,Primary,1,0,0,0,0,1,10,0,no,,1,7,NO PROBLEMS (SATISFIED),0,,0,,360000,100000,50000,0,0,450000,0,960000,0,0,0,0,0,0,0,0
4,1040-001,4,1,3,SON/DAUGHTER,0,,,0,,1040,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5,1040-001,5,0,0,SON/DAUGHTER,0,,,0,,1040,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1041-001,1,1,69,head,1,1,0,1,0,1041,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,960000,1584000,0,2544000
1,1042-001,1,1,29,head,1,1,1,1,1,1042,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,1042-001,2,0,26,spouse,0,1,1,1,1,1042,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1043-001,1,1,37,head,1,,0,1,1,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1043-001,2,0,37,spouse,0,1,1,1,1,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,9,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1043-001,3,0,12,SON/DAUGHTER,0,,,1,0,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,6,0,1,,,,,,,,,,,,,,,,,,,,,1,,600000,150000,110000,70000,40000,0,150000,1120000,0,0,0,0,0,0,0,0
4,1043-001,4,0,11,SON/DAUGHTER,0,,,0,,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,7,1,,,,,,Primary,1,0,0,0,0,1,20,0,no,,1,8,NO PROBLEMS (SATISFIED),0,,0,,600000,120000,110000,70000,40000,0,150000,1090000,0,0,0,0,0,0,0,0
5,1043-001,5,1,4,SON/DAUGHTER,0,,,0,,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
6,1043-001,6,1,2,SON/DAUGHTER,0,,,0,,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7,1043-001,7,0,18,OTHER RELATIVE(SPECIFY),0,1,1,1,0,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1043-001,8,0,21,OTHER RELATIVE(SPECIFY),0,1,1,1,0,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,9,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1043-001,9,0,15,OTHER RELATIVE(SPECIFY),0,1,1,1,0,1043,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,6,1,,,,,,Secondary,0,1,0,0,0,0,20,0,no,,1,8,NO PROBLEMS (SATISFIED),0,,1,0,770000,100000,110000,0,9000,20000,70000,1079000,0,0,0,0,0,0,0,0
1,1044-001,1,1,40,head,1,1,1,1,0,1044,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1044-001,2,0,28,spouse,0,,1,1,0,1044,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1044-001,3,1,1,SON/DAUGHTER,0,,,0,,1044,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1045-001,1,1,50,head,1,1,1,1,1,1045,20318204003,0,5305.0601,arusha,ARUSHA,3,ARUSHA MJINI,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1057-001,1,1,74,head,1,0,0,1,1,1057,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
2,1057-001,2,0,46,spouse,0,0,0,1,1,1057,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,1,1,11,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1058-001,1,1,25,head,1,1,1,1,1,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,1,1,10,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,1058-001,2,0,22,spouse,0,1,1,1,1,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,1,1,9,0,0,Secondary,0,1,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1058-001,3,0,11,OTHER RELATIVE(SPECIFY),0,1,1,0,,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,0,1,7,0,1,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1058-001,4,0,7,OTHER RELATIVE(SPECIFY),0,1,1,0,,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
5,1058-001,5,1,11,OTHER RELATIVE(SPECIFY),0,1,1,0,,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,0,1,7,0,1,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1058-001,6,1,0,SON/DAUGHTER,0,,,0,,1058,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1059-001,1,1,50,head,1,0,0,1,1,1059,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1059-001,2,0,46,spouse,0,1,,1,1,1059,20406105001,1,2855.916,arusha,ARUSHA,4,KARATU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
