interview__key,sdd_hhid,sourceid,ag12b_08,ag12b_09,ag12b_10
39-47-88-39,0018-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
39-47-88-39,0018-001-001,LARGE SCALE FARMER,NO,,
39-47-88-39,0018-001-001,RADIO,NO,,
39-47-88-39,0018-001-001,PUBLICATION,NO,,
39-47-88-39,0018-001-001,NEIGHBOUR,YES,NO,
39-47-88-39,0018-001-001,OTHER (SPECIFY),NO,,
40-73-12-41,0020-001-001,GOVERNMENT EXTENSION,NO,,
40-73-12-41,0020-001-001,NGO,NO,,
40-73-12-41,0020-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
40-73-12-41,0020-001-001,LARGE SCALE FARMER,NO,,
40-73-12-41,0020-001-001,RADIO,NO,,
40-73-12-41,0020-001-001,PUBLICATION,NO,,
40-73-12-41,0020-001-001,NEIGHBOUR,YES,NO,
40-73-12-41,0020-001-001,OTHER (SPECIFY),NO,,
91-29-35-18,0021-001-002,GOVERNMENT EXTENSION,,,
91-29-35-18,0021-001-002,NGO,,,
91-29-35-18,0021-001-002,COOPERATIVE/FARMER'S ASSOCIATION,,,
91-29-35-18,0021-001-002,LARGE SCALE FARMER,,,
91-29-35-18,0021-001-002,RADIO,,,
91-29-35-18,0021-001-002,PUBLICATION,,,
91-29-35-18,0021-001-002,NEIGHBOUR,,,
91-29-35-18,0021-001-002,OTHER (SPECIFY),,,
52-25-14-40,0023-001-001,GOVERNMENT EXTENSION,NO,,
52-25-14-40,0023-001-001,NGO,NO,,
52-25-14-40,0023-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
52-25-14-40,0023-001-001,LARGE SCALE FARMER,NO,,
52-25-14-40,0023-001-001,RADIO,NO,,
52-25-14-40,0023-001-001,PUBLICATION,NO,,
52-25-14-40,0023-001-001,NEIGHBOUR,NO,,
52-25-14-40,0023-001-001,OTHER (SPECIFY),YES,NO,
96-43-78-97,0024-001-001,GOVERNMENT EXTENSION,NO,,
96-43-78-97,0024-001-001,NGO,NO,,
96-43-78-97,0024-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
96-43-78-97,0024-001-001,LARGE SCALE FARMER,NO,,
96-43-78-97,0024-001-001,RADIO,YES,,
96-43-78-97,0024-001-001,PUBLICATION,NO,,
96-43-78-97,0024-001-001,NEIGHBOUR,NO,,
96-43-78-97,0024-001-001,OTHER (SPECIFY),NO,,
06-46-18-18,0026-001-001,GOVERNMENT EXTENSION,NO,,
06-46-18-18,0026-001-001,NGO,NO,,
06-46-18-18,0026-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
06-46-18-18,0026-001-001,LARGE SCALE FARMER,NO,,
06-46-18-18,0026-001-001,RADIO,NO,,
06-46-18-18,0026-001-001,PUBLICATION,NO,,
06-46-18-18,0026-001-001,NEIGHBOUR,YES,NO,
06-46-18-18,0026-001-001,OTHER (SPECIFY),NO,,
73-00-55-05,0028-001-001,GOVERNMENT EXTENSION,,,
73-00-55-05,0028-001-001,NGO,,,
73-00-55-05,0028-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
73-00-55-05,0028-001-001,LARGE SCALE FARMER,,,
73-00-55-05,0028-001-001,RADIO,,,
73-00-55-05,0028-001-001,PUBLICATION,,,
73-00-55-05,0028-001-001,NEIGHBOUR,,,
73-00-55-05,0028-001-001,OTHER (SPECIFY),,,
38-25-71-90,0029-001-001,GOVERNMENT EXTENSION,,,
38-25-71-90,0029-001-001,NGO,,,
38-25-71-90,0029-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
38-25-71-90,0029-001-001,LARGE SCALE FARMER,,,
38-25-71-90,0029-001-001,RADIO,,,
38-25-71-90,0029-001-001,PUBLICATION,,,
38-25-71-90,0029-001-001,NEIGHBOUR,,,
38-25-71-90,0029-001-001,OTHER (SPECIFY),,,
28-47-21-26,0030-001-001,GOVERNMENT EXTENSION,,,
28-47-21-26,0030-001-001,NGO,,,
28-47-21-26,0030-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
28-47-21-26,0030-001-001,LARGE SCALE FARMER,,,
28-47-21-26,0030-001-001,RADIO,,,
28-47-21-26,0030-001-001,PUBLICATION,,,
28-47-21-26,0030-001-001,NEIGHBOUR,,,
28-47-21-26,0030-001-001,OTHER (SPECIFY),,,
71-57-66-15,0031-001-001,GOVERNMENT EXTENSION,,,
71-57-66-15,0031-001-001,NGO,,,
71-57-66-15,0031-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
71-57-66-15,0031-001-001,LARGE SCALE FARMER,,,
71-57-66-15,0031-001-001,RADIO,,,
71-57-66-15,0031-001-001,PUBLICATION,,,
71-57-66-15,0031-001-001,NEIGHBOUR,,,
71-57-66-15,0031-001-001,OTHER (SPECIFY),,,
59-86-17-13,0032-001-001,GOVERNMENT EXTENSION,,,
59-86-17-13,0032-001-001,NGO,,,
59-86-17-13,0032-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
59-86-17-13,0032-001-001,LARGE SCALE FARMER,,,
59-86-17-13,0032-001-001,RADIO,,,
59-86-17-13,0032-001-001,PUBLICATION,,,
59-86-17-13,0032-001-001,NEIGHBOUR,,,
59-86-17-13,0032-001-001,OTHER (SPECIFY),,,
27-91-28-82,0033-001-001,GOVERNMENT EXTENSION,NO,,
27-91-28-82,0033-001-001,NGO,NO,,
27-91-28-82,0033-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
27-91-28-82,0033-001-001,LARGE SCALE FARMER,NO,,
27-91-28-82,0033-001-001,RADIO,NO,,
27-91-28-82,0033-001-001,PUBLICATION,NO,,
27-91-28-82,0033-001-001,NEIGHBOUR,NO,,
27-91-28-82,0033-001-001,OTHER (SPECIFY),NO,,
96-66-16-43,0034-001-001,GOVERNMENT EXTENSION,,,
96-66-16-43,0034-001-001,NGO,,,
96-66-16-43,0034-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
96-66-16-43,0034-001-001,LARGE SCALE FARMER,,,
96-66-16-43,0034-001-001,RADIO,,,
96-66-16-43,0034-001-001,PUBLICATION,,,
96-66-16-43,0034-001-001,NEIGHBOUR,,,
96-66-16-43,0034-001-001,OTHER (SPECIFY),,,
15-50-37-82,0036-001-001,GOVERNMENT EXTENSION,NO,,
15-50-37-82,0036-001-001,NGO,NO,,
15-50-37-82,0036-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
15-50-37-82,0036-001-001,LARGE SCALE FARMER,NO,,
15-50-37-82,0036-001-001,RADIO,NO,,
15-50-37-82,0036-001-001,PUBLICATION,NO,,
15-50-37-82,0036-001-001,NEIGHBOUR,NO,,
15-50-37-82,0036-001-001,OTHER (SPECIFY),NO,,
52-00-18-35,0038-001-001,GOVERNMENT EXTENSION,,,
52-00-18-35,0038-001-001,NGO,,,
52-00-18-35,0038-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
52-00-18-35,0038-001-001,LARGE SCALE FARMER,,,
52-00-18-35,0038-001-001,RADIO,,,
52-00-18-35,0038-001-001,PUBLICATION,,,
52-00-18-35,0038-001-001,NEIGHBOUR,,,
52-00-18-35,0038-001-001,OTHER (SPECIFY),,,
48-91-62-56,0039-001-001,GOVERNMENT EXTENSION,,,
48-91-62-56,0039-001-001,NGO,,,
48-91-62-56,0039-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
48-91-62-56,0039-001-001,LARGE SCALE FARMER,,,
48-91-62-56,0039-001-001,RADIO,,,
48-91-62-56,0039-001-001,PUBLICATION,,,
48-91-62-56,0039-001-001,NEIGHBOUR,,,
48-91-62-56,0039-001-001,OTHER (SPECIFY),,,
69-55-32-84,0040-001-001,GOVERNMENT EXTENSION,NO,,
69-55-32-84,0040-001-001,NGO,NO,,
69-55-32-84,0040-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
69-55-32-84,0040-001-001,LARGE SCALE FARMER,NO,,
69-55-32-84,0040-001-001,RADIO,NO,,
69-55-32-84,0040-001-001,PUBLICATION,NO,,
69-55-32-84,0040-001-001,NEIGHBOUR,NO,,
69-55-32-84,0040-001-001,OTHER (SPECIFY),NO,,
96-09-76-36,0041-001-001,GOVERNMENT EXTENSION,,,
96-09-76-36,0041-001-001,NGO,,,
96-09-76-36,0041-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
96-09-76-36,0041-001-001,LARGE SCALE FARMER,,,
96-09-76-36,0041-001-001,RADIO,,,
96-09-76-36,0041-001-001,PUBLICATION,,,
96-09-76-36,0041-001-001,NEIGHBOUR,,,
96-09-76-36,0041-001-001,OTHER (SPECIFY),,,
67-96-69-36,0041-004-001,GOVERNMENT EXTENSION,,,
67-96-69-36,0041-004-001,NGO,,,
67-96-69-36,0041-004-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
67-96-69-36,0041-004-001,LARGE SCALE FARMER,,,
67-96-69-36,0041-004-001,RADIO,,,
67-96-69-36,0041-004-001,PUBLICATION,,,
67-96-69-36,0041-004-001,NEIGHBOUR,,,
67-96-69-36,0041-004-001,OTHER (SPECIFY),,,
25-80-02-40,0042-001-001,GOVERNMENT EXTENSION,,,
25-80-02-40,0042-001-001,NGO,,,
25-80-02-40,0042-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
25-80-02-40,0042-001-001,LARGE SCALE FARMER,,,
25-80-02-40,0042-001-001,RADIO,,,
25-80-02-40,0042-001-001,PUBLICATION,,,
25-80-02-40,0042-001-001,NEIGHBOUR,,,
25-80-02-40,0042-001-001,OTHER (SPECIFY),,,
63-16-88-22,0042-001-002,GOVERNMENT EXTENSION,,,
63-16-88-22,0042-001-002,NGO,,,
63-16-88-22,0042-001-002,COOPERATIVE/FARMER'S ASSOCIATION,,,
63-16-88-22,0042-001-002,LARGE SCALE FARMER,,,
63-16-88-22,0042-001-002,RADIO,,,
63-16-88-22,0042-001-002,PUBLICATION,,,
63-16-88-22,0042-001-002,NEIGHBOUR,,,
63-16-88-22,0042-001-002,OTHER (SPECIFY),,,
13-15-52-70,0043-001-001,GOVERNMENT EXTENSION,,,
13-15-52-70,0043-001-001,NGO,,,
13-15-52-70,0043-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
13-15-52-70,0043-001-001,LARGE SCALE FARMER,,,
13-15-52-70,0043-001-001,RADIO,,,
13-15-52-70,0043-001-001,PUBLICATION,,,
13-15-52-70,0043-001-001,NEIGHBOUR,,,
13-15-52-70,0043-001-001,OTHER (SPECIFY),,,
22-43-84-51,0044-001-001,GOVERNMENT EXTENSION,,,
22-43-84-51,0044-001-001,NGO,,,
22-43-84-51,0044-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
22-43-84-51,0044-001-001,LARGE SCALE FARMER,,,
22-43-84-51,0044-001-001,RADIO,,,
22-43-84-51,0044-001-001,PUBLICATION,,,
22-43-84-51,0044-001-001,NEIGHBOUR,,,
22-43-84-51,0044-001-001,OTHER (SPECIFY),,,
73-81-30-49,0045-001-001,GOVERNMENT EXTENSION,NO,,
73-81-30-49,0045-001-001,NGO,NO,,
73-81-30-49,0045-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
73-81-30-49,0045-001-001,LARGE SCALE FARMER,NO,,
73-81-30-49,0045-001-001,RADIO,NO,,
73-81-30-49,0045-001-001,PUBLICATION,NO,,
73-81-30-49,0045-001-001,NEIGHBOUR,NO,,
73-81-30-49,0045-001-001,OTHER (SPECIFY),NO,,
43-77-98-27,0046-001-001,GOVERNMENT EXTENSION,NO,,
43-77-98-27,0046-001-001,NGO,NO,,
43-77-98-27,0046-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
43-77-98-27,0046-001-001,LARGE SCALE FARMER,NO,,
43-77-98-27,0046-001-001,RADIO,NO,,
43-77-98-27,0046-001-001,PUBLICATION,NO,,
43-77-98-27,0046-001-001,NEIGHBOUR,NO,,
43-77-98-27,0046-001-001,OTHER (SPECIFY),NO,,
24-75-61-52,0047-001-001,GOVERNMENT EXTENSION,NO,,
24-75-61-52,0047-001-001,NGO,NO,,
24-75-61-52,0047-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
24-75-61-52,0047-001-001,LARGE SCALE FARMER,NO,,
24-75-61-52,0047-001-001,RADIO,NO,,
24-75-61-52,0047-001-001,PUBLICATION,NO,,
24-75-61-52,0047-001-001,NEIGHBOUR,NO,,
24-75-61-52,0047-001-001,OTHER (SPECIFY),NO,,
97-60-31-67,0048-001-001,GOVERNMENT EXTENSION,NO,,
97-60-31-67,0048-001-001,NGO,NO,,
97-60-31-67,0048-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
97-60-31-67,0048-001-001,LARGE SCALE FARMER,NO,,
97-60-31-67,0048-001-001,RADIO,NO,,
97-60-31-67,0048-001-001,PUBLICATION,NO,,
97-60-31-67,0048-001-001,NEIGHBOUR,YES,NO,
97-60-31-67,0048-001-001,OTHER (SPECIFY),NO,,
03-68-77-59,0049-001-001,GOVERNMENT EXTENSION,NO,,
03-68-77-59,0049-001-001,NGO,NO,,
03-68-77-59,0049-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
03-68-77-59,0049-001-001,LARGE SCALE FARMER,NO,,
03-68-77-59,0049-001-001,RADIO,NO,,
03-68-77-59,0049-001-001,PUBLICATION,NO,,
03-68-77-59,0049-001-001,NEIGHBOUR,NO,,
03-68-77-59,0049-001-001,OTHER (SPECIFY),NO,,
88-71-20-70,0050-001-001,GOVERNMENT EXTENSION,NO,,
88-71-20-70,0050-001-001,NGO,NO,,
88-71-20-70,0050-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
88-71-20-70,0050-001-001,LARGE SCALE FARMER,NO,,
88-71-20-70,0050-001-001,RADIO,NO,,
88-71-20-70,0050-001-001,PUBLICATION,NO,,
88-71-20-70,0050-001-001,NEIGHBOUR,NO,,
88-71-20-70,0050-001-001,OTHER (SPECIFY),NO,,
62-93-39-20,0051-001-001,GOVERNMENT EXTENSION,NO,,
62-93-39-20,0051-001-001,NGO,NO,,
62-93-39-20,0051-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
62-93-39-20,0051-001-001,LARGE SCALE FARMER,NO,,
62-93-39-20,0051-001-001,RADIO,NO,,
62-93-39-20,0051-001-001,PUBLICATION,NO,,
62-93-39-20,0051-001-001,NEIGHBOUR,NO,,
62-93-39-20,0051-001-001,OTHER (SPECIFY),NO,,
92-89-07-22,0051-001-002,GOVERNMENT EXTENSION,,,
92-89-07-22,0051-001-002,NGO,,,
92-89-07-22,0051-001-002,COOPERATIVE/FARMER'S ASSOCIATION,,,
92-89-07-22,0051-001-002,LARGE SCALE FARMER,,,
92-89-07-22,0051-001-002,RADIO,,,
92-89-07-22,0051-001-002,PUBLICATION,,,
92-89-07-22,0051-001-002,NEIGHBOUR,,,
92-89-07-22,0051-001-002,OTHER (SPECIFY),,,
28-71-87-26,0051-001-003,GOVERNMENT EXTENSION,,,
28-71-87-26,0051-001-003,NGO,,,
28-71-87-26,0051-001-003,COOPERATIVE/FARMER'S ASSOCIATION,,,
28-71-87-26,0051-001-003,LARGE SCALE FARMER,,,
28-71-87-26,0051-001-003,RADIO,,,
28-71-87-26,0051-001-003,PUBLICATION,,,
28-71-87-26,0051-001-003,NEIGHBOUR,,,
28-71-87-26,0051-001-003,OTHER (SPECIFY),,,
00-72-79-53,0055-001-001,GOVERNMENT EXTENSION,NO,,
00-72-79-53,0055-001-001,NGO,NO,,
00-72-79-53,0055-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
00-72-79-53,0055-001-001,LARGE SCALE FARMER,NO,,
00-72-79-53,0055-001-001,RADIO,NO,,
00-72-79-53,0055-001-001,PUBLICATION,NO,,
00-72-79-53,0055-001-001,NEIGHBOUR,NO,,
00-72-79-53,0055-001-001,OTHER (SPECIFY),NO,,
72-59-54-68,0055-003-001,GOVERNMENT EXTENSION,,,
72-59-54-68,0055-003-001,NGO,,,
72-59-54-68,0055-003-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
72-59-54-68,0055-003-001,LARGE SCALE FARMER,,,
72-59-54-68,0055-003-001,RADIO,,,
72-59-54-68,0055-003-001,PUBLICATION,,,
72-59-54-68,0055-003-001,NEIGHBOUR,,,
72-59-54-68,0055-003-001,OTHER (SPECIFY),,,
73-41-85-14,0056-001-001,GOVERNMENT EXTENSION,NO,,
73-41-85-14,0056-001-001,NGO,NO,,
73-41-85-14,0056-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
73-41-85-14,0056-001-001,LARGE SCALE FARMER,NO,,
73-41-85-14,0056-001-001,RADIO,NO,,
73-41-85-14,0056-001-001,PUBLICATION,NO,,
73-41-85-14,0056-001-001,NEIGHBOUR,NO,,
73-41-85-14,0056-001-001,OTHER (SPECIFY),NO,,
16-64-27-88,0057-001-001,GOVERNMENT EXTENSION,NO,,
16-64-27-88,0057-001-001,NGO,NO,,
16-64-27-88,0057-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
16-64-27-88,0057-001-001,LARGE SCALE FARMER,NO,,
16-64-27-88,0057-001-001,RADIO,NO,,
16-64-27-88,0057-001-001,PUBLICATION,NO,,
16-64-27-88,0057-001-001,NEIGHBOUR,YES,NO,
