interview__key,sdd_hhid,itemcode,hh_l01,hh_l02a,hh_l02b,hh_l03
46-71-56-27,0001-004-001,GARMENTS FOR WOMEN,YES,180000,,
46-71-56-27,0001-004-001,GARMENTS FOR CHILDREN & BABIES,YES,40000,,
46-71-56-27,0001-004-001,FOOTWEAR FOR MEN,YES,35000,,
46-71-56-27,0001-004-001,FOOTWEAR FOR WOMEN,YES,20000,,
46-71-56-27,0001-004-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,15000,,
46-71-56-27,0001-004-001,"WOOD POLES, BAMBOO",YES,,40000,50000
46-71-56-27,0001-004-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
94-40-15-31,0001-004-002,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
94-40-15-31,0001-004-002,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
94-40-15-31,0001-004-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
94-40-15-31,0001-004-002,MOSQUITO NET,NO,,,
94-40-15-31,0001-004-002,MATTRESS,NO,,,
94-40-15-31,0001-004-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
94-40-15-31,0001-004-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
94-40-15-31,0001-004-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
94-40-15-31,0001-004-002,COUNCIL RATES,NO,,,
94-40-15-31,0001-004-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
94-40-15-31,0001-004-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
94-40-15-31,0001-004-002,FINES OR LEGAL FEES,NO,,,
94-40-15-31,0001-004-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
94-40-15-31,0001-004-002,FUNERAL COSTS,NO,,,
94-40-15-31,0001-004-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
94-40-15-31,0001-004-002,REPAIRS TO CONSUMER DURABLES,NO,,,
94-40-15-31,0001-004-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
94-40-15-31,0001-004-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
94-40-15-31,0001-004-002,GARMENTS FOR MEN,NO,,,
94-40-15-31,0001-004-002,GARMENTS FOR WOMEN,YES,26000,,
94-40-15-31,0001-004-002,GARMENTS FOR CHILDREN & BABIES,NO,,,
94-40-15-31,0001-004-002,FOOTWEAR FOR MEN,NO,,,
94-40-15-31,0001-004-002,FOOTWEAR FOR WOMEN,YES,6000,,
94-40-15-31,0001-004-002,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
94-40-15-31,0001-004-002,"WOOD POLES, BAMBOO",YES,,60000,60000
94-40-15-31,0001-004-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
50-85-79-66,0003-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
50-85-79-66,0003-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
50-85-79-66,0003-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
50-85-79-66,0003-001-001,MOSQUITO NET,YES,25000,,
50-85-79-66,0003-001-001,MATTRESS,NO,,,
50-85-79-66,0003-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
50-85-79-66,0003-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
50-85-79-66,0003-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
50-85-79-66,0003-001-001,COUNCIL RATES,NO,,,
50-85-79-66,0003-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
50-85-79-66,0003-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
50-85-79-66,0003-001-001,FINES OR LEGAL FEES,NO,,,
50-85-79-66,0003-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,60000,,
50-85-79-66,0003-001-001,FUNERAL COSTS,YES,70000,,
50-85-79-66,0003-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
50-85-79-66,0003-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
50-85-79-66,0003-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
50-85-79-66,0003-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
50-85-79-66,0003-001-001,GARMENTS FOR MEN,YES,300000,,
50-85-79-66,0003-001-001,GARMENTS FOR WOMEN,YES,150000,,
50-85-79-66,0003-001-001,GARMENTS FOR CHILDREN & BABIES,YES,45000,,
50-85-79-66,0003-001-001,FOOTWEAR FOR MEN,YES,60000,,
50-85-79-66,0003-001-001,FOOTWEAR FOR WOMEN,YES,80000,,
50-85-79-66,0003-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,34000,,
50-85-79-66,0003-001-001,"WOOD POLES, BAMBOO",YES,,55000,55000
50-85-79-66,0003-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
98-30-81-51,0004-001-001,"CARPET, RUGS, DRAPES, CURTAINS",YES,30000,,
98-30-81-51,0004-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,24000,,
98-30-81-51,0004-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
98-30-81-51,0004-001-001,MOSQUITO NET,NO,,,
98-30-81-51,0004-001-001,MATTRESS,NO,,,
98-30-81-51,0004-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",YES,17000,,
98-30-81-51,0004-001-001,"FILM, FILM PROCESSING, CAMERA",YES,5000,,
98-30-81-51,0004-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",YES,25000,,
98-30-81-51,0004-001-001,COUNCIL RATES,NO,,,
98-30-81-51,0004-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
98-30-81-51,0004-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
98-30-81-51,0004-001-001,FINES OR LEGAL FEES,NO,,,
98-30-81-51,0004-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
98-30-81-51,0004-001-001,FUNERAL COSTS,YES,5000,,
98-30-81-51,0004-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
98-30-81-51,0004-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
98-30-81-51,0004-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",YES,10000,,
98-30-81-51,0004-001-001,REPAIRS & MAINTENANCE TO DWELLING,YES,155000,,
98-30-81-51,0004-001-001,GARMENTS FOR MEN,YES,65000,,
98-30-81-51,0004-001-001,GARMENTS FOR WOMEN,YES,50000,,
98-30-81-51,0004-001-001,GARMENTS FOR CHILDREN & BABIES,YES,75000,,
98-30-81-51,0004-001-001,FOOTWEAR FOR MEN,YES,50000,,
98-30-81-51,0004-001-001,FOOTWEAR FOR WOMEN,YES,24000,,
98-30-81-51,0004-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,30000,,
98-30-81-51,0004-001-001,"WOOD POLES, BAMBOO",NO,,,
98-30-81-51,0004-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
71-75-12-39,0005-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
71-75-12-39,0005-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,68000,,
71-75-12-39,0005-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
71-75-12-39,0005-001-001,MOSQUITO NET,NO,,,
71-75-12-39,0005-001-001,MATTRESS,YES,150000,,
71-75-12-39,0005-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
71-75-12-39,0005-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
71-75-12-39,0005-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
71-75-12-39,0005-001-001,COUNCIL RATES,NO,,,
71-75-12-39,0005-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
71-75-12-39,0005-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
71-75-12-39,0005-001-001,FINES OR LEGAL FEES,NO,,,
71-75-12-39,0005-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
71-75-12-39,0005-001-001,FUNERAL COSTS,YES,5000,,
71-75-12-39,0005-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
71-75-12-39,0005-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
71-75-12-39,0005-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
71-75-12-39,0005-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
71-75-12-39,0005-001-001,GARMENTS FOR MEN,YES,30000,,
71-75-12-39,0005-001-001,GARMENTS FOR WOMEN,YES,60000,,
71-75-12-39,0005-001-001,GARMENTS FOR CHILDREN & BABIES,YES,150000,,
71-75-12-39,0005-001-001,FOOTWEAR FOR MEN,YES,5000,,
71-75-12-39,0005-001-001,FOOTWEAR FOR WOMEN,YES,10000,,
71-75-12-39,0005-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,15000,,
71-75-12-39,0005-001-001,"WOOD POLES, BAMBOO",YES,,160000,160000
71-75-12-39,0005-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
98-53-45-06,0007-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
98-53-45-06,0007-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
98-53-45-06,0007-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
98-53-45-06,0007-001-001,MOSQUITO NET,NO,,,
98-53-45-06,0007-001-001,MATTRESS,NO,,,
98-53-45-06,0007-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
98-53-45-06,0007-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
98-53-45-06,0007-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",YES,160000,,
98-53-45-06,0007-001-001,COUNCIL RATES,NO,,,
98-53-45-06,0007-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
98-53-45-06,0007-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
98-53-45-06,0007-001-001,FINES OR LEGAL FEES,NO,,,
98-53-45-06,0007-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
98-53-45-06,0007-001-001,FUNERAL COSTS,YES,6000,,
98-53-45-06,0007-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
98-53-45-06,0007-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
98-53-45-06,0007-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
98-53-45-06,0007-001-001,REPAIRS & MAINTENANCE TO DWELLING,YES,20000,,
98-53-45-06,0007-001-001,GARMENTS FOR MEN,YES,42000,,
98-53-45-06,0007-001-001,GARMENTS FOR WOMEN,YES,25000,,
98-53-45-06,0007-001-001,GARMENTS FOR CHILDREN & BABIES,YES,64000,,
98-53-45-06,0007-001-001,FOOTWEAR FOR MEN,NO,,,
98-53-45-06,0007-001-001,FOOTWEAR FOR WOMEN,YES,5000,,
98-53-45-06,0007-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,16000,,
98-53-45-06,0007-001-001,"WOOD POLES, BAMBOO",YES,,120000,120000
98-53-45-06,0007-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,YES,,20000,20000
20-72-78-84,0009-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
20-72-78-84,0009-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
20-72-78-84,0009-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
20-72-78-84,0009-001-001,MOSQUITO NET,NO,,,
20-72-78-84,0009-001-001,MATTRESS,NO,,,
20-72-78-84,0009-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
20-72-78-84,0009-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
20-72-78-84,0009-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
20-72-78-84,0009-001-001,COUNCIL RATES,NO,,,
20-72-78-84,0009-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
20-72-78-84,0009-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
20-72-78-84,0009-001-001,FINES OR LEGAL FEES,NO,,,
20-72-78-84,0009-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
20-72-78-84,0009-001-001,FUNERAL COSTS,YES,11000,,
20-72-78-84,0009-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
20-72-78-84,0009-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
20-72-78-84,0009-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
20-72-78-84,0009-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
20-72-78-84,0009-001-001,GARMENTS FOR MEN,NO,,,
20-72-78-84,0009-001-001,GARMENTS FOR WOMEN,NO,,,
20-72-78-84,0009-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
20-72-78-84,0009-001-001,FOOTWEAR FOR MEN,NO,,,
20-72-78-84,0009-001-001,FOOTWEAR FOR WOMEN,NO,,,
20-72-78-84,0009-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
20-72-78-84,0009-001-001,"WOOD POLES, BAMBOO",YES,,120000,120000
20-72-78-84,0009-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
90-18-72-04,0010-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
90-18-72-04,0010-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
90-18-72-04,0010-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
90-18-72-04,0010-001-001,MOSQUITO NET,NO,,,
90-18-72-04,0010-001-001,MATTRESS,NO,,,
90-18-72-04,0010-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
90-18-72-04,0010-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
90-18-72-04,0010-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
90-18-72-04,0010-001-001,COUNCIL RATES,NO,,,
90-18-72-04,0010-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
90-18-72-04,0010-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
90-18-72-04,0010-001-001,FINES OR LEGAL FEES,NO,,,
90-18-72-04,0010-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
90-18-72-04,0010-001-001,FUNERAL COSTS,YES,12000,,
90-18-72-04,0010-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
90-18-72-04,0010-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
90-18-72-04,0010-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
90-18-72-04,0010-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
90-18-72-04,0010-001-001,GARMENTS FOR MEN,YES,30000,,
90-18-72-04,0010-001-001,GARMENTS FOR WOMEN,YES,30000,,
90-18-72-04,0010-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
90-18-72-04,0010-001-001,FOOTWEAR FOR MEN,YES,10000,,
90-18-72-04,0010-001-001,FOOTWEAR FOR WOMEN,YES,12000,,
90-18-72-04,0010-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
90-18-72-04,0010-001-001,"WOOD POLES, BAMBOO",YES,,96000,96000
90-18-72-04,0010-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
85-64-65-42,0011-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
85-64-65-42,0011-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
85-64-65-42,0011-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
85-64-65-42,0011-001-001,MOSQUITO NET,NO,,,
85-64-65-42,0011-001-001,MATTRESS,NO,,,
85-64-65-42,0011-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
85-64-65-42,0011-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
85-64-65-42,0011-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
85-64-65-42,0011-001-001,COUNCIL RATES,NO,,,
85-64-65-42,0011-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
85-64-65-42,0011-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
85-64-65-42,0011-001-001,FINES OR LEGAL FEES,NO,,,
85-64-65-42,0011-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
85-64-65-42,0011-001-001,FUNERAL COSTS,NO,,,
85-64-65-42,0011-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
85-64-65-42,0011-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
85-64-65-42,0011-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
85-64-65-42,0011-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
85-64-65-42,0011-001-001,GARMENTS FOR MEN,YES,30000,,
85-64-65-42,0011-001-001,GARMENTS FOR WOMEN,YES,28000,,
85-64-65-42,0011-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
85-64-65-42,0011-001-001,FOOTWEAR FOR MEN,YES,15000,,
85-64-65-42,0011-001-001,FOOTWEAR FOR WOMEN,YES,5000,,
85-64-65-42,0011-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
85-64-65-42,0011-001-001,"WOOD POLES, BAMBOO",NO,,,
85-64-65-42,0011-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
52-32-57-20,0012-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
52-32-57-20,0012-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
52-32-57-20,0012-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
52-32-57-20,0012-001-001,MOSQUITO NET,NO,,,
52-32-57-20,0012-001-001,MATTRESS,NO,,,
52-32-57-20,0012-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
