interview__key,sdd_hhid,hh_n01a,enterprise_id,hh_n02_2,hh_n02_3a,hh_n02_3,hh_n03_1,hh_n03_2,hh_n03_3,hh_n03_4,hh_n03_5,hh_n03_6,hh_n04a,hh_n04b,hh_n04_1,hh_n04_2,hh_n04_3,hh_n05_1,hh_n05_2,hh_n06,hh_n07_1,hh_n07_2,hh_n08_1,hh_n08_2,hh_n08_3,hh_n09_1,hh_n09_2,hh_n10,hh_n11,hh_n12,hh_n13_1,hh_n13_2,hh_n14_1,hh_n14_2,hh_n15,hh_n16,hh_n17,hh_n18,hh_n19,hh_n20,hh_n21_1,hh_n21_2,hh_n21_3,hh_n21_4
82-18-18-76,0017-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,YES,1,KUSAGISHA UNGA,Manufacturing,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,3,2,OWN SAVINGS,,,FINAL CONSUMERS,,13000000,0,0,MONTH,450000,MONTH,300000,1,30000,0,120000,12,200000,NO,YES,YES,NO
39-47-88-39,0018-001-001,YES,2,KUNUNUA NGURUWE NA KUUZA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,1,0,PROCEEDS FROM NON-AG BUSINESS,,,SMALL BUSINESS,,0,0,0,MONTH,6000000,MONTH,2000000,0,0,0,0,3,1000000,NO,NO,NO,NO
40-73-12-41,0020-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,YES,1,STUDIO ZA KUBURN MUZIKI NA MOVIE,Arts; entertainment and recreation,"CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES",2,,,,,,2,,2,YES,,2,,PERMANENT BLDG. OTHER THAN HOME,2,3,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,1400000,0,0,WEEK,49000,WEEK,46500,0,0,0,10000,12,50000,NO,NO,NO,NO
91-29-35-18,0021-001-002,YES,2,BIASHARA YA VIPODOZI,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,5,,,,,,5,,5,YES,,5,,PERMANENT BLDG. OTHER THAN HOME,2,1,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,500000,0,2500000,MONTH,420000,MONTH,100000,0,0,0,5000,12,120000,NO,NO,NO,NO
52-25-14-40,0023-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,YES,1,KUFUNDISHA TUTION,Education,EDUCATION,2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,16,6,OWN SAVINGS,,,OTHER (SPECIFY),,1500000,0,0,MONTH,120000,MONTH,120000,0,0,0,0,12,100000,NO,NO,NO,NO
96-43-78-97,0024-001-001,YES,2,KUUZA MBOGA ZA MAJANI BUSTANINI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",2,,,,,,2,,2,YES,,2,,CLIENT'S/EMPLOYER'S HOUSE,2,5,OWN SAVINGS,,,FINAL CONSUMERS,,50000,0,20000,MONTH,60000,MONTH,40000,0,0,0,0,5,30000,NO,NO,NO,NO
06-46-18-18,0026-001-001,YES,1,KUUZA MITUMBA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,FIXED STALL/KIOSK - IN MARKET,4,5,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,6000,0,200000,WEEK,350000,WEEK,50000,0,0,0,0,12,50000,NO,NO,NO,NO
73-00-55-05,0028-001-001,YES,1,KUUZA KARANGA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",2,,,,,,2,,2,YES,,2,,FIXED STALL/ KIOSK - STREET,0,1,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,0,0,9000,WEEK,9000,WEEK,4000,0,0,6000,1000,1,4000,NO,NO,NO,NO
38-25-71-90,0029-001-001,YES,1,KUUZA NDIZI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,14,0,OWN SAVINGS,,,FINAL CONSUMERS,,10000,0,15000,MONTH,100000,MONTH,40000,0,0,0,0,12,30000,NO,NO,NO,NO
28-47-21-26,0030-001-001,YES,1,KUUZA MITUMBA,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,3,2,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,5000,0,60000,MONTH,100000,MONTH,50000,0,0,0,0,9,60000,NO,NO,NO,NO
71-57-66-15,0031-001-001,YES,1,KUUZA MBOGAMBOGA NA MATUNDA,Accommodation and food service activities,FOOD AND BEVERAGE SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,OTHER TEMPORARY STRUCTURE,3,3,OWN SAVINGS,,,FINAL CONSUMERS,,10000,0,250000,WEEK,250000,WEEK,30000,0,0,0,0,12,120000,NO,NO,NO,NO
71-57-66-15,0031-001-001,YES,2,KUUZA KARANGA,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,0,5,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,5000,0,0,WEEK,168000,WEEK,42000,0,0,126000,0,5,168000,NO,NO,NO,NO
59-86-17-13,0032-001-001,YES,1,BROCKER WA KUUZA MADINI,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,35,6,PROCEEDS FROM NON-AG BUSINESS,OWN SAVINGS,,SMALL BUSINESS,LARGE ESTABLISHED BUSINESS,0,0,0,MONTH,300000,MONTH,300000,0,0,0,0,12,250000,NO,NO,YES,NO
27-91-28-82,0033-001-001,YES,1,MAMA LISHE,Accommodation and food service activities,RESTAURANTS AND MOBILE FOOD SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,FIXED STALL/KIOSK - IN MARKET,19,5,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,500000,35000,50000,MONTH,940000,MONTH,360000,0,0,520000,35000,12,370000,NO,NO,YES,NO
96-66-16-43,0034-001-001,YES,1,FUNDI GEREJI,"Wholesale and retail trade, repair of motor vehicles and motorcycles",WHOLESALE AND RETAIL TRADE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1,5,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,40,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,40000000,0,0,MONTH,1300000,MONTH,1000000,2,300000,0,0,12,600000,NO,YES,NO,NO
15-50-37-82,0036-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,YES,1,KUUZA VIATU,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,10,0,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,350000,0,200000,MONTH,470000,MONTH,120000,0,0,0,0,12,120000,NO,YES,NO,NO
48-91-62-56,0039-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,YES,1,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",3,,,,,,3,,3,YES,,3,,NO FIXED LOCATION/MOBILE,1,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,0,0,0,MONTH,0,MONTH,0,0,0,0,0,4,180000,NO,NO,NO,NO
63-16-88-22,0042-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,YES,1,KUTENGENEZA SOFA,Manufacturing,MANUFACTURE OF FURNITURE,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,10,6,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,100000,0,850000,MONTH,1700000,MONTH,400000,1,100000,1200000,0,12,400000,NO,YES,NO,NO
13-15-52-70,0043-001-001,YES,2,BIASHARA YA GENGE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITHOUT SPECIAL BUS. SPACE,0,8,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,10000,0,12000,WEEK,35000,WEEK,14000,0,0,0,0,8,56000,NO,NO,NO,NO
22-43-84-51,0044-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,YES,1,KUUZA MASHUKA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,0,12,OWN SAVINGS,,,FINAL CONSUMERS,,15000,0,45000,WEEK,75000,WEEK,26000,0,0,0,0,2,115000,NO,NO,YES,NO
73-81-30-49,0045-001-001,YES,2,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",2,,,,,,2,,2,YES,,2,,OTHER (SPECIFY),2,0,LOAN FROM MONEY LENDER,,,FINAL CONSUMERS,,20000,0,0,MONTH,460000,MONTH,165000,0,0,0,0,6,150000,NO,NO,YES,NO
73-81-30-49,0045-001-001,YES,3,KUUZA NDIZI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",2,,,,,,2,,2,YES,,2,,OTHER TEMPORARY STRUCTURE,0,6,OWN SAVINGS,,,FINAL CONSUMERS,,20000,0,40000,MONTH,210000,MONTH,90000,0,0,0,0,6,100000,NO,NO,YES,NO
43-77-98-27,0046-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,YES,1,BIASHARA YA STATIONERY,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE OF OTHER GOODS IN SPECIALIZED STORES,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,3,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,3000000,0,12000000,WEEK,1800000,WEEK,450000,0,0,0,40000,12,1800000,NO,YES,YES,NO
00-72-79-53,0055-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,YES,1,BIASHARA YA  SALOON,Arts; entertainment and recreation,"CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES",2,,,,,,2,,2,YES,,2,,PERMANENT BLDG. OTHER THAN HOME,5,3,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,1200000,200000,0,MONTH,650000,MONTH,390000,0,0,250000,10000,12,400000,NO,NO,NO,NO
77-68-44-59,0059-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,YES,1,KUUZA NGUO,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,FIXED STALL/ KIOSK - STREET,5,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,155800,0,1200000,WEEK,200000,WEEK,30000,0,0,0,0,12,120000,NO,NO,NO,NO
45-55-29-47,0061-001-001,YES,2,KUUZA MIKATE,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,"VEHICLE, CART, TEMP. STALL - STREET",5,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,40000,0,160000,WEEK,100000,WEEK,70000,0,0,0,0,12,300000,NO,NO,NO,NO
45-55-29-47,0061-001-001,YES,3,BIASHARA YA POOLTABLE,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,10,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,1800000,0,0,WEEK,70000,WEEK,70000,0,0,0,0,12,280000,NO,NO,NO,NO
47-61-12-15,0062-001-001,YES,1,BIASHARA YA GENGE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,0,7,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,5000,0,10000,MONTH,120000,MONTH,40000,0,0,0,0,7,40000,NO,NO,NO,NO
35-43-12-92,0062-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,YES,1,BIASHARA YA GENGE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,2,,,,,,2,,2,YES,,2,,FIXED STALL/KIOSK - IN MARKET,0,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,27000,0,50000,WEEK,72000,WEEK,12000,0,0,0,0,2,48000,NO,NO,NO,NO
56-72-41-10,0062-001-005,YES,1,BIASHARA YA USAFIRISHAJI,Transportation and storage,OTHER PASSENGER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,0,1,LOAN FROM MONEY LENDER,,,FINAL CONSUMERS,,10000000,0,0,WEEK,180000,WEEK,50000,1,240000,0,250000,1,130000,NO,YES,NO,NO
20-34-21-50,0062-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,YES,1,BIASHARA YA VIATU,Manufacturing,MANUFACTURE OF DAIRY PRODUCTS,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,2,2,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,SMALL BUSINESS,200000,33000,400000,MONTH,800000,MONTH,300000,8,200000,300000,0,12,225000,NO,NO,YES,NO
47-38-96-20,0065-001-001,YES,1,BIASHARA YA GENGE,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,3,5,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,5000,0,10000,MONTH,150000,MONTH,60000,0,0,0,0,12,60000,NO,NO,NO,NO
68-03-68-88,0066-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-00-08-27,0066-003-004,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-98-19-65,0066-003-005,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-00-30-36,0066-003-006,YES,1,UUZAJI WA BIDHAA MBALIMBALI ZA MAHITAJI YA NYUMBANI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,0,8,PROCEEDS FROM ANOTHER AGRICULTURAL BUSINESS,,,FINAL CONSUMERS,,250000,0,500000,MONTH,300000,MONTH,120000,0,0,0,5000,8,100000,NO,NO,YES,NO
47-27-42-34,0067-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-84-05-95,0067-001-002,YES,1,FUNDI CHEREHANI,Manufacturing,MANUFACTURE OF WEARING APPAREL,2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,11,8,OWN SAVINGS,GIFT FROM FAMILY/FRIENDS,,FINAL CONSUMERS,,350000,17000,0,MONTH,30000,MONTH,24000,0,0,6000,0,7,45000,NO,NO,NO,NO
33-84-05-95,0067-001-002,YES,2,KUUZA MKAA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,0,4,PROCEEDS FROM NON-AG BUSINESS,OWN SAVINGS,,FINAL CONSUMERS,,12000,0,5000,MONTH,60000,MONTH,12000,0,0,48000,0,4,20000,NO,NO,NO,NO
13-42-14-49,0067-004-001,YES,1,UUZAJI WA VITUNGUU NA NYANYA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",3,,,,,,3,,3,YES,,3,,W/IN OWN OR BUS. PARTNER'S HOME - WITHOUT SPECIAL BUS. SPACE,0,3,OWN SAVINGS,PROCEEDS FROM NON-AG BUSINESS,,FINAL CONSUMERS,,0,0,1000,WEEK,2500,WEEK,1000,0,0,0,0,3,5000,NO,NO,NO,NO
81-85-31-88,0069-002-001,YES,1,KUUZA BIA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,1,1,PROCEEDS FROM ANOTHER AGRICULTURAL BUSINESS,,,FINAL CONSUMERS,,65000,0,7500,MONTH,240000,MONTH,24000,0,0,216000,0,4,30000,NO,NO,YES,NO
91-76-63-44,0071-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-33-13-06,0071-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-54-53-99,0072-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,YES,1,DUKA,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,1,6,,,,,1,,6,YES,,1,6,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,10,8,OWN SAVINGS,,,FINAL CONSUMERS,,250000,0,2800000,MONTH,750000,MONTH,150000,0,0,600000,0,12,180000,NO,NO,NO,NO
09-96-03-52,0073-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-43-63-02,0075-001-003,YES,1,UTENGENEZAJI WA FENICHA (VITANDA),Manufacturing,MANUFACTURE OF FURNITURE,3,,,,,,3,,3,YES,,3,,W/IN OWN OR BUS. PARTNER'S HOME - WITHOUT SPECIAL BUS. SPACE,3,6,OWN SAVINGS,GIFT FROM FAMILY/FRIENDS,,FINAL CONSUMERS,,200000,0,0,MONTH,80000,MONTH,80000,0,0,0,0,7,60000,NO,NO,NO,NO
69-76-07-75,0077-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
