interview__key,sdd_hhid,sdd_indid,asset_id,hh_g201,asset_no,hh_g202,hh_g203,hh_g204,hh_g205,hh_g206_1,hh_g206_2,hh_g206_3,hh_g207,hh_g208a,hh_g208b,hh_g209_1,hh_g209_2,hh_g209_3,hh_g210a,hh_g210b,hh_g211,hh_g212,hh_g213,hh_g214_1,hh_g214_2,hh_g214_3
58-42-71-45,0015-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,4000000,NO,,,,
58-42-71-45,0015-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,2,,1,0,2000000,NO,,,,
39-47-88-39,0018-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,0,NO,,,,
91-29-35-18,0021-001-002,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,1,1,1400000,NO,,,,
52-25-14-40,0023-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
96-43-78-97,0024-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,DO NOT KNOW,NO,,,,
96-43-78-97,0024-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,4,,,0,0,255000,NO,,,,
96-43-78-97,0024-001-001,4,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,26500,NO,,,,
59-86-17-13,0032-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,0,NO,,,,
96-66-16-43,0034-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,120000,NO,,,,
15-50-37-82,0036-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,140000,NO,,,,
96-09-76-36,0041-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,630000,NO,,,,
67-96-69-36,0041-004-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,10,25,17500000,NO,,,,
73-81-30-49,0045-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,80000,NO,,,,
24-75-61-52,0047-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
62-93-39-20,0051-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,500000,NO,,,,
62-93-39-20,0051-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,DO NOT KNOW,NO,,,,
92-89-07-22,0051-001-002,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
28-71-87-26,0051-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
28-71-87-26,0051-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,REFUSE TO ANSWER,NO,,,,
28-71-87-26,0051-001-003,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,400000,NO,,,,
72-59-54-68,0055-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,1,0,3094000,NO,,,,
45-55-29-47,0061-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,DO NOT KNOW,NO,,,,
56-72-41-10,0062-001-005,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,380000,NO,,,,
20-34-21-50,0062-004-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,500000,NO,,,,
67-14-39-51,0063-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
47-27-42-34,0067-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,36000,NO,,,,
47-27-42-34,0067-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,4,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,4,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,4,,,0,0,25000,NO,,,,
47-27-42-34,0067-001-001,4,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,4,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,4,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
65-72-13-93,0082-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
65-72-13-93,0082-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,500000,NO,,,,
65-72-13-93,0082-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
65-72-13-93,0082-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
65-72-13-93,0082-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,DO NOT KNOW,NO,,,,
43-70-22-69,0082-003-002,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
43-56-83-29,0082-005-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
43-56-83-29,0082-005-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
43-56-83-29,0082-005-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
43-56-83-29,0082-005-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
43-56-83-29,0082-005-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,4,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,4,,,0,0,200000,NO,,,,
82-24-69-15,0083-001-001,4,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,4,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,4,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,4,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
07-11-78-55,0087-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
07-11-78-55,0087-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,125000,NO,,,,
07-11-78-55,0087-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
07-11-78-55,0087-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
07-11-78-55,0087-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
74-12-78-76,0088-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
74-12-78-76,0088-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
74-12-78-76,0088-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
74-12-78-76,0088-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,200000,NO,,,,
74-12-78-76,0088-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,25000,NO,,,,
42-78-55-98,0091-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,0,NO,,,,
18-41-40-51,0093-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,3,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,3,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,3,,,0,0,85000,NO,,,,
18-41-40-51,0093-001-001,3,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,3,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
