interview__key,sdd_hhid,lvstckid,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
94-40-15-31,0001-004-002,DOGS,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,POULTRY,YES,SMALL POX (NDUI),,,,NO,,,,,,NO,,,,,,"YES, SOME",THE HOUSEHOLD,3000
71-75-12-39,0005-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,LARGE RUMINANTS,YES,ECF (NDIGANA KALI),FOOT ROT,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),ECF (NDIGANA KALI),,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",DIPPING / DIP TANK,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,45000
98-53-45-06,0007-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),GOMBORO (GUMBORO),,,NO,,,,,,NO,,,,,,NO,,0
98-53-45-06,0007-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,LARGE RUMINANTS,YES,NOT SICK,,,,NO,,,,,,NO,,NO,,NO,,NO,,0
20-72-78-84,0009-001-001,SMALL RUMINANTS,YES,NOT SICK,,,,NO,,,,,,NO,,NO,,NO,,NO,,0
20-72-78-84,0009-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,POULTRY,NO,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,LARGE RUMINANTS,YES,NOT SICK,,,,NO,,,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,NO,,5000
52-32-57-20,0012-001-001,SMALL RUMINANTS,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,CCPP (HOMA YA MAPAFU KWA MBUZI),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,NO,,NO,,24000
52-32-57-20,0012-001-001,PIGS,YES,NOT SICK,,,,NO,,,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,NO,,NO,,11000
52-32-57-20,0012-001-001,POULTRY,YES,NOT SICK,,,,NO,,,,,,NO,,,,,,NO,,0
52-32-57-20,0012-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,PIGS,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,POULTRY,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,DONKEYS,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,DOGS,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,PIGS,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,POULTRY,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,DOGS,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,LARGE RUMINANTS,YES,CBPP (HOMA YA MAPAFU),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),CBPP (HOMA YA MAPAFU),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,61000
58-42-71-45,0015-001-001,SMALL RUMINANTS,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),CBPP (HOMA YA MAPAFU),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,NO,,40000
58-42-71-45,0015-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,NO,,,,,,NO,,,,,,NO,,0
58-42-71-45,0015-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,PIGS,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,POULTRY,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,DOGS,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,POULTRY,YES,NOT SICK,,,,NO,,,,,,NO,,,,,,NO,,0
39-47-88-39,0018-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,POULTRY,YES,NOT SICK,,,,NO,,,,,,NO,,,,,,NO,,0
40-73-12-41,0020-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,POULTRY,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),,,,NO,,,,,,NO,,6000
96-43-78-97,0024-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,LARGE RUMINANTS,YES,FMD (UGONWA WA MIGUU NA MIDOMO),,,,NO,,,,,,NO,,NO,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,16000
38-25-71-90,0029-001-001,SMALL RUMINANTS,YES,HELMINTHIOSIS,,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),CBPP (HOMA YA MAPAFU),ECF (NDIGANA KALI),,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,11000
38-25-71-90,0029-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,POULTRY,YES,NOT SICK,,,,NO,,,,,,NO,,,,,,NO,,0
38-25-71-90,0029-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,DOGS,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,RABIES (KICHAA CHA MBWA),,,,,,,,,,,,
28-47-21-26,0030-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,POULTRY,YES,FMD (UGONWA WA MIGUU NA MIDOMO),SMALL POX (NDUI),,,"YES, ALL ANIMALS AT LEAST ONCE",PRIVATE CLINIC,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, ALL ANIMALS AT LEAST ONCE",PRIVATE VET CLINIC,,,,,"YES, ALL ANIMALS AT LEAST ONCE",PRIVATE VET CLINIC,30000
28-47-21-26,0030-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,LARGE RUMINANTS,YES,NOT SICK,,,,NO,,,,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,NO,,4000
71-57-66-15,0031-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,POULTRY,NO,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,POULTRY,YES,NOT SICK,,,,NO,,,,,,NO,,,,,,NO,,0
52-00-18-35,0038-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,PIGS,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,POULTRY,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,DOGS,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
