interview__key,sdd_hhid,wqt_selection,wqt_prob,wqt_blank_s,wqt_blank_p,wqt_01,wqt_02,wqt_03,wqt_04,wqt_05,wqt_06,wqt_07_1,wqt_07_2,wqt_07_3,wqt_08,wqt_09,wqt_10,wqt_11,wqt_12,wqt_13__Latitude,wqt_13__Longitude,wqt_13__Accuracy,wqt_13__Altitude,wqt_13__Timestamp,wqt_14,wqt_15,wqt_16,wqt_17,wqt_18,wqt_19a,wqt_19,wqt_20,wqr_01a,wqr_01,wqr_02,wqr_03,wqr_04,wqr_05,wqr_06,wqr_07a,wqr_07,wqr_08,wqr_09,wqr_10,wqr_11,wqr_12,wqr_13,wqr_14,wqr_15,wqr_16,wqr_17,wqr_18
85-64-65-42,0011-001-001,YES,1,NO,,YES,1,2019-06-07T17:43:28,YES,COVERED CONTAINER,NO,,,,2019-06-07T17:43:44,2019-06-07T17:53:36,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",YES,,-6.4080644,36.8423822,16.5,1831.5,2019-06-06T14:57:59,YES,2019-06-07T18:06:45,2019-06-07T18:16:05,2019-06-07T18:42:32,1008858,NO,,,NO,2019-06-09T08:15:15,78,wqr_03__.jpg,2019-06-09T08:16:29,1,YES,YES,2019-06-09T08:16:50,101,wqr_09__.jpg,2019-06-09T08:17:50,3,YES,,,,,,
52-32-57-20,0012-001-001,YES,0.60000002,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,YES,0.60000002,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,YES,0.60000002,YES,0.16666667,NO,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,YES,0.60000002,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,YES,1,NO,,YES,1,2019-05-29T17:14:10,YES,COVERED CONTAINER,YES,STRAINED IT THROUGH A CLOTH,,,2019-05-29T17:14:31,2019-05-29T17:24:56,PROTECTED DUG WELL,YES,,-6.9700227,36.9226257,14.5,516.70001220703125,2019-05-29T15:35:45,YES,2019-05-29T17:47:34,2019-05-29T17:53:53,2019-05-29T18:17:40,1008961,NO,,,YES,2019-05-30T21:37:26,33,wqr_03__.jpg,2019-05-30T21:39:45,0,YES,YES,2019-05-30T21:40:27,101,wqr_09__.jpg,2019-05-30T21:41:20,64,YES,,,,,,
82-18-18-76,0017-002-001,YES,1,NO,,YES,1,2019-06-05T12:11:26,YES,COVERED CONTAINER,NO,,,,2019-06-05T12:12:37,2019-06-05T12:33:04,"PIPED WATER - PIPED INTO COMPOUND, YARD OR PLOT",YES,,-6.8126635,37.6720951,31,481.3999938964844,2019-06-05T13:00:39,YES,2019-06-05T12:37:21,2019-06-05T12:54:49,2019-06-05T13:03:41,1008724,NO,,,NO,2019-06-07T07:31:30,22,wqr_03__.jpg,2019-06-07T07:32:33,0,YES,YES,2019-06-07T07:34:20,2,wqr_09__.jpg,2019-06-07T07:39:10,0,NO,,,,,,
39-47-88-39,0018-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,YES,1,NO,,YES,1,2019-07-16T17:26:39,YES,COVERED CONTAINER,NO,,,,2019-07-16T17:27:05,2019-07-16T17:48:05,BOTTLED WATER,YES,,-3.3813793,35.8190367,11,1202.300048828125,2019-07-16T15:25:22,YES,2019-07-16T17:51:28,2019-07-16T17:58:12,2019-07-16T18:00:39,,NO,,,NO,2019-07-17T16:07:16,0,wqr_03__.jpg,2019-07-17T16:08:02,0,NO,YES,2019-07-17T16:08:17,0,wqr_09__.jpg,2019-07-17T16:11:02,0,NO,,,,,,
96-66-16-43,0034-001-001,YES,0.66666669,YES,0.16666667,NO,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,YES,1,NO,,YES,1,2019-07-17T12:08:23,YES,COVERED CONTAINER,YES,BOIL,,,2019-07-17T12:11:04,2019-07-17T12:16:14,PIPED WATER - PUBLIC TAP / STANDPIPE,YES,,-3.3636345,35.814995,14.5,1266.5,2019-07-17T10:29:21,YES,2019-07-17T12:37:02,2019-07-17T12:47:05,,,NO,,,YES,2019-07-18T19:30:05,101,wqr_03__.jpg,2019-07-18T19:31:16,36,YES,YES,2019-07-18T19:31:45,101,wqr_09__.jpg,2019-07-18T19:33:26,3,YES,,,,,,
52-00-18-35,0038-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,YES,1,YES,0.25,YES,1,2019-06-29T11:39:27,YES,COVERED CONTAINER,NO,,,,,2019-06-29T11:40:36,CART WITH SMALL TANK/DRUM,NO,OTHER (SPECIFY),,,,,,,,,,,YES,,2019-07-01T08:14:20,NO,,,,2019-07-01T08:12:22,14,YES,,,,,,,,,,,2019-07-01T08:25:01,0,NO
69-55-32-84,0040-001-001,YES,1,NO,,YES,1,2019-07-16T14:18:28,YES,COVERED CONTAINER,NO,,,,2019-07-16T14:22:31,2019-07-16T14:31:26,TUBEWELL/BOREHOLE,YES,,-3.3742135,35.8091196,18.5,1217.800048828125,2019-07-16T14:22:00,YES,2019-07-16T14:48:34,2019-07-16T14:53:01,,,NO,,,NO,2019-07-18T07:54:38,0,wqr_03__.jpg,2019-07-18T07:57:13,0,NO,YES,2019-07-18T07:58:13,3,wqr_09__.jpg,2019-07-18T07:59:13,0,YES,,,,,,
96-09-76-36,0041-001-001,YES,1,NO,,YES,1,2019-07-17T14:37:10,YES,COVERED CONTAINER,NO,,,,2019-07-17T14:37:45,2019-07-17T14:48:21,TUBEWELL/BOREHOLE,YES,,-3.3636843,35.8154557,14.5,1286.300048828125,2019-07-17T12:23:13,NO,,,,,NO,,,NO,2019-07-18T21:17:27,4,wqr_03__.jpg,2019-07-18T21:18:47,0,NO,NO,,,,,,,,,,,,
67-96-69-36,0041-004-001,YES,1,NO,,YES,1,2019-06-28T17:58:55,YES,COVERED CONTAINER,NO,,,,,2019-06-28T19:00:12,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-3.3330091,35.6569332,19.5,1525.4000244140625,2019-06-28T15:32:07,YES,,2019-06-28T19:00:22,,,NO,,,NO,,,,2019-06-29T19:30:01,0,YES,YES,,,,2019-06-29T19:31:20,0,YES,,,,,,
25-80-02-40,0042-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,YES,1,NO,,YES,2,2019-06-28T12:08:13,YES,COVERED CONTAINER,NO,,,,,2019-06-28T12:09:00,CART WITH SMALL TANK/DRUM,NO,OTHER (SPECIFY),,,,,,,,,,,NO,,,NO,,,,2019-06-29T18:30:13,0,YES,,,,,,,,,,,,,
22-43-84-51,0044-001-001,YES,1,NO,,YES,2,2019-06-28T11:08:30,YES,COVERED CONTAINER,NO,,,,,2019-06-28T11:11:00,PIPED WATER - PUBLIC TAP / STANDPIPE,YES,,-3.3733035,35.8160259,13.5,1235.300048828125,2019-06-28T11:09:25,YES,,2019-06-28T14:21:59,,,NO,,,NO,,,,2019-06-29T17:09:08,0,YES,YES,,,,2019-06-29T17:11:18,0,NO,,,,,,
73-81-30-49,0045-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,YES,1,YES,0.16666667,YES,6,2019-07-18T14:16:09,YES,COVERED CONTAINER,NO,,,,2019-07-18T14:20:36,2019-07-18T14:25:25,PIPED WATER - PUBLIC TAP / STANDPIPE,YES,,-3.3337545,35.8241888,17,1360.5,2019-07-18T11:19:09,YES,2019-07-18T14:46:19,2019-07-18T14:49:17,,,YES,2019-07-18T14:53:17,2019-07-18T15:00:38,NO,2019-07-20T09:11:53,8,wqr_03__.jpg,2019-07-20T09:13:42,8,YES,YES,2019-07-20T09:14:10,3,wqr_09__.jpg,2019-07-20T09:15:03,0,YES,2019-07-20T09:15:43,0,wqr_15__.jpg,2019-07-20T09:16:27,0,NO
24-75-61-52,0047-001-001,YES,1,NO,,YES,2,2019-07-18T14:45:29,YES,COVERED CONTAINER,YES,BOIL,,,2019-07-18T14:46:16,2019-07-18T14:53:46,PIPED WATER - PUBLIC TAP / STANDPIPE,YES,,-3.3272319,35.8117688,20,1299.699951171875,2019-07-18T11:48:26,NO,,,,,NO,,,YES,2019-07-20T09:11:28,101,wqr_03__.jpg,2019-07-20T09:12:07,7,YES,NO,,,,,,,,,,,,
97-60-31-67,0048-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-72-79-53,0055-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,YES,0.85714287,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-43-12-92,0062-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-38-96-20,0065-001-001,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
68-03-68-88,0066-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-00-08-27,0066-003-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-98-19-65,0066-003-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-00-30-36,0066-003-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-84-05-95,0067-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,YES,1,NO,,YES,1,2019-05-01T15:03:43,YES,COVERED CONTAINER,NO,,,,2019-05-01T15:04:13,2019-05-01T15:10:42,UNPROTECTED SPRING,YES,,-4.7464662,38.6290562,15,528.4000244140625,2019-05-01T12:19:31,YES,2019-05-01T15:18:25,2019-05-01T15:40:47,,,NO,,,NO,2019-05-02T18:58:03,101,wqr_03__.jpg,2019-05-02T19:00:30,7,YES,YES,2019-05-02T19:01:04,101,wqr_09__.jpg,2019-05-02T19:01:33,7,YES,,,,,,
91-76-63-44,0071-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-33-13-06,0071-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-54-53-99,0072-003-001,YES,1,YES,0.2,YES,1,2019-04-26T17:20:59,YES,COVERED CONTAINER,NO,,,,2019-04-26T17:22:02,2019-04-26T17:39:51,PROTECTED DUG WELL,YES,,-5.2375832,38.8349049,13.5,185,2019-04-26T14:57:56,YES,2019-04-26T17:59:21,2019-04-26T18:07:09,2019-04-26T18:15:54,1008880,YES,2019-04-26T18:32:55,2019-04-26T18:39:46,NO,2019-04-27T20:58:51,101,wqr_03__.jpg,2019-04-27T21:02:15,23,YES,YES,2019-04-27T21:02:52,101,wqr_09__.jpg,2019-04-27T21:03:29,4,YES,2019-04-27T21:04:56,0,wqr_15__.jpg,2019-04-27T21:05:33,0,YES
86-08-97-34,0073-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-96-03-52,0073-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-43-63-02,0075-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-76-07-75,0077-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-60-48-21,0077-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09-85-87,0079-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-16-68-29,0080-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-35-18-51,0081-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-96-35-07,0081-004-001,YES,1,NO,,YES,1,2019-04-30T10:52:28,YES,COVERED CONTAINER,NO,,,,2019-04-30T10:57:33,2019-04-30T11:08:40,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",YES,,-4.8943285,38.6147188,16.5,1092.199951171875,2019-04-30T08:25:44,YES,2019-04-30T11:25:43,2019-04-30T11:29:44,2019-04-30T11:36:50,,NO,,,NO,2019-05-02T12:49:01,101,wqr_03__.jpg,2019-05-02T12:50:49,13,YES,YES,2019-05-02T12:51:36,101,wqr_09__.jpg,2019-05-02T12:53:58,6,YES,,,,,,
61-09-91-34,0082-001-001,YES,0.75,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
65-72-13-93,0082-003-001,YES,0.75,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-63-97-41,0082-004-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-56-83-29,0082-005-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,YES,0.75,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
71-57-99-29,0084-001-001,YES,0.75,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
74-56-02-42,0084-002-001,YES,0.75,YES,0.16666667,NO,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,
70-36-26-23,0085-001-001,YES,0.75,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
12-34-17-02,0085-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-51-26-77,0085-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-61-34-21,0086-001-001,YES,0.66666669,NO,,YES,1,2019-05-10T14:27:10,YES,COVERED CONTAINER,NO,,,,2019-05-10T14:27:46,2019-05-10T14:27:48,PROTECTED DUG WELL,YES,,-6.9915835,39.4278736,12.5,3,2019-05-10T13:05:25,YES,2019-05-10T16:05:57,2019-05-10T16:06:07,,,NO,,,NO,2019-05-11T23:41:09,101,wqr_03__.jpg,2019-05-11T23:42:08,1,YES,YES,2019-05-11T23:42:50,101,wqr_09__.jpg,2019-05-11T23:43:40,9,YES,,,,,,
07-11-78-55,0087-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-78-44-09,0087-001-002,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
74-12-78-76,0088-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-53-89-65,0089-001-001,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
67-17-25-56,0089-002-001,YES,0.85714287,YES,0.16666667,NO,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,
11-84-02-64,0089-002-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-79-88-08,0090-001-001,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
43-96-03-62,0090-001-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-67-04-36,0092-001-001,YES,0.85714287,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,YES,0.85714287,YES,0.16666667,YES,2,2019-05-13T13:58:31,YES,COVERED CONTAINER,NO,,,,2019-05-13T14:00:03,2019-05-13T14:30:46,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.8237527,39.2417777,30,29.200000762939453,2019-05-13T14:00:28,YES,2019-05-13T14:31:10,2019-05-13T14:44:25,,,YES,2019-05-13T22:42:32,2019-05-13T22:50:20,NO,2019-05-15T22:54:58,101,wqr_03__.jpg,2019-05-15T22:55:46,7,YES,YES,2019-05-15T22:57:10,0,wqr_09__.jpg,2019-05-15T22:58:02,0,NO,2019-05-15T23:03:54,0,wqr_15__.jpg,2019-05-15T23:04:44,0,NO
70-24-33-41,0096-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-11-56-10,0096-002-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-19-63-23,0097-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-47-38-83,0097-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76-46-87-39,0098-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-69-28-73,0099-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-12-11-68,0099-001-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-61-44,0099-001-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-94-75-73,0099-008-001,YES,1,NO,,YES,1,2019-04-27T15:55:25,YES,COVERED CONTAINER,NO,,,,2019-04-27T15:56:32,2019-04-27T16:03:59,PIPED WATER - PUBLIC TAP / STANDPIPE,YES,,-5.0559839,38.9679628,15,66.80000305175781,2019-04-27T13:13:40,YES,2019-04-27T16:14:13,2019-04-27T16:35:42,,,NO,,,NO,2019-04-29T08:32:43,29,wqr_03__.jpg,2019-04-29T08:35:55,1,YES,YES,2019-04-29T08:36:52,1,wqr_09__.jpg,2019-04-29T08:37:53,0,YES,,,,,,
73-19-77-82,0100-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-74-53-75,0101-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-26-05-62,0101-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-18-15-86,0101-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-76-11-58,0101-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-87-89-06,0102-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-27-24-08,0103-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-86-51-55,0104-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
