interview__key,sdd_hhid,plotnum,cropid,ag4a_01,ag4a_02,ag4a_03,ag4a_04,ag4a_05,ag4a_06,ag4a_08,ag4a_10_1,ag4a_10_2,ag4a_10a_1,ag4a_10a_2,ag4a_10b,ag4a_10c_1,ag4a_10c_2,ag4a_12,ag4a_13_1,ag4a_13_2,ag4a_17,ag4a_18,ag4a_19,ag4a_20,ag4a_21,ag4a_22,ag4a_23,ag4a_24_1,ag4a_24_2,ag4a_25,ag4a_26,ag4a_27,ag4a_28,ag4a_29_1,ag4a_29_2
71-75-12-39,0005-001-001,2,2,NO,3/4,LACK OF TOOLS/EQUIPMENTS,NO,,MPUNGA KIENYEJI,TRADITIONAL,1,20 LITER BUCKET,HAKUNA,,,HAKUNA,,,,,YES,BIRDS,YES,,1,YES,DROUGHT,AUGUST,AUGUST,,,1050,700000,1,2
98-53-45-06,0007-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",15,KG,15,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,DROUGHT,YES,,2,YES,DROUGHT,MAY,JUNE,,,330,95000,1,2
98-53-45-06,0007-001-001,1,4,YES,,,YES,MORE FERTILE FOR THE SOIL,UWELE,TRADITIONAL,12,KG,12,KG,TRADITIONAL,HAKUNA,,,,,YES,BIRDS,YES,,2,NO,,JUNE,JULY,,,390,90000,1,2
98-53-45-06,0007-001-001,1,20,YES,,,YES,MORE FERTILE FOR THE SOIL,MBAAZI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,YES,DROUGHT,YES,,1.5,NO,,SEPTEMBER,SEPTEMBER,,,125,25000,1,2
98-53-45-06,0007-001-001,1,26,YES,,,YES,MORE FERTILE FOR THE SOIL,NYEUSI,TRADITIONAL,8,KG,8,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,2,NO,,JULY,AUGUST,,,195,90000,1,2
20-72-78-84,0009-001-001,1,3,YES,,,NO,,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,DRY,,,,,,,,,,,
20-72-78-84,0009-001-001,2,3,NO,1/4,WAS DIVIDED,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,DRY,,,,,,,,,,,
90-18-72-04,0010-001-001,1,1,YES,,,NO,,KIENYEJI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,8000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,1,YES,DROUGHT,JUNE,JUNE,,,120,60000,1,2
90-18-72-04,0010-001-001,3,1,YES,,,NO,,KIENYEJI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,JUNE,JUNE,,,80,80000,1,2
90-18-72-04,0010-001-001,4,1,YES,,,NO,,KIENYEJI,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,JUNE,JUNE,,,60,60000,1,2
85-64-65-42,0011-001-001,3,1,YES,,,NO,,MAHINDI,TRADITIONAL,14,KG,14,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,YES,DROUGHT,JULY,JULY,,,600,360000,1,
52-32-57-20,0012-001-001,1,3,YES,,,NO,,MTAMA MWEUPE,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,JUNE,JULY,,,960,240000,1,
52-32-57-20,0012-001-001,2,1,NO,1/2,DROUGHT,YES,MORE FERTILE FOR THE SOIL,MAHINDI KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,YES,DROUGHT,MAY,JUNE,,,324,90000,1,
52-32-57-20,0012-001-001,2,3,YES,,,YES,MORE FERTILE FOR THE SOIL,MTAMA MWEUPE,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,7,NO,,JUNE,JUNE,,,1280,320000,1,
31-30-77-11,0012-003-001,1,3,YES,,,YES,MORE FERTILE FOR THE SOIL,MTAMA MWEUPE,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,DROUGHT,YES,,2,YES,DROUGHT,JUNE,HARVEST NOT YET COMPLETE,2,8,380,190000,1,
31-30-77-11,0012-003-001,1,20,NO,1/4,"OTHER, SPECIFY",YES,MORE FERTILE FOR THE SOIL,KISASA,"IMPROVED, RECYCLED",1,SMALL CUP,1,SMALL CUP,IMPROVED RECYCLED,HAKUNA,,,,,YES,DROUGHT,NO,STILL IN PLOT,,,,,,,,,,,
18-76-19-96,0013-001-001,1,1,NO,1/4,LACK OF TOOLS/EQUIPMENTS,NO,,MBEGU KUBWA,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,YES,DROUGHT,JULY,JUNE,,,108,24000,1,
58-42-71-45,0015-001-001,1,1,YES,,,NO,,KIENYEJI,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3.5,YES,DROUGHT,JUNE,JUNE,,,1400,300000,1,
58-42-71-45,0015-001-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,15,KG,15,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3,YES,DROUGHT,JUNE,JUNE,,,1680,360000,1,
58-42-71-45,0015-001-001,4,69,YES,,,NO,,KIENYEJI,"IMPROVED, RECYCLED",15,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.8,NO,,APRIL,APRIL,,,800000,150000,1,
58-42-71-45,0015-001-001,5,28,YES,,,NO,,KIENYEJI,TRADITIONAL,150,KG,150,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3,NO,,APRIL,APRIL,,,1500,900000,1,
58-42-71-45,0015-001-001,6,1,YES,,,NO,,KIENYEJI,TRADITIONAL,25,KG,25,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,5,YES,DROUGHT,JUNE,JUNE,,,2100,450000,1,
58-42-71-45,0015-001-001,7,1,YES,,,NO,,KIENYEJI,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,4,YES,DROUGHT,JUNE,JUNE,,,480,120000,1,
58-42-71-45,0015-001-001,8,1,YES,,,NO,,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,JUNE,JUNE,,,60,24000,1,
73-26-58-64,0016-001-002,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,4,KG,HAKUNA,,,4,KG,1500,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,1,YES,DROUGHT,APRIL,APRIL,,,140,30000,1,
73-26-58-64,0016-001-002,1,20,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,HAKUNA,,,1,KG,1000,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,1,YES,DROUGHT,APRIL,APRIL,,,20,8000,1,
73-26-58-64,0016-001-002,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,2000,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,2,YES,DROUGHT,JULY,JULY,,,1120,240000,1,
73-26-58-64,0016-001-002,3,1,NO,1/4,LACK OF TOOLS/EQUIPMENTS,NO,,KIENYEJI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,2000,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,1,YES,DROUGHT,JULY,JULY,,,1260,270000,1,
56-32-76-33,0017-001-001,3,1,YES,,,NO,,MAHINDI,TRADITIONAL,10,KG,HAKUNA,,,10,KG,4000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,MAY,MAY,,,300,75000,1,2
39-47-88-39,0018-001-001,1,26,NO,1/2,"OTHER, SPECIFY",YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,DROUGHT,YES,,0.5,YES,DROUGHT,JUNE,JUNE,,,240,70000,1,2
39-47-88-39,0018-001-001,1,28,YES,,,YES,MORE FERTILE FOR THE SOIL,MBEGU NYEKUNDU,TRADITIONAL,40,KG,HAKUNA,,,40,KG,80000,JIRANI,NDANI YA KIJIJI/MJI,YES,DROUGHT,YES,,1,YES,DROUGHT,APRIL,APRIL,,,1050,350000,1,2
39-47-88-39,0018-001-001,2,28,YES,,,NO,,KARANGA NYEKUNDU,TRADITIONAL,1,20 LITER BUCKET,HAKUNA,,,1,20 LITER BUCKET,40000,JIRANI,NDANI YA KIJIJI/MJI,YES,DROUGHT,YES,,0.25,YES,DROUGHT,APRIL,APRIL,,,210,70000,1,2
39-47-88-39,0018-001-001,3,28,YES,,,NO,,KARANGA  NYEKUNDU,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.25,YES,DROUGHT,APRIL,APRIL,,,135,45000,1,
40-73-12-41,0020-001-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHINDI KIENYEJI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,YES,DROUGHT,AUGUST,AUGUST,,,144,120000,1,
40-73-12-41,0020-001-001,1,28,YES,,,YES,MORE FERTILE FOR THE SOIL,KARANGA NYEUPE,TRADITIONAL,22,KG,22,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,YES,DROUGHT,APRIL,MAY,,,270,125000,1,
40-73-12-41,0020-001-001,2,1,NO,1/2,DROUGHT,NO,,MAHINDI KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,YES,DROUGHT,AUGUST,AUGUST,,,216,180000,1,
40-73-12-41,0020-001-001,3,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHINDI KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,JULY,JULY,,,36,24000,1,
40-73-12-41,0020-001-001,3,11,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,VIAZI VYEKUNDU,TRADITIONAL,10,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.1,NO,,APRIL,APRIL,,,40,16000,2,
52-25-14-40,0023-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,400,KG,HAKUNA,,,400,KG,2400000,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,YES,,50,NO,,JULY,AUGUST,,,19680,8528000,1,2
52-25-14-40,0023-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,SOYA NJANO,TRADITIONAL,18,20 LITER BUCKET,18,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,NO,,YES,,50,NO,,JULY,JULY,,,9360,17160000,1,2
96-43-78-97,0024-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK 403,IMPROVED,24,KG,HAKUNA,,,24,KG,132000,CHAMA WAKULIMA,KARIBU NA MJI,NO,,YES,,3,NO,,SEPTEMBER,OCTOBER,,,3564,1247400,1,
96-43-78-97,0024-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,SOYA NJANO,"IMPROVED, RECYCLED",3,20 LITER BUCKET,3,20 LITER BUCKET,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,3,NO,,JULY,JULY,,,84,90024,1,
06-46-18-18,0026-001-001,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,0.5,KG,HAKUNA,,,0.5,KG,6000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,AUGUST,AUGUST,,,80,12000,2,
27-91-28-82,0033-001-001,1,17,YES,,,NO,,SOYA,TRADITIONAL,2,KG,HAKUNA,,,2,KG,4000,JIRANI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,NO,,JUNE,JUNE,,,20,16000,1,
69-55-32-84,0040-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHINDI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,YES,DROUGHT,JULY,JULY,,,60,30000,1,
69-55-32-84,0040-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHARAGE,TRADITIONAL,2,KG,HAKUNA,,,2,KG,4000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,NO,DRY,,,,,,,,,,,
24-75-61-52,0047-001-001,1,1,NO,1/2,DROUGHT,YES,MORE FERTILE FOR THE SOIL,STUKA,"IMPROVED, RECYCLED",60,KG,60,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,4,NO,,AUGUST,SEPTEMBER,,,480,120000,1,2
24-75-61-52,0047-001-001,1,17,NO,1/4,DROUGHT,YES,MORE FERTILE FOR THE SOIL,SHAMBA NYEKUNDU,TRADITIONAL,20,KG,HAKUNA,,,20,KG,25000,JIRANI,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,JUNE,JULY,,,40,40000,1,2
03-68-77-59,0049-001-001,2,1,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JUNE,JUNE,,,80,160000,1,2
03-68-77-59,0049-001-001,2,14,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,30,KG,30,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.25,NO,,FEBRUARY,SEPTEMBER,,,280,350000,1,2
88-71-20-70,0050-001-001,1,1,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,2,KG,HAKUNA,,,2,KG,12000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.25,NO,,MARCH,MARCH,,,40,30000,1,
88-71-20-70,0050-001-001,1,14,NO,1/4,DROUGHT,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,40,KG,40,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.25,NO,,MAY,AUGUST,,,80,200000,1,
88-71-20-70,0050-001-001,1,17,NO,1/4,DROUGHT,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.24,NO,,JUNE,JUNE,,,15,30000,1,2
62-93-39-20,0051-001-001,1,14,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAGIMBI RANGI MBILI,TRADITIONAL,52,OTHER (SPECIFY),52,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,
62-93-39-20,0051-001-001,1,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE KAKI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JUNE,JUNE,,,12,14400,1,
62-93-39-20,0051-001-001,3,17,YES,,,NO,,MAHARAGE KAKI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,JUNE,JUNE,,,15,18000,1,
00-72-79-53,0055-001-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,KG,1,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.1,NO,,JULY,JULY,,,18,8000,1,
16-64-27-88,0057-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,YA  MOSHI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,8000,SOKO,NDANI YA KIJIJI/MJI,YES,DROUGHT,YES,,0.5,YES,DROUGHT,AUGUST,AUGUST,,,155,50000,2,
16-64-27-88,0057-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ZAMBARAU,TRADITIONAL,6,KG,HAKUNA,,,6,KG,9000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,NO,,JULY,JULY,,,25,25000,2,
34-42-58-96,0058-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,2,IMPROVED,2,KG,2,KG,IMPROVED,2,KG,12000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,DROUGHT,NO,DRY,,,,,,,,,,,
34-42-58-96,0058-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ZAMBARAU,TRADITIONAL,5,KG,HAKUNA,,,5,KG,9000,SOKO,NDANI YA KIJIJI/MJI,YES,DROUGHT,NO,DRY,,,,,,,,,,,
77-68-44-59,0059-001-001,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEED-CO,"IMPROVED, RECYCLED",18,KG,18,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.5,YES,OTHER (SPECIFY),FEBRUARY,MARCH,,,216,60000,1,2
77-68-44-59,0059-001-001,2,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHINDI,"IMPROVED, RECYCLED",20,KG,20,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,0.5,YES,INSECTS,FEBRUARY,MARCH,,,324,90000,1,2
77-68-44-59,0059-001-001,3,1,YES,,,NO,,SEED-CO,"IMPROVED, RECYCLED",5,KG,5,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,0.5,YES,INSECTS,FEBRUARY,MARCH,,,54,15000,1,2
44-35-85-32,0060-001-001,3,1,NO,1/4,"OTHER, SPECIFY",NO,,KISASA,IMPROVED,6,KG,HAKUNA,,,6,KG,15000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,YES,DROUGHT,JULY,JULY,,,120,90000,1,2
47-61-12-15,0062-001-001,1,1,NO,1/4,WAS DIVIDED,NO,,MALAWI,TRADITIONAL,1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,YES,ANIMALS,NO,DESTRUCTION,,,,,,,,,,,
47-61-12-15,0062-001-001,1,26,NO,1/4,WAS DIVIDED,NO,,ALIZETI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,ANIMALS,NO,DESTRUCTION,,,,,,,,,,,
32-51-53-41,0066-003-001,1,11,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,MWANAMULWA,TRADITIONAL,60,KG,HAKUNA,,,60,KG,0,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,MAY,JULY,,,210,50000,1,
32-51-53-41,0066-003-001,2,2,NO,1/4,LACK OF TOOLS/EQUIPMENTS,NO,,BULUGWA,TRADITIONAL,10,KG,HAKUNA,,,10,KG,0,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,1.3,NO,,MAY,JUNE,,,130,48000,1,
39-00-30-36,0066-003-006,1,70,YES,,,NO,,TANYA,IMPROVED,100,OTHER (SPECIFY),HAKUNA,,,100,OTHER (SPECIFY),15000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.3,YES,INSECTS,JULY,JULY,,,330,120000,1,
47-27-42-34,0067-001-001,2,1,NO,1/4,WAS DIVIDED,NO,,MBEGU NDEFU,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,JULY,JULY,,,882,350000,1,
47-27-42-34,0067-001-001,2,26,NO,3/4,WAS DIVIDED,NO,,ZEBRA,"IMPROVED, RECYCLED",17,KG,17,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,3.5,NO,,JULY,JUNE,,,1365,1050000,1,
47-27-42-34,0067-001-001,3,19,NO,1/4,WAS DIVIDED,NO,,MBEGU NDOGO,TRADITIONAL,10,KG,HAKUNA,,,10,KG,30000,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,YES,,1.5,NO,,JUNE,JUNE,,,440,1500000,1,
47-27-42-34,0067-001-001,3,26,NO,3/4,WAS DIVIDED,NO,,ZEBRA,"IMPROVED, RECYCLED",15,KG,15,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,3.5,NO,,JULY,JULY,,,2275,1750000,1,
13-42-14-49,0067-004-001,4,1,NO,1/2,AG EQUIPMENTS,NO,,SEEDCO,"IMPROVED, RECYCLED",4,KG,HAKUNA,,,4,KG,2800,SOKO,KARIBU NA MJI,YES,ANIMALS,YES,,1,YES,ANIMALS,JUNE,JULY,,,72,40000,1,
81-85-31-88,0069-002-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,MAHINDI,TRADITIONAL,25,KG,25,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,2,NO,,JULY,AUGUST,,,648,144000,1,
91-76-63-44,0071-001-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,ILONGA,"IMPROVED, RECYCLED",10,KG,10,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,1,NO,,JULY,JULY,,,540,150000,1,2
91-76-63-44,0071-001-001,1,17,NO,1/2,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,10,KG,HAKUNA,,,10,KG,20000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,1,NO,,JUNE,JUNE,,,120,150000,1,2
28-76-80-54,0072-001-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,KIENYEJI,TRADITIONAL,4,LARGE CUP,4,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.8,YES,DROUGHT,JULY,AUGUST,,,324,126000,1,
28-76-80-54,0072-001-001,2,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,ANIMALS,YES,,0.3,NO,,JULY,AUGUST,,,216,108000,1,2
82-54-53-99,0072-003-001,2,1,NO,3/4,WAS DIVIDED,NO,,MAHINDI,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.75,NO,,FEBRUARY,MAY,,,1944,540000,1,2
86-08-97-34,0073-001-001,1,1,NO,1/4,WAS DIVIDED,NO,,NDEFU,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,YES,,0.1,NO,,AUGUST,AUGUST,,,25,6000,1,
86-08-97-34,0073-001-001,3,1,YES,,,NO,,NDEFU,TRADITIONAL,15,KG,15,KG,TRADITIONAL,HAKUNA,,,,,YES,DROUGHT,YES,,0.8,YES,DROUGHT,AUGUST,AUGUST,,,190,50000,1,
09-96-03-52,0073-001-002,2,1,YES,,,NO,,NDEFU,TRADITIONAL,12,KG,HAKUNA,,,12,KG,12000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,1,NO,,AUGUST,AUGUST,,,360,90000,1,
64-01-68-39,0074-001-001,1,1,NO,1/4,AG EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,HAKUNA,,,1,KG,2000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,NO,,JULY,JULY,,,18,5000,1,
