interview__key,sdd_hhid,productid,lf08_01,lf08_02,lf08_03_1,lf08_03_2,lf08_04,lf08_05_1,lf08_05_2,lf08_06,lf08_07_a,lf08_07_b,lf08_07_c,lf08_08_1,lf08_08_2
73-00-55-05,0028-001-001,EGGS,,,,,,,,,,,,,
73-00-55-05,0028-001-001,HONEY,,,,,,,,,,,,,
73-00-55-05,0028-001-001,SKIN/HIDES,,,,,,,,,,,,,
38-25-71-90,0029-001-001,EGGS,YES,4,60,PIECES,NO,,,,,,,,
38-25-71-90,0029-001-001,HONEY,NO,,,,,,,,,,,,
38-25-71-90,0029-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
28-47-21-26,0030-001-001,EGGS,YES,4,60,PIECES,YES,200,PIECES,70000,16,,NDANI YA KIJIJI /MJI,1,
28-47-21-26,0030-001-001,HONEY,NO,,,,,,,,,,,,
28-47-21-26,0030-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
71-57-66-15,0031-001-001,EGGS,NO,,,,,,,,,,,,
71-57-66-15,0031-001-001,HONEY,NO,,,,,,,,,,,,
71-57-66-15,0031-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
59-86-17-13,0032-001-001,EGGS,,,,,,,,,,,,,
59-86-17-13,0032-001-001,HONEY,,,,,,,,,,,,,
59-86-17-13,0032-001-001,SKIN/HIDES,,,,,,,,,,,,,
27-91-28-82,0033-001-001,EGGS,,,,,,,,,,,,,
27-91-28-82,0033-001-001,HONEY,,,,,,,,,,,,,
27-91-28-82,0033-001-001,SKIN/HIDES,,,,,,,,,,,,,
96-66-16-43,0034-001-001,EGGS,,,,,,,,,,,,,
96-66-16-43,0034-001-001,HONEY,,,,,,,,,,,,,
96-66-16-43,0034-001-001,SKIN/HIDES,,,,,,,,,,,,,
15-50-37-82,0036-001-001,EGGS,,,,,,,,,,,,,
15-50-37-82,0036-001-001,HONEY,,,,,,,,,,,,,
15-50-37-82,0036-001-001,SKIN/HIDES,,,,,,,,,,,,,
52-00-18-35,0038-001-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
52-00-18-35,0038-001-001,HONEY,NO,,,,,,,,,,,,
52-00-18-35,0038-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
48-91-62-56,0039-001-001,EGGS,,,,,,,,,,,,,
48-91-62-56,0039-001-001,HONEY,,,,,,,,,,,,,
48-91-62-56,0039-001-001,SKIN/HIDES,,,,,,,,,,,,,
69-55-32-84,0040-001-001,EGGS,,,,,,,,,,,,,
69-55-32-84,0040-001-001,HONEY,,,,,,,,,,,,,
69-55-32-84,0040-001-001,SKIN/HIDES,,,,,,,,,,,,,
96-09-76-36,0041-001-001,EGGS,,,,,,,,,,,,,
96-09-76-36,0041-001-001,HONEY,,,,,,,,,,,,,
96-09-76-36,0041-001-001,SKIN/HIDES,,,,,,,,,,,,,
67-96-69-36,0041-004-001,EGGS,,,,,,,,,,,,,
67-96-69-36,0041-004-001,HONEY,,,,,,,,,,,,,
67-96-69-36,0041-004-001,SKIN/HIDES,,,,,,,,,,,,,
25-80-02-40,0042-001-001,EGGS,,,,,,,,,,,,,
25-80-02-40,0042-001-001,HONEY,,,,,,,,,,,,,
25-80-02-40,0042-001-001,SKIN/HIDES,,,,,,,,,,,,,
63-16-88-22,0042-001-002,EGGS,,,,,,,,,,,,,
63-16-88-22,0042-001-002,HONEY,,,,,,,,,,,,,
63-16-88-22,0042-001-002,SKIN/HIDES,,,,,,,,,,,,,
13-15-52-70,0043-001-001,EGGS,,,,,,,,,,,,,
13-15-52-70,0043-001-001,HONEY,,,,,,,,,,,,,
13-15-52-70,0043-001-001,SKIN/HIDES,,,,,,,,,,,,,
22-43-84-51,0044-001-001,EGGS,,,,,,,,,,,,,
22-43-84-51,0044-001-001,HONEY,,,,,,,,,,,,,
22-43-84-51,0044-001-001,SKIN/HIDES,,,,,,,,,,,,,
73-81-30-49,0045-001-001,EGGS,,,,,,,,,,,,,
73-81-30-49,0045-001-001,HONEY,,,,,,,,,,,,,
73-81-30-49,0045-001-001,SKIN/HIDES,,,,,,,,,,,,,
43-77-98-27,0046-001-001,EGGS,YES,,,,,,,,,,,,
43-77-98-27,0046-001-001,HONEY,NO,,,,,,,,,,,,
43-77-98-27,0046-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
24-75-61-52,0047-001-001,EGGS,NO,,,,,,,,,,,,
24-75-61-52,0047-001-001,HONEY,NO,,,,,,,,,,,,
24-75-61-52,0047-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
97-60-31-67,0048-001-001,EGGS,YES,1,15,PIECES,NO,,,,,,,,
97-60-31-67,0048-001-001,HONEY,NO,,,,,,,,,,,,
97-60-31-67,0048-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
03-68-77-59,0049-001-001,EGGS,YES,3,18,PIECES,NO,,,,,,,,
03-68-77-59,0049-001-001,HONEY,NO,,,,,,,,,,,,
03-68-77-59,0049-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
88-71-20-70,0050-001-001,EGGS,YES,3,48,PIECES,NO,,,,,,,,
88-71-20-70,0050-001-001,HONEY,NO,,,,,,,,,,,,
88-71-20-70,0050-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
62-93-39-20,0051-001-001,EGGS,YES,4,45,PIECES,YES,150,PIECES,37500,9,,KARIBU NA KIJIJI,1,
62-93-39-20,0051-001-001,HONEY,NO,,,,,,,,,,,,
62-93-39-20,0051-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
92-89-07-22,0051-001-002,EGGS,,,,,,,,,,,,,
92-89-07-22,0051-001-002,HONEY,,,,,,,,,,,,,
92-89-07-22,0051-001-002,SKIN/HIDES,,,,,,,,,,,,,
28-71-87-26,0051-001-003,EGGS,,,,,,,,,,,,,
28-71-87-26,0051-001-003,HONEY,,,,,,,,,,,,,
28-71-87-26,0051-001-003,SKIN/HIDES,,,,,,,,,,,,,
00-72-79-53,0055-001-001,EGGS,NO,,,,,,,,,,,,
00-72-79-53,0055-001-001,HONEY,NO,,,,,,,,,,,,
00-72-79-53,0055-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
72-59-54-68,0055-003-001,EGGS,,,,,,,,,,,,,
72-59-54-68,0055-003-001,HONEY,,,,,,,,,,,,,
72-59-54-68,0055-003-001,SKIN/HIDES,,,,,,,,,,,,,
73-41-85-14,0056-001-001,EGGS,YES,2,15,PIECES,NO,,,,,,,,
73-41-85-14,0056-001-001,HONEY,NO,,,,,,,,,,,,
73-41-85-14,0056-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
16-64-27-88,0057-001-001,EGGS,NO,,,,,,,,,,,,
16-64-27-88,0057-001-001,HONEY,NO,,,,,,,,,,,,
16-64-27-88,0057-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
34-42-58-96,0058-001-001,EGGS,NO,,,,,,,,,,,,
34-42-58-96,0058-001-001,HONEY,NO,,,,,,,,,,,,
34-42-58-96,0058-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
77-68-44-59,0059-001-001,EGGS,YES,3,35,PIECES,NO,,,,,,,,
77-68-44-59,0059-001-001,HONEY,NO,,,,,,,,,,,,
77-68-44-59,0059-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
44-35-85-32,0060-001-001,EGGS,YES,4,10,PIECES,NO,,,,,,,,
44-35-85-32,0060-001-001,HONEY,NO,,,,,,,,,,,,
44-35-85-32,0060-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
45-55-29-47,0061-001-001,EGGS,YES,3,45,PIECES,NO,,,,,,,,
45-55-29-47,0061-001-001,HONEY,NO,,,,,,,,,,,,
45-55-29-47,0061-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
47-61-12-15,0062-001-001,EGGS,YES,3,20,PIECES,NO,,,,,,,,
47-61-12-15,0062-001-001,HONEY,NO,,,,,,,,,,,,
47-61-12-15,0062-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
35-43-12-92,0062-001-003,EGGS,,,,,,,,,,,,,
35-43-12-92,0062-001-003,HONEY,,,,,,,,,,,,,
35-43-12-92,0062-001-003,SKIN/HIDES,,,,,,,,,,,,,
53-26-19-17,0062-001-004,EGGS,,,,,,,,,,,,,
53-26-19-17,0062-001-004,HONEY,,,,,,,,,,,,,
53-26-19-17,0062-001-004,SKIN/HIDES,,,,,,,,,,,,,
56-72-41-10,0062-001-005,EGGS,,,,,,,,,,,,,
56-72-41-10,0062-001-005,HONEY,,,,,,,,,,,,,
56-72-41-10,0062-001-005,SKIN/HIDES,,,,,,,,,,,,,
20-34-21-50,0062-004-001,EGGS,,,,,,,,,,,,,
20-34-21-50,0062-004-001,HONEY,,,,,,,,,,,,,
20-34-21-50,0062-004-001,SKIN/HIDES,,,,,,,,,,,,,
67-14-39-51,0063-001-003,EGGS,,,,,,,,,,,,,
67-14-39-51,0063-001-003,HONEY,,,,,,,,,,,,,
67-14-39-51,0063-001-003,SKIN/HIDES,,,,,,,,,,,,,
47-38-96-20,0065-001-001,EGGS,YES,4,30,PIECES,NO,,,,,,,,
47-38-96-20,0065-001-001,HONEY,NO,,,,,,,,,,,,
47-38-96-20,0065-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
68-03-68-88,0066-002-001,EGGS,,,,,,,,,,,,,
68-03-68-88,0066-002-001,HONEY,,,,,,,,,,,,,
68-03-68-88,0066-002-001,SKIN/HIDES,,,,,,,,,,,,,
32-51-53-41,0066-003-001,EGGS,NO,,,,,,,,,,,,
32-51-53-41,0066-003-001,HONEY,NO,,,,,,,,,,,,
32-51-53-41,0066-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
09-55-27-80,0066-003-003,EGGS,NO,,,,,,,,,,,,
09-55-27-80,0066-003-003,HONEY,NO,,,,,,,,,,,,
09-55-27-80,0066-003-003,SKIN/HIDES,NO,,,,,,,,,,,,
99-00-08-27,0066-003-004,EGGS,,,,,,,,,,,,,
99-00-08-27,0066-003-004,HONEY,,,,,,,,,,,,,
99-00-08-27,0066-003-004,SKIN/HIDES,,,,,,,,,,,,,
03-98-19-65,0066-003-005,EGGS,,,,,,,,,,,,,
03-98-19-65,0066-003-005,HONEY,,,,,,,,,,,,,
03-98-19-65,0066-003-005,SKIN/HIDES,,,,,,,,,,,,,
39-00-30-36,0066-003-006,EGGS,,,,,,,,,,,,,
39-00-30-36,0066-003-006,HONEY,,,,,,,,,,,,,
39-00-30-36,0066-003-006,SKIN/HIDES,,,,,,,,,,,,,
47-27-42-34,0067-001-001,EGGS,YES,3,15,PIECES,NO,,,,,,,,
47-27-42-34,0067-001-001,HONEY,NO,,,,,,,,,,,,
47-27-42-34,0067-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
33-84-05-95,0067-001-002,EGGS,YES,5,15,PIECES,NO,,,,,,,,
33-84-05-95,0067-001-002,HONEY,NO,,,,,,,,,,,,
33-84-05-95,0067-001-002,SKIN/HIDES,NO,,,,,,,,,,,,
13-42-14-49,0067-004-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
13-42-14-49,0067-004-001,HONEY,NO,,,,,,,,,,,,
13-42-14-49,0067-004-001,SKIN/HIDES,NO,,,,,,,,,,,,
81-85-31-88,0069-002-001,EGGS,YES,3,10,PIECES,NO,,,,,,,,
81-85-31-88,0069-002-001,HONEY,NO,,,,,,,,,,,,
81-85-31-88,0069-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
91-76-63-44,0071-001-001,EGGS,YES,2,15,PIECES,NO,,,,,,,,
91-76-63-44,0071-001-001,HONEY,NO,,,,,,,,,,,,
91-76-63-44,0071-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
81-33-13-06,0071-001-003,EGGS,,,,,,,,,,,,,
81-33-13-06,0071-001-003,HONEY,,,,,,,,,,,,,
81-33-13-06,0071-001-003,SKIN/HIDES,,,,,,,,,,,,,
28-76-80-54,0072-001-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
28-76-80-54,0072-001-001,HONEY,NO,,,,,,,,,,,,
28-76-80-54,0072-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
82-54-53-99,0072-003-001,EGGS,YES,3,12,PIECES,NO,,,,,,,,
82-54-53-99,0072-003-001,HONEY,NO,,,,,,,,,,,,
82-54-53-99,0072-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
86-08-97-34,0073-001-001,EGGS,,,,,,,,,,,,,
86-08-97-34,0073-001-001,HONEY,,,,,,,,,,,,,
86-08-97-34,0073-001-001,SKIN/HIDES,,,,,,,,,,,,,
09-96-03-52,0073-001-002,EGGS,,,,,,,,,,,,,
09-96-03-52,0073-001-002,HONEY,,,,,,,,,,,,,
09-96-03-52,0073-001-002,SKIN/HIDES,,,,,,,,,,,,,
64-01-68-39,0074-001-001,EGGS,YES,4,12,PIECES,NO,,,,,,,,
64-01-68-39,0074-001-001,HONEY,NO,,,,,,,,,,,,
64-01-68-39,0074-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
05-43-63-02,0075-001-003,EGGS,NO,,,,,,,,,,,,
05-43-63-02,0075-001-003,HONEY,NO,,,,,,,,,,,,
05-43-63-02,0075-001-003,SKIN/HIDES,NO,,,,,,,,,,,,
69-76-07-75,0077-001-001,EGGS,YES,4,8,PIECES,NO,,,,,,,,
69-76-07-75,0077-001-001,HONEY,NO,,,,,,,,,,,,
69-76-07-75,0077-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
80-60-48-21,0077-003-001,EGGS,YES,5,12,PIECES,NO,,,,,,,,
80-60-48-21,0077-003-001,HONEY,NO,,,,,,,,,,,,
80-60-48-21,0077-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
77-61-09-41,0078-001-001,EGGS,YES,4,12,PIECES,NO,,,,,,,,
77-61-09-41,0078-001-001,HONEY,NO,,,,,,,,,,,,
77-61-09-41,0078-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
03-09-85-87,0079-001-001,EGGS,YES,3,79,PIECES,NO,,,,,,,,
03-09-85-87,0079-001-001,HONEY,NO,,,,,,,,,,,,
03-09-85-87,0079-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
78-16-68-29,0080-001-001,EGGS,YES,3,96,KGs,NO,,,,,,,,
78-16-68-29,0080-001-001,HONEY,NO,,,,,,,,,,,,
78-16-68-29,0080-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
82-35-18-51,0081-001-001,EGGS,YES,3,12,PIECES,NO,,,,,,,,
82-35-18-51,0081-001-001,HONEY,NO,,,,,,,,,,,,
82-35-18-51,0081-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
24-96-35-07,0081-004-001,EGGS,NO,,,,,,,,,,,,
24-96-35-07,0081-004-001,HONEY,NO,,,,,,,,,,,,
24-96-35-07,0081-004-001,SKIN/HIDES,NO,,,,,,,,,,,,
61-09-91-34,0082-001-001,EGGS,YES,3,25,PIECES,NO,,,,,,,,
61-09-91-34,0082-001-001,HONEY,NO,,,,,,,,,,,,
61-09-91-34,0082-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
65-72-13-93,0082-003-001,EGGS,NO,,,,,,,,,,,,
65-72-13-93,0082-003-001,HONEY,NO,,,,,,,,,,,,
65-72-13-93,0082-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
43-70-22-69,0082-003-002,EGGS,,,,,,,,,,,,,
43-70-22-69,0082-003-002,HONEY,,,,,,,,,,,,,
43-70-22-69,0082-003-002,SKIN/HIDES,,,,,,,,,,,,,
69-63-97-41,0082-004-001,EGGS,,,,,,,,,,,,,
69-63-97-41,0082-004-001,HONEY,,,,,,,,,,,,,
69-63-97-41,0082-004-001,SKIN/HIDES,,,,,,,,,,,,,
43-56-83-29,0082-005-001,EGGS,,,,,,,,,,,,,
43-56-83-29,0082-005-001,HONEY,,,,,,,,,,,,,
43-56-83-29,0082-005-001,SKIN/HIDES,,,,,,,,,,,,,
82-24-69-15,0083-001-001,EGGS,YES,6,15,PIECES,NO,,,,,,,,
82-24-69-15,0083-001-001,HONEY,NO,,,,,,,,,,,,
82-24-69-15,0083-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
71-57-99-29,0084-001-001,EGGS,YES,4,37,PIECES,NO,,,,,,,,
71-57-99-29,0084-001-001,HONEY,NO,,,,,,,,,,,,
71-57-99-29,0084-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
74-56-02-42,0084-002-001,EGGS,YES,2,15,PIECES,NO,,,,,,,,
74-56-02-42,0084-002-001,HONEY,NO,,,,,,,,,,,,
74-56-02-42,0084-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
70-36-26-23,0085-001-001,EGGS,,,,,,,,,,,,,
70-36-26-23,0085-001-001,HONEY,,,,,,,,,,,,,
70-36-26-23,0085-001-001,SKIN/HIDES,,,,,,,,,,,,,
12-34-17-02,0085-002-001,EGGS,,,,,,,,,,,,,
12-34-17-02,0085-002-001,HONEY,,,,,,,,,,,,,
12-34-17-02,0085-002-001,SKIN/HIDES,,,,,,,,,,,,,
05-51-26-77,0085-003-001,EGGS,YES,4,22,PIECES,NO,,,,,,,,
05-51-26-77,0085-003-001,HONEY,NO,,,,,,,,,,,,
05-51-26-77,0085-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
08-61-34-21,0086-001-001,EGGS,NO,,,,,,,,,,,,
08-61-34-21,0086-001-001,HONEY,NO,,,,,,,,,,,,
08-61-34-21,0086-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
07-11-78-55,0087-001-001,EGGS,YES,4,28,PIECES,NO,,,,,,,,
07-11-78-55,0087-001-001,HONEY,NO,,,,,,,,,,,,
07-11-78-55,0087-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
26-78-44-09,0087-001-002,EGGS,YES,4,30,PIECES,NO,,,,,,,,
26-78-44-09,0087-001-002,HONEY,NO,,,,,,,,,,,,
26-78-44-09,0087-001-002,SKIN/HIDES,NO,,,,,,,,,,,,
74-12-78-76,0088-001-001,EGGS,YES,3,20,PIECES,NO,,,,,,,,
74-12-78-76,0088-001-001,HONEY,NO,,,,,,,,,,,,
74-12-78-76,0088-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
47-53-89-65,0089-001-001,EGGS,YES,4,15,PIECES,NO,,,,,,,,
47-53-89-65,0089-001-001,HONEY,NO,,,,,,,,,,,,
47-53-89-65,0089-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
67-17-25-56,0089-002-001,EGGS,NO,,,,,,,,,,,,
67-17-25-56,0089-002-001,HONEY,NO,,,,,,,,,,,,
67-17-25-56,0089-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
11-84-02-64,0089-002-002,EGGS,,,,,,,,,,,,,
11-84-02-64,0089-002-002,HONEY,,,,,,,,,,,,,
11-84-02-64,0089-002-002,SKIN/HIDES,,,,,,,,,,,,,
13-79-88-08,0090-001-001,EGGS,YES,3,20,PIECES,NO,,,,,,,,
13-79-88-08,0090-001-001,HONEY,NO,,,,,,,,,,,,
13-79-88-08,0090-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
43-96-03-62,0090-001-005,EGGS,YES,3,10,PIECES,NO,,,,,,,,
43-96-03-62,0090-001-005,HONEY,NO,,,,,,,,,,,,
43-96-03-62,0090-001-005,SKIN/HIDES,NO,,,,,,,,,,,,
42-78-55-98,0091-001-001,EGGS,,,,,,,,,,,,,
42-78-55-98,0091-001-001,HONEY,,,,,,,,,,,,,
42-78-55-98,0091-001-001,SKIN/HIDES,,,,,,,,,,,,,
01-67-04-36,0092-001-001,EGGS,NO,,,,,,,,,,,,
01-67-04-36,0092-001-001,HONEY,NO,,,,,,,,,,,,
01-67-04-36,0092-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
18-41-40-51,0093-001-001,EGGS,,,,,,,,,,,,,
18-41-40-51,0093-001-001,HONEY,,,,,,,,,,,,,
18-41-40-51,0093-001-001,SKIN/HIDES,,,,,,,,,,,,,
70-24-33-41,0096-001-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
70-24-33-41,0096-001-001,HONEY,NO,,,,,,,,,,,,
70-24-33-41,0096-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
42-11-56-10,0096-002-002,EGGS,,,,,,,,,,,,,
42-11-56-10,0096-002-002,HONEY,,,,,,,,,,,,,
42-11-56-10,0096-002-002,SKIN/HIDES,,,,,,,,,,,,,
88-19-63-23,0097-001-001,EGGS,,,,,,,,,,,,,
88-19-63-23,0097-001-001,HONEY,,,,,,,,,,,,,
88-19-63-23,0097-001-001,SKIN/HIDES,,,,,,,,,,,,,
93-47-38-83,0097-001-003,EGGS,YES,5,10,PIECES,NO,,,,,,,,
93-47-38-83,0097-001-003,HONEY,NO,,,,,,,,,,,,
93-47-38-83,0097-001-003,SKIN/HIDES,NO,,,,,,,,,,,,
76-46-87-39,0098-001-001,EGGS,,,,,,,,,,,,,
76-46-87-39,0098-001-001,HONEY,,,,,,,,,,,,,
76-46-87-39,0098-001-001,SKIN/HIDES,,,,,,,,,,,,,
89-69-28-73,0099-001-001,EGGS,YES,3,8,PIECES,NO,,,,,,,,
89-69-28-73,0099-001-001,HONEY,NO,,,,,,,,,,,,
89-69-28-73,0099-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
33-12-11-68,0099-001-004,EGGS,,,,,,,,,,,,,
33-12-11-68,0099-001-004,HONEY,,,,,,,,,,,,,
33-12-11-68,0099-001-004,SKIN/HIDES,,,,,,,,,,,,,
25-01-61-44,0099-001-006,EGGS,YES,2,18,PIECES,NO,,,,,,,,
25-01-61-44,0099-001-006,HONEY,NO,,,,,,,,,,,,
25-01-61-44,0099-001-006,SKIN/HIDES,NO,,,,,,,,,,,,
