interview__key,sdd_hhid,sourceid,ag12a_01_1,ag12a_01_2,ag12a_01_3,ag12a_01_4,ag12a_01_5,ag12a_01_6,ag12a_01_7,ag12a_01_8,ag12a_02,ag12a_03_1,ag12a_03_2,ag12a_03_3,ag12a_03_4,ag12a_04,ag12a_05,ag12a_06,ag12a_07
98-53-45-06,0007-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
98-53-45-06,0007-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
98-53-45-06,0007-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
98-53-45-06,0007-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
98-53-45-06,0007-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-72-78-84,0009-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-72-78-84,0009-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-72-78-84,0009-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-72-78-84,0009-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-72-78-84,0009-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
90-18-72-04,0010-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
90-18-72-04,0010-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
90-18-72-04,0010-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
90-18-72-04,0010-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
90-18-72-04,0010-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
85-64-65-42,0011-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
85-64-65-42,0011-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
85-64-65-42,0011-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
85-64-65-42,0011-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
85-64-65-42,0011-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-32-57-20,0012-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-32-57-20,0012-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-32-57-20,0012-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-32-57-20,0012-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-32-57-20,0012-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
31-30-77-11,0012-003-001,GOVERNMENT EXTENSION,NO,,NO,NO,NO,NO,NO,NO,,,,,,,,,
31-30-77-11,0012-003-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
31-30-77-11,0012-003-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
31-30-77-11,0012-003-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
31-30-77-11,0012-003-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
18-76-19-96,0013-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
18-76-19-96,0013-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
18-76-19-96,0013-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
18-76-19-96,0013-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
18-76-19-96,0013-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
58-42-71-45,0015-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
58-42-71-45,0015-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
58-42-71-45,0015-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
58-42-71-45,0015-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
58-42-71-45,0015-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-26-58-64,0016-001-002,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-26-58-64,0016-001-002,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-26-58-64,0016-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-26-58-64,0016-001-002,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-26-58-64,0016-001-002,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
56-32-76-33,0017-001-001,GOVERNMENT EXTENSION,YES,YES,NO,NO,NO,NO,NO,NO,YES,1,2,,,GOOD,NO,,BADO
56-32-76-33,0017-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
56-32-76-33,0017-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
56-32-76-33,0017-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
56-32-76-33,0017-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-47-88-39,0018-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-47-88-39,0018-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-47-88-39,0018-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-47-88-39,0018-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-47-88-39,0018-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
40-73-12-41,0020-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
40-73-12-41,0020-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
40-73-12-41,0020-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
40-73-12-41,0020-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
40-73-12-41,0020-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-25-14-40,0023-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-25-14-40,0023-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-25-14-40,0023-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-25-14-40,0023-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
52-25-14-40,0023-001-001,OTHER,YES,NO,NO,NO,NO,NO,NO,NO,YES,1,,,,GOOD,NO,,1
96-43-78-97,0024-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
96-43-78-97,0024-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
96-43-78-97,0024-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
96-43-78-97,0024-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
96-43-78-97,0024-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
06-46-18-18,0026-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
06-46-18-18,0026-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
06-46-18-18,0026-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
06-46-18-18,0026-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
06-46-18-18,0026-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
27-91-28-82,0033-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
27-91-28-82,0033-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
27-91-28-82,0033-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
27-91-28-82,0033-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
27-91-28-82,0033-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
15-50-37-82,0036-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
15-50-37-82,0036-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
15-50-37-82,0036-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
15-50-37-82,0036-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
15-50-37-82,0036-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-55-32-84,0040-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-55-32-84,0040-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-55-32-84,0040-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-55-32-84,0040-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-55-32-84,0040-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-81-30-49,0045-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-81-30-49,0045-001-001,NGO,NO,,NO,NO,,NO,NO,NO,,,,,,,,,
73-81-30-49,0045-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-81-30-49,0045-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-81-30-49,0045-001-001,OTHER,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,
43-77-98-27,0046-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
43-77-98-27,0046-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
43-77-98-27,0046-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
43-77-98-27,0046-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
43-77-98-27,0046-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
24-75-61-52,0047-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
24-75-61-52,0047-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
24-75-61-52,0047-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
24-75-61-52,0047-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
24-75-61-52,0047-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
97-60-31-67,0048-001-001,GOVERNMENT EXTENSION,YES,YES,NO,NO,NO,NO,NO,NO,YES,1,,,,GOOD,NO,,BADO
97-60-31-67,0048-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
97-60-31-67,0048-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
97-60-31-67,0048-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
97-60-31-67,0048-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
03-68-77-59,0049-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
03-68-77-59,0049-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
03-68-77-59,0049-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
03-68-77-59,0049-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
03-68-77-59,0049-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
88-71-20-70,0050-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
88-71-20-70,0050-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
88-71-20-70,0050-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
88-71-20-70,0050-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
88-71-20-70,0050-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
62-93-39-20,0051-001-001,GOVERNMENT EXTENSION,YES,NO,NO,NO,NO,NO,NO,NO,YES,1,,,,GOOD,NO,,1
62-93-39-20,0051-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
62-93-39-20,0051-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
62-93-39-20,0051-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
62-93-39-20,0051-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
00-72-79-53,0055-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
00-72-79-53,0055-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
00-72-79-53,0055-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
00-72-79-53,0055-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
00-72-79-53,0055-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-41-85-14,0056-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-41-85-14,0056-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-41-85-14,0056-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-41-85-14,0056-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
73-41-85-14,0056-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
16-64-27-88,0057-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
16-64-27-88,0057-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
16-64-27-88,0057-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
16-64-27-88,0057-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
16-64-27-88,0057-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
34-42-58-96,0058-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,YES,YES,1,,,,GOOD,NO,,BADO
34-42-58-96,0058-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
34-42-58-96,0058-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
34-42-58-96,0058-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
34-42-58-96,0058-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
77-68-44-59,0059-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
77-68-44-59,0059-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
77-68-44-59,0059-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
77-68-44-59,0059-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
77-68-44-59,0059-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
44-35-85-32,0060-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
44-35-85-32,0060-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
44-35-85-32,0060-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
44-35-85-32,0060-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
44-35-85-32,0060-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-61-12-15,0062-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-61-12-15,0062-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-61-12-15,0062-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-61-12-15,0062-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-61-12-15,0062-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-34-21-50,0062-004-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-34-21-50,0062-004-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-34-21-50,0062-004-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-34-21-50,0062-004-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
20-34-21-50,0062-004-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-38-96-20,0065-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-38-96-20,0065-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-38-96-20,0065-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-38-96-20,0065-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-38-96-20,0065-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
32-51-53-41,0066-003-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
32-51-53-41,0066-003-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
32-51-53-41,0066-003-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
32-51-53-41,0066-003-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
32-51-53-41,0066-003-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-00-30-36,0066-003-006,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-00-30-36,0066-003-006,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-00-30-36,0066-003-006,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-00-30-36,0066-003-006,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
39-00-30-36,0066-003-006,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-27-42-34,0067-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-27-42-34,0067-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-27-42-34,0067-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
47-27-42-34,0067-001-001,LARGE SCALE FARMER,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,
47-27-42-34,0067-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
13-42-14-49,0067-004-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
13-42-14-49,0067-004-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
13-42-14-49,0067-004-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
13-42-14-49,0067-004-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
13-42-14-49,0067-004-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
81-85-31-88,0069-002-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
81-85-31-88,0069-002-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
81-85-31-88,0069-002-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
81-85-31-88,0069-002-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
