interview__key,sdd_hhid,sdd_indid,hh_e01_1,hh_e01,hh_e02,hh_e03,hh_e04,hh_e05,hh_e06,hh_e07,hh_e08,hh_e09,hh_e10,hh_e11,hh_e12,hh_e13,hh_e14,hh_e15,hh_e16,hh_e17,hh_e18,hh_e19,hh_e20,hh_e21,hh_e22,hh_e23,hh_e24,hh_e25,hh_e26,hh_e27,hh_e28,hh_e29,hh_e30a,hh_e30b_1a,hh_e30b_2a,hh_e30b_3a,hh_e30b_4a,hh_e30b_1,hh_e30b_2,hh_e30b_3,hh_e31a,hh_e31b,hh_e31b_1,hh_e31b_2,hh_e31b_3,hh_e31b_4,hh_e32,hh_e33,hh_e34,hh_e35,hh_e35_2,hh_e36,hh_e37a,hh_e37b,hh_e38,hh_e39,hh_e40,hh_e41,hh_e42,hh_e43,hh_e44a,hh_e44b,hh_e44c,hh_e45,hh_e46,hh_e47a,hh_e47b,hh_e48a,hh_e48b,hh_e49,hh_e50,hh_e51a,hh_e51b,hh_e52,hh_e53a,hh_e53b,hh_e54,hh_e55,hh_e56,hh_e57,hh_e58,hh_e59
50-85-79-66,0003-001-001,4,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,YES,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
50-85-79-66,0003-001-001,6,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
50-85-79-66,0003-001-001,8,YES,NO,2,NO,,NO,,YES,15,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
50-85-79-66,0003-001-001,9,YES,YES,,NO,,NO,,YES,25,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,YES,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-30-81-51,0004-001-001,1,YES,NO,2,NO,,YES,45,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,NO
98-30-81-51,0004-001-001,2,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-30-81-51,0004-001-001,3,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-30-81-51,0004-001-001,4,YES,NO,1,YES,48,NO,,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,PRIVATE SECTOR,PACKER (STOO ),CLERICAL SUPPORT WORKERS,NUMERICAL AND MATERIAL RECORDING CLERKS,MATERIAL-RECORDING AND TRANSPORT CLERKS,TRANSPORT CLERKS,,,,UZALISHAJI WA NYWELE,,Manufacturing,Manufacture of wearing apparel,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",50,YES,,150000,MONTH,NO,,,12,4,48,48,YES,TEMP CONTRACT: FIXED TIME,YES,YES,NO,NO,,,,,,,,,,,,,,,,,NO,
98-30-81-51,0004-001-001,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,1,YES,YES,,NO,,YES,16,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES
71-75-12-39,0005-001-001,2,YES,YES,,NO,,YES,24,YES,1,MAINLY FOR SALE,YES,NO,YES,,,,,,YES,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,NO
71-75-12-39,0005-001-001,3,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
71-75-12-39,0005-001-001,4,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
71-75-12-39,0005-001-001,5,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
71-75-12-39,0005-001-001,7,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,1,YES,NO,2,NO,,NO,,YES,17,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,2,YES,YES,,NO,,NO,,YES,14,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,3,YES,NO,2,NO,,NO,,YES,5,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,4,YES,NO,2,NO,,NO,,YES,7,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,5,YES,NO,2,NO,,NO,,YES,6,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
98-53-45-06,0007-001-001,6,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,1,YES,NO,2,NO,,NO,,YES,35,MAINLY FOR SALE,YES,NO,YES,,,,,,YES,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
20-72-78-84,0009-001-001,2,YES,YES,,NO,,NO,,YES,2,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
20-72-78-84,0009-001-001,3,YES,NO,2,YES,40,NO,,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,RELIGIOUS ORGANIZATION,VIBARUA  VYA KULIMA,ELEMENTARY OCCUPATIONS,"AGRICULTURAL, FORESTRY AND FISHERY LABOURERS","AGRICULTURAL, FORESTRY AND FISHERY LABOURERS",MIXED CROP AND LIVESTOCK FARM LABOURERS,,,,KILIMO,,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming,3,YES,,5000,DAY,NO,,,6,4,40,40,NO,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,NO,
20-72-78-84,0009-001-001,4,YES,NO,2,YES,40,NO,,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,PRIVATE SECTOR,VIBARUA VYA KULIMA,ELEMENTARY OCCUPATIONS,"AGRICULTURAL, FORESTRY AND FISHERY LABOURERS","AGRICULTURAL, FORESTRY AND FISHERY LABOURERS",MIXED CROP AND LIVESTOCK FARM LABOURERS,,,,KILIMO,,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming,3,YES,,5000,DAY,NO,,,6,4,40,40,NO,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,NO,
20-72-78-84,0009-001-001,5,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
90-18-72-04,0010-001-001,1,YES,YES,,NO,,YES,56,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,NO
90-18-72-04,0010-001-001,2,YES,YES,,NO,,NO,,YES,1,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
85-64-65-42,0011-001-001,1,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,YES,SEASONAL WORK,YES,YES,MAINLY FOR FAMILY USE,NO,NO,NO,,YES,,CONFLICT (MILITANCY/INSURGENCY),YES,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
85-64-65-42,0011-001-001,2,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,YES,SEASONAL WORK,YES,YES,MAINLY FOR FAMILY USE,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,1,YES,YES,,YES,75,NO,,YES,48,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,PRIVATE SECTOR,ULINZI,SERVICE AND SALES WORKERS,PROTECTIVE SERVICES WORKERS,PROTECTIVE SERVICES WORKERS,SECURITY GUARDS,,,,UCHIMBAJI NA UCHENJUAJI WA MADINI YA SHABA,,Mining and quarrying,Mining of metal ores,Mining of non-ferrous metal ores,Mining of other non-ferrous metal ores,12,YES,,150000,MONTH,NO,,,12,4,105,75,YES,TEMP CONTRACT: CASUAL,NO,NO,NO,NO,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,2,YES,YES,,NO,,NO,,YES,2,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,3,YES,YES,,NO,,NO,,YES,36,ONLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,4,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,8,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,9,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,11,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,12,YES,NO,3,NO,,NO,,NO,,,NO,NO,NO,YES,SEASONAL WORK,NO,YES,ONLY FOR FAMILY USE,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
52-32-57-20,0012-001-001,13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,1,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,YES,,HOUSEWIFE/CHILDCARE,YES,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
31-30-77-11,0012-003-001,1,YES,YES,,NO,,NO,,YES,7,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,YES,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
31-30-77-11,0012-003-001,2,YES,YES,,NO,,NO,,YES,6,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,YES,,OTHER (SPECIFY),NO,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
31-30-77-11,0012-003-001,3,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
31-30-77-11,0012-003-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,1,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,1,YES,YES,,NO,,NO,,YES,2,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,2,YES,YES,,NO,,NO,,YES,15,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,3,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,4,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,5,YES,NO,2,NO,,NO,,NO,,,NO,YES,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,6,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,7,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,8,YES,YES,,NO,,NO,,YES,2,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
58-42-71-45,0015-001-001,9,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,1,YES,YES,,YES,20,NO,,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,PRIVATE SECTOR,KUTIFUA SHAMBA,"SKILLED AGRICULTURAL, FORESTRY AND FISHERY WORKERS","SUBSISTENCE FARMERS, FISHERS, HUNTERS AND GATHERERS",SUBSISTENCE MIXED CROP AND LIVESTOCK FARMERS,SUBSISTENCE MIXED CROP AND LIVESTOCK FARMERS,,,,KILIMO,,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming,1,YES,,15000,WEEK,NO,,,8,2,20,20,NO,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,NO,
73-26-58-64,0016-001-002,1,YES,YES,,NO,,NO,,YES,3,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,YES,,CONFLICT (MILITANCY/INSURGENCY),YES,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
73-26-58-64,0016-001-002,2,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,3,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,4,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
73-26-58-64,0016-001-002,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,1,YES,YES,,NO,,NO,,YES,65,MAINLY FOR FAMILY USE,NO,NO,YES,,,,,,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
56-32-76-33,0017-001-001,2,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,YES,ON LEAVE/HOLIDAY,YES,YES,MAINLY FOR FAMILY USE,NO,NO,NO,,NO,"FAMILY FARMING, LIVESTOCK OR FISHING FOR FAMILY USE",,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
56-32-76-33,0017-001-001,3,YES,NO,2,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
56-32-76-33,0017-001-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,1,YES,YES,,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,ENGAGED IN HOUSEHOLD OR FAMILY RESPONSIBILITIES,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
82-18-18-76,0017-002-001,3,YES,YES,,YES,36,NO,,NO,,,NO,NO,YES,,,,,,YES,,,,,,,,,,YES,PRIVATE SECTOR,KUJENGA JENGO,CRAFT AND RELATED TRADES WORKERS,"BUILDING AND RELATED TRADESï¿½ WORKERS, EXCLUDING ELECTRICIANS",BUILDING FINISHERS AND RELATED TRADES WORKERS,FLOOR LAYERS AND TILE SETTERS,,,,UJENZI MAJENGO,,Construction,Construction of buildings,Construction of buildings,Construction of buildings,4,YES,,20000,DAY,NO,,,6,4,70,36,NO,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,NO,
82-18-18-76,0017-002-001,4,YES,NO,1,NO,,NO,,NO,,,NO,NO,NO,NO,,,,,NO,NO,NO,,NO,STUDYNG OR TRAINING,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,
