interview__key,sdd_hhid,plotnum,plotname,plotid_nps4,ag3a_desc,ag3a_02_1,ag3a_02_2,ag3a_02_3,ag3a_03,ag3a_04,ag3a_07,ag3a_08a_1,ag3a_08a_2,ag3a_08b_1,ag3a_08b_2,ag3a_08b_3,ag3a_08c1,ag3a_08c2,ag3a_09a_1,ag3a_09a_2,ag3a_09b_1,ag3a_09b_2,ag3a_09b_3,ag3a_09c1,ag3a_09c2,ag3a_10,ag3a_11,ag3a_12,ag3a_13,ag3a_14,ag3a_15,ag3a_16_1,ag3a_16_2,ag3a_17,ag3a_18,ag3a_19,ag3a_20,ag3a_21,ag3a_22,ag3a_23,ag3a_24,ag3a_25,ag3a_26_1,ag3a_26_2,ag3a_27,ag3a_28a,ag3a_28b,ag3a_28c,ag3a_28d,ag3a_29_1,ag3a_29_2,ag3a_30,ag3a_31_1,ag3a_31_2,ag3a_31a,ag3a_32_1,ag3a_32_2,ag3a_33,ag3a_34_1,ag3a_34_2,ag3a_35,ag3a_36_1,ag3a_36_2,ag3a_37_1,ag3a_37_2,ag3a_38,ag3a_38a,ag3a_39,ag3a_40,ag3a_41,ag3a_42,ag3a_43,ag3a_44,ag3a_45,ag3a_46_1,ag3a_46_2,ag3a_47,ag3a_48,ag3a_49,ag3a_51,ag3a_52,ag3a_53_1,ag3a_53_2,ag3a_54,ag3a_55,ag3a_56,ag3a_58,ag3a_59_1,ag3a_59_2,ag3a_60,ag3a_62_1,ag3a_62_2,ag3a_63,ag3a_64,ag3a_65_1,ag3a_65_2,ag3a_65a,ag3a_65b_1,ag3a_65b_2,ag3a_65c,ag3a_65d,ag3a_65e_1,ag3a_65e_2,ag3a_66,ag3a_67_1,ag3a_67_2,ag3a_67_3,ag3a_67_4,ag3a_68,ag3a_69,ag3a_70_1,ag3a_70_2,ag3a_71_1,ag3a_71_2,ag3a_71a,ag3a_71b,ag3a_72a,ag3a_72b_1,ag3a_72b_2,ag3a_72b_3,ag3a_72b_4,ag3a_72b_5,ag3a_72b_6,ag3a_72b_7,ag3a_72b_8,ag3a_72b_9,ag3a_72b_10,ag3a_72e,ag3a_72f_1,ag3a_72f_2,ag3a_72f_3,ag3a_72f_4,ag3a_72f_5,ag3a_72f_6,ag3a_72f_7,ag3a_72f_8,ag3a_72f_9,ag3a_72f_10,ag3a_72i,ag3a_72j_1,ag3a_72j_2,ag3a_72j_3,ag3a_72j_4,ag3a_72j_5,ag3a_72j_6,ag3a_72j_7,ag3a_72j_8,ag3a_72j_9,ag3a_72j_10,ag3a_73,ag3a_74_1a,ag3a_74_1b,ag3a_74_1c,ag3a_74_1d,ag3a_74_2a,ag3a_74_2b,ag3a_74_2c,ag3a_74_2d,ag3a_74_3a,ag3a_74_3b,ag3a_74_3c,ag3a_74_3d,ag3a_76,ag3a_77,ag3a_78,ag3a_79,ag3a_80,ag3a_81,ag3a_82,ag3a_83,ag3a_84,ag3a_85
71-75-12-39,0005-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,8,4,8,CULTIVATED,,2,YES,NO,1,2,,,,YES,NO,1,2,,,,CLAY,GOOD,OWN EXPERIENCE,NO,,YES,WATER HARVEST BUNDS,,FLAT BOTTOM,NO,,,,2016,2,200000,PURCHASED,,,,NO CERTIFICATE,YES,NO,OFFICIAL CORRESPONDENCE,1,2,YES,1,2,NO,,,,,,,,,,,2015,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,3,,,,,,,,NO,,,,,,,,,,,YES,1,2,3,,,,,,,,YES,0,0,0,0,0,0,0,0,3,6,0,0,,,,,,NO,,YES,,FALLOW
71-75-12-39,0005-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,2000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,OFFICIAL CORRESPONDENCE,1,,YES,1,,NO,,,,,,,,,,,2004,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
98-53-45-06,0007-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,5,5,CULTIVATED,,4,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,YES,RAIN,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,600000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2002,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,YES,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,3,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
98-53-45-06,0007-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,3,8,8,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,600000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2006,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
98-53-45-06,0007-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,5,5,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,2500000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2000,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
20-72-78-84,0009-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,8,1,9,CULTIVATED,,3,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,500000,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,,,,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,5,,,,,,,,YES,1,2,5,,,,,,,,NO,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
20-72-78-84,0009-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,0,0,1,CULTIVATED,,3,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,700000,PURCHASED,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2003,YES,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
90-18-72-04,0010-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,1,0,2,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,200000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2008,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,0,4,0,30000,0,0,0,0,0,0,0,0,,,,,,NO,,YES,,FALLOW
90-18-72-04,0010-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,0,0,0,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,100000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2003,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,YES,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,0,4,0,30000,0,0,0,0,0,0,0,0,,,,,,NO,,YES,,FALLOW
90-18-72-04,0010-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,0,0,0,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,400000,PURCHASED,,,,NO CERTIFICATE,NO,,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2002,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
85-64-65-42,0011-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,10,8,30,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,600000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,45000,1,YEARS,NONE,JIRANI,KARIBU NA KIJIJI,1,,,,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,NO,ABANDONED,
85-64-65-42,0011-001-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,15,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,1500000,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,
52-32-57-20,0012-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,0,4,CULTIVATED,,3,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,400000,LAND ALLOCATION FROM  VILLAGE COUNCIL,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,1,,,,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,3,4,12,,,,,,YES,1,2,3,4,12,,,,,,YES,1,2,3,4,12,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
52-32-57-20,0012-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,1,0.5,5,CULTIVATED,,3,YES,NO,1,,,,,YES,NO,1,,,,,CLAY,GOOD,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,1400000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,YES,,,,,,,,,,,1987,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,3,4,12,,,,,,YES,1,2,3,4,12,,,,,,YES,1,2,3,4,12,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
52-32-57-20,0012-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,1,1,4,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,1987,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FOREST
15-20-64-14,0012-001-010,1,**CONFIDENTIAL**,,,0,0,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DON'T KNOW,,500000,"OTHER, SPECIFY",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,JIRANI,NDANI YA KIJIJI/MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
