interview__key,sdd_hhid,lvstckid,lf07_01,lf07_02_1,lf07_02_2,lf07_03,lf07_04_1,lf07_04_2,lf07_05,lf07_06
71-57-66-15,0031-001-001,PIGS,,,,,,,,
71-57-66-15,0031-001-001,POULTRY,,,,,,,,
71-57-66-15,0031-001-001,DONKEYS,,,,,,,,
71-57-66-15,0031-001-001,OTHER ANIMALS,,,,,,,,
59-86-17-13,0032-001-001,LARGE RUMINANTS,,,,,,,,
59-86-17-13,0032-001-001,SMALL RUMINANTS,,,,,,,,
59-86-17-13,0032-001-001,PIGS,,,,,,,,
59-86-17-13,0032-001-001,POULTRY,,,,,,,,
59-86-17-13,0032-001-001,DONKEYS,,,,,,,,
59-86-17-13,0032-001-001,OTHER ANIMALS,,,,,,,,
27-91-28-82,0033-001-001,LARGE RUMINANTS,,,,,,,,
27-91-28-82,0033-001-001,SMALL RUMINANTS,,,,,,,,
27-91-28-82,0033-001-001,PIGS,,,,,,,,
27-91-28-82,0033-001-001,POULTRY,,,,,,,,
27-91-28-82,0033-001-001,DONKEYS,,,,,,,,
27-91-28-82,0033-001-001,OTHER ANIMALS,,,,,,,,
96-66-16-43,0034-001-001,LARGE RUMINANTS,,,,,,,,
96-66-16-43,0034-001-001,SMALL RUMINANTS,,,,,,,,
96-66-16-43,0034-001-001,PIGS,,,,,,,,
96-66-16-43,0034-001-001,POULTRY,,,,,,,,
96-66-16-43,0034-001-001,DONKEYS,,,,,,,,
96-66-16-43,0034-001-001,OTHER ANIMALS,,,,,,,,
15-50-37-82,0036-001-001,LARGE RUMINANTS,,,,,,,,
15-50-37-82,0036-001-001,SMALL RUMINANTS,,,,,,,,
15-50-37-82,0036-001-001,PIGS,,,,,,,,
15-50-37-82,0036-001-001,POULTRY,,,,,,,,
15-50-37-82,0036-001-001,DONKEYS,,,,,,,,
15-50-37-82,0036-001-001,OTHER ANIMALS,,,,,,,,
52-00-18-35,0038-001-001,LARGE RUMINANTS,,,,,,,,
52-00-18-35,0038-001-001,SMALL RUMINANTS,,,,,,,,
52-00-18-35,0038-001-001,PIGS,,,,,,,,
52-00-18-35,0038-001-001,POULTRY,NO,,,,,,,
52-00-18-35,0038-001-001,DONKEYS,,,,,,,,
52-00-18-35,0038-001-001,OTHER ANIMALS,,,,,,,,
48-91-62-56,0039-001-001,LARGE RUMINANTS,,,,,,,,
48-91-62-56,0039-001-001,SMALL RUMINANTS,,,,,,,,
48-91-62-56,0039-001-001,PIGS,,,,,,,,
48-91-62-56,0039-001-001,POULTRY,,,,,,,,
48-91-62-56,0039-001-001,DONKEYS,,,,,,,,
48-91-62-56,0039-001-001,OTHER ANIMALS,,,,,,,,
69-55-32-84,0040-001-001,LARGE RUMINANTS,,,,,,,,
69-55-32-84,0040-001-001,SMALL RUMINANTS,,,,,,,,
69-55-32-84,0040-001-001,PIGS,,,,,,,,
69-55-32-84,0040-001-001,POULTRY,,,,,,,,
69-55-32-84,0040-001-001,DONKEYS,,,,,,,,
69-55-32-84,0040-001-001,OTHER ANIMALS,,,,,,,,
96-09-76-36,0041-001-001,LARGE RUMINANTS,,,,,,,,
96-09-76-36,0041-001-001,SMALL RUMINANTS,,,,,,,,
96-09-76-36,0041-001-001,PIGS,,,,,,,,
96-09-76-36,0041-001-001,POULTRY,,,,,,,,
96-09-76-36,0041-001-001,DONKEYS,,,,,,,,
96-09-76-36,0041-001-001,OTHER ANIMALS,,,,,,,,
67-96-69-36,0041-004-001,LARGE RUMINANTS,,,,,,,,
67-96-69-36,0041-004-001,SMALL RUMINANTS,,,,,,,,
67-96-69-36,0041-004-001,PIGS,,,,,,,,
67-96-69-36,0041-004-001,POULTRY,,,,,,,,
67-96-69-36,0041-004-001,DONKEYS,,,,,,,,
67-96-69-36,0041-004-001,OTHER ANIMALS,,,,,,,,
25-80-02-40,0042-001-001,LARGE RUMINANTS,,,,,,,,
25-80-02-40,0042-001-001,SMALL RUMINANTS,,,,,,,,
25-80-02-40,0042-001-001,PIGS,,,,,,,,
25-80-02-40,0042-001-001,POULTRY,,,,,,,,
25-80-02-40,0042-001-001,DONKEYS,,,,,,,,
25-80-02-40,0042-001-001,OTHER ANIMALS,,,,,,,,
63-16-88-22,0042-001-002,LARGE RUMINANTS,,,,,,,,
63-16-88-22,0042-001-002,SMALL RUMINANTS,,,,,,,,
63-16-88-22,0042-001-002,PIGS,,,,,,,,
63-16-88-22,0042-001-002,POULTRY,,,,,,,,
63-16-88-22,0042-001-002,DONKEYS,,,,,,,,
63-16-88-22,0042-001-002,OTHER ANIMALS,,,,,,,,
13-15-52-70,0043-001-001,LARGE RUMINANTS,,,,,,,,
13-15-52-70,0043-001-001,SMALL RUMINANTS,,,,,,,,
13-15-52-70,0043-001-001,PIGS,,,,,,,,
13-15-52-70,0043-001-001,POULTRY,,,,,,,,
13-15-52-70,0043-001-001,DONKEYS,,,,,,,,
13-15-52-70,0043-001-001,OTHER ANIMALS,,,,,,,,
22-43-84-51,0044-001-001,LARGE RUMINANTS,,,,,,,,
22-43-84-51,0044-001-001,SMALL RUMINANTS,,,,,,,,
22-43-84-51,0044-001-001,PIGS,,,,,,,,
22-43-84-51,0044-001-001,POULTRY,,,,,,,,
22-43-84-51,0044-001-001,DONKEYS,,,,,,,,
22-43-84-51,0044-001-001,OTHER ANIMALS,,,,,,,,
73-81-30-49,0045-001-001,LARGE RUMINANTS,,,,,,,,
73-81-30-49,0045-001-001,SMALL RUMINANTS,,,,,,,,
73-81-30-49,0045-001-001,PIGS,,,,,,,,
73-81-30-49,0045-001-001,POULTRY,,,,,,,,
73-81-30-49,0045-001-001,DONKEYS,,,,,,,,
73-81-30-49,0045-001-001,OTHER ANIMALS,,,,,,,,
43-77-98-27,0046-001-001,LARGE RUMINANTS,NO,,,,,,,
43-77-98-27,0046-001-001,SMALL RUMINANTS,NO,,,,,,,
43-77-98-27,0046-001-001,PIGS,,,,,,,,
43-77-98-27,0046-001-001,POULTRY,NO,,,,,,,
43-77-98-27,0046-001-001,DONKEYS,NO,,,,,,YES,NO
43-77-98-27,0046-001-001,OTHER ANIMALS,,,,,,,,
24-75-61-52,0047-001-001,LARGE RUMINANTS,NO,,,,,,NO,YES
24-75-61-52,0047-001-001,SMALL RUMINANTS,NO,,,,,,,
24-75-61-52,0047-001-001,PIGS,,,,,,,,
24-75-61-52,0047-001-001,POULTRY,,,,,,,,
24-75-61-52,0047-001-001,DONKEYS,,,,,,,,
24-75-61-52,0047-001-001,OTHER ANIMALS,,,,,,,,
97-60-31-67,0048-001-001,LARGE RUMINANTS,,,,,,,,
97-60-31-67,0048-001-001,SMALL RUMINANTS,YES,MANURE,,,30,KG,,
97-60-31-67,0048-001-001,PIGS,,,,,,,,
97-60-31-67,0048-001-001,POULTRY,NO,,,,,,,
97-60-31-67,0048-001-001,DONKEYS,,,,,,,,
97-60-31-67,0048-001-001,OTHER ANIMALS,,,,,,,,
03-68-77-59,0049-001-001,LARGE RUMINANTS,,,,,,,,
03-68-77-59,0049-001-001,SMALL RUMINANTS,YES,MANURE,,,30,KG,,
03-68-77-59,0049-001-001,PIGS,,,,,,,,
03-68-77-59,0049-001-001,POULTRY,NO,,,,,,,
03-68-77-59,0049-001-001,DONKEYS,,,,,,,,
03-68-77-59,0049-001-001,OTHER ANIMALS,,,,,,,,
88-71-20-70,0050-001-001,LARGE RUMINANTS,,,,,,,,
88-71-20-70,0050-001-001,SMALL RUMINANTS,YES,MANURE,,,60,KG,,
88-71-20-70,0050-001-001,PIGS,YES,MANURE,,,20,KG,,
88-71-20-70,0050-001-001,POULTRY,YES,MANURE,,,5,KG,,
88-71-20-70,0050-001-001,DONKEYS,,,,,,,,
88-71-20-70,0050-001-001,OTHER ANIMALS,,,,,,,,
62-93-39-20,0051-001-001,LARGE RUMINANTS,YES,MANURE,,,1000,LITER,NO,NO
62-93-39-20,0051-001-001,SMALL RUMINANTS,YES,MANURE,,,400,LITER,,
62-93-39-20,0051-001-001,PIGS,YES,MANURE,,,1000,KG,,
62-93-39-20,0051-001-001,POULTRY,YES,MANURE,,,100,KG,,
62-93-39-20,0051-001-001,DONKEYS,,,,,,,,
62-93-39-20,0051-001-001,OTHER ANIMALS,,,,,,,,
92-89-07-22,0051-001-002,LARGE RUMINANTS,,,,,,,,
92-89-07-22,0051-001-002,SMALL RUMINANTS,,,,,,,,
92-89-07-22,0051-001-002,PIGS,,,,,,,,
92-89-07-22,0051-001-002,POULTRY,,,,,,,,
92-89-07-22,0051-001-002,DONKEYS,,,,,,,,
92-89-07-22,0051-001-002,OTHER ANIMALS,,,,,,,,
28-71-87-26,0051-001-003,LARGE RUMINANTS,,,,,,,,
28-71-87-26,0051-001-003,SMALL RUMINANTS,,,,,,,,
28-71-87-26,0051-001-003,PIGS,,,,,,,,
28-71-87-26,0051-001-003,POULTRY,,,,,,,,
28-71-87-26,0051-001-003,DONKEYS,,,,,,,,
28-71-87-26,0051-001-003,OTHER ANIMALS,,,,,,,,
00-72-79-53,0055-001-001,LARGE RUMINANTS,,,,,,,,
00-72-79-53,0055-001-001,SMALL RUMINANTS,,,,,,,,
00-72-79-53,0055-001-001,PIGS,,,,,,,,
00-72-79-53,0055-001-001,POULTRY,NO,,,,,,,
00-72-79-53,0055-001-001,DONKEYS,,,,,,,,
00-72-79-53,0055-001-001,OTHER ANIMALS,,,,,,,,
72-59-54-68,0055-003-001,LARGE RUMINANTS,,,,,,,,
72-59-54-68,0055-003-001,SMALL RUMINANTS,,,,,,,,
72-59-54-68,0055-003-001,PIGS,,,,,,,,
72-59-54-68,0055-003-001,POULTRY,,,,,,,,
72-59-54-68,0055-003-001,DONKEYS,,,,,,,,
72-59-54-68,0055-003-001,OTHER ANIMALS,,,,,,,,
73-41-85-14,0056-001-001,LARGE RUMINANTS,YES,MANURE,,,350,KG,NO,NO
73-41-85-14,0056-001-001,SMALL RUMINANTS,YES,MANURE,,,150,KG,,
73-41-85-14,0056-001-001,PIGS,,,,,,,,
73-41-85-14,0056-001-001,POULTRY,NO,,,,,,,
73-41-85-14,0056-001-001,DONKEYS,,,,,,,,
73-41-85-14,0056-001-001,OTHER ANIMALS,,,,,,,,
16-64-27-88,0057-001-001,LARGE RUMINANTS,,,,,,,,
16-64-27-88,0057-001-001,SMALL RUMINANTS,YES,MANURE,,,45,KG,,
16-64-27-88,0057-001-001,PIGS,,,,,,,,
16-64-27-88,0057-001-001,POULTRY,,,,,,,,
16-64-27-88,0057-001-001,DONKEYS,,,,,,,,
16-64-27-88,0057-001-001,OTHER ANIMALS,,,,,,,,
34-42-58-96,0058-001-001,LARGE RUMINANTS,,,,,,,,
34-42-58-96,0058-001-001,SMALL RUMINANTS,YES,MANURE,,,35,KG,,
34-42-58-96,0058-001-001,PIGS,,,,,,,,
34-42-58-96,0058-001-001,POULTRY,,,,,,,,
34-42-58-96,0058-001-001,DONKEYS,,,,,,,,
34-42-58-96,0058-001-001,OTHER ANIMALS,,,,,,,,
77-68-44-59,0059-001-001,LARGE RUMINANTS,,,,,,,,
77-68-44-59,0059-001-001,SMALL RUMINANTS,,,,,,,,
77-68-44-59,0059-001-001,PIGS,,,,,,,,
77-68-44-59,0059-001-001,POULTRY,NO,,,,,,,
77-68-44-59,0059-001-001,DONKEYS,,,,,,,,
77-68-44-59,0059-001-001,OTHER ANIMALS,,,,,,,,
44-35-85-32,0060-001-001,LARGE RUMINANTS,NO,,,,,,NO,YES
44-35-85-32,0060-001-001,SMALL RUMINANTS,,,,,,,,
44-35-85-32,0060-001-001,PIGS,,,,,,,,
44-35-85-32,0060-001-001,POULTRY,NO,,,,,,,
44-35-85-32,0060-001-001,DONKEYS,,,,,,,,
44-35-85-32,0060-001-001,OTHER ANIMALS,,,,,,,,
45-55-29-47,0061-001-001,LARGE RUMINANTS,,,,,,,,
45-55-29-47,0061-001-001,SMALL RUMINANTS,,,,,,,,
45-55-29-47,0061-001-001,PIGS,,,,,,,,
45-55-29-47,0061-001-001,POULTRY,NO,,,,,,,
45-55-29-47,0061-001-001,DONKEYS,,,,,,,,
45-55-29-47,0061-001-001,OTHER ANIMALS,,,,,,,,
47-61-12-15,0062-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
47-61-12-15,0062-001-001,SMALL RUMINANTS,NO,,,,,,,
47-61-12-15,0062-001-001,PIGS,,,,,,,,
47-61-12-15,0062-001-001,POULTRY,NO,,,,,,,
47-61-12-15,0062-001-001,DONKEYS,,,,,,,,
47-61-12-15,0062-001-001,OTHER ANIMALS,,,,,,,,
35-43-12-92,0062-001-003,LARGE RUMINANTS,,,,,,,,
35-43-12-92,0062-001-003,SMALL RUMINANTS,,,,,,,,
35-43-12-92,0062-001-003,PIGS,,,,,,,,
35-43-12-92,0062-001-003,POULTRY,,,,,,,,
35-43-12-92,0062-001-003,DONKEYS,,,,,,,,
35-43-12-92,0062-001-003,OTHER ANIMALS,,,,,,,,
53-26-19-17,0062-001-004,LARGE RUMINANTS,,,,,,,,
53-26-19-17,0062-001-004,SMALL RUMINANTS,,,,,,,,
53-26-19-17,0062-001-004,PIGS,,,,,,,,
53-26-19-17,0062-001-004,POULTRY,,,,,,,,
53-26-19-17,0062-001-004,DONKEYS,,,,,,,,
53-26-19-17,0062-001-004,OTHER ANIMALS,,,,,,,,
56-72-41-10,0062-001-005,LARGE RUMINANTS,,,,,,,,
56-72-41-10,0062-001-005,SMALL RUMINANTS,,,,,,,,
56-72-41-10,0062-001-005,PIGS,,,,,,,,
56-72-41-10,0062-001-005,POULTRY,,,,,,,,
56-72-41-10,0062-001-005,DONKEYS,,,,,,,,
56-72-41-10,0062-001-005,OTHER ANIMALS,,,,,,,,
20-34-21-50,0062-004-001,LARGE RUMINANTS,,,,,,,,
20-34-21-50,0062-004-001,SMALL RUMINANTS,,,,,,,,
20-34-21-50,0062-004-001,PIGS,,,,,,,,
20-34-21-50,0062-004-001,POULTRY,,,,,,,,
20-34-21-50,0062-004-001,DONKEYS,,,,,,,,
20-34-21-50,0062-004-001,OTHER ANIMALS,,,,,,,,
67-14-39-51,0063-001-003,LARGE RUMINANTS,,,,,,,,
67-14-39-51,0063-001-003,SMALL RUMINANTS,,,,,,,,
67-14-39-51,0063-001-003,PIGS,,,,,,,,
67-14-39-51,0063-001-003,POULTRY,,,,,,,,
67-14-39-51,0063-001-003,DONKEYS,,,,,,,,
67-14-39-51,0063-001-003,OTHER ANIMALS,,,,,,,,
47-38-96-20,0065-001-001,LARGE RUMINANTS,,,,,,,,
47-38-96-20,0065-001-001,SMALL RUMINANTS,,,,,,,,
47-38-96-20,0065-001-001,PIGS,,,,,,,,
47-38-96-20,0065-001-001,POULTRY,NO,,,,,,,
47-38-96-20,0065-001-001,DONKEYS,,,,,,,,
47-38-96-20,0065-001-001,OTHER ANIMALS,,,,,,,,
68-03-68-88,0066-002-001,LARGE RUMINANTS,,,,,,,,
68-03-68-88,0066-002-001,SMALL RUMINANTS,,,,,,,,
68-03-68-88,0066-002-001,PIGS,,,,,,,,
68-03-68-88,0066-002-001,POULTRY,,,,,,,,
68-03-68-88,0066-002-001,DONKEYS,,,,,,,,
68-03-68-88,0066-002-001,OTHER ANIMALS,,,,,,,,
32-51-53-41,0066-003-001,LARGE RUMINANTS,,,,,,,,
32-51-53-41,0066-003-001,SMALL RUMINANTS,NO,,,,,,,
32-51-53-41,0066-003-001,PIGS,,,,,,,,
32-51-53-41,0066-003-001,POULTRY,,,,,,,,
32-51-53-41,0066-003-001,DONKEYS,,,,,,,,
32-51-53-41,0066-003-001,OTHER ANIMALS,,,,,,,,
09-55-27-80,0066-003-003,LARGE RUMINANTS,,,,,,,,
09-55-27-80,0066-003-003,SMALL RUMINANTS,,,,,,,,
09-55-27-80,0066-003-003,PIGS,,,,,,,,
09-55-27-80,0066-003-003,POULTRY,NO,,,,,,,
09-55-27-80,0066-003-003,DONKEYS,,,,,,,,
09-55-27-80,0066-003-003,OTHER ANIMALS,,,,,,,,
