interview__key,sdd_hhid,itemcode,hh_k01,hh_k02
90-18-72-04,0010-001-001,"MILLING FEES, GRAIN",YES,2000
90-18-72-04,0010-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4800
90-18-72-04,0010-001-001,CLOTHES SOAP (POWDER),YES,4000
90-18-72-04,0010-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,500
90-18-72-04,0010-001-001,TOILET PAPER,YES,1000
90-18-72-04,0010-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2500
90-18-72-04,0010-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,600
90-18-72-04,0010-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
90-18-72-04,0010-001-001,LIGHT BULBS,NO,
90-18-72-04,0010-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
90-18-72-04,0010-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,2000
90-18-72-04,0010-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
90-18-72-04,0010-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
90-18-72-04,0010-001-001,WAGES PAID TO SERVANTS,NO,
90-18-72-04,0010-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
90-18-72-04,0010-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
85-64-65-42,0011-001-001,CIGARETTES OR TOBACCO,NO,
85-64-65-42,0011-001-001,MATCHES,YES,200
85-64-65-42,0011-001-001,PUBLIC TRANSPORT,NO,
85-64-65-42,0011-001-001,KEROSENE,NO,
85-64-65-42,0011-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
85-64-65-42,0011-001-001,GAS (FOR LIGHTING/COOKING),NO,
85-64-65-42,0011-001-001,WATER,NO,
85-64-65-42,0011-001-001,PETROL OR DIESEL,NO,
85-64-65-42,0011-001-001,CELL PHONE VOUCHER,YES,5000
85-64-65-42,0011-001-001,CHARCOAL,NO,
85-64-65-42,0011-001-001,"MILLING FEES, GRAIN",YES,1000
85-64-65-42,0011-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3000
85-64-65-42,0011-001-001,CLOTHES SOAP (POWDER),YES,5000
85-64-65-42,0011-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
85-64-65-42,0011-001-001,TOILET PAPER,NO,
85-64-65-42,0011-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
85-64-65-42,0011-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
85-64-65-42,0011-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
85-64-65-42,0011-001-001,LIGHT BULBS,NO,
85-64-65-42,0011-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
85-64-65-42,0011-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
85-64-65-42,0011-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
85-64-65-42,0011-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
85-64-65-42,0011-001-001,WAGES PAID TO SERVANTS,NO,
85-64-65-42,0011-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
85-64-65-42,0011-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
52-32-57-20,0012-001-001,CIGARETTES OR TOBACCO,YES,500
52-32-57-20,0012-001-001,MATCHES,NO,
52-32-57-20,0012-001-001,PUBLIC TRANSPORT,NO,
52-32-57-20,0012-001-001,KEROSENE,NO,
52-32-57-20,0012-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
52-32-57-20,0012-001-001,GAS (FOR LIGHTING/COOKING),NO,
52-32-57-20,0012-001-001,WATER,NO,
52-32-57-20,0012-001-001,PETROL OR DIESEL,NO,
52-32-57-20,0012-001-001,CELL PHONE VOUCHER,YES,4800
52-32-57-20,0012-001-001,CHARCOAL,NO,
52-32-57-20,0012-001-001,"MILLING FEES, GRAIN",YES,2000
52-32-57-20,0012-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
52-32-57-20,0012-001-001,CLOTHES SOAP (POWDER),YES,500
52-32-57-20,0012-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
52-32-57-20,0012-001-001,TOILET PAPER,NO,
52-32-57-20,0012-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
52-32-57-20,0012-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,500
