interview__key,sdd_hhid,hh_q14,sourceid,hh_q15,hh_q16,hh_q17,hh_q18,hh_q19,hh_q20,hh_q21_1,hh_q21_2,hh_q22_1,hh_q22_2,hh_q22_3,hh_q23,hh_q25_1,hh_q25_2,hh_q26,hh_q27_1,hh_q27_2,hh_q24_1,hh_q24_2,hh_q24_3
68-03-68-88,0066-002-001,NO,,,,,,,,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,YES,1,**CONFIDENTIAL**,SON,21,MALE,F2,MWANZA,YEARS,2,FRIENDS/RELATIVES,,,80000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
32-51-53-41,0066-003-001,YES,2,**CONFIDENTIAL**,DAUGHTER,19,FEMALE,D7,MWANZA,YEARS,1,OTHER (SPECIFY),,,75000,1,2,25000,1,2,HOUSEHOLD CONSUMPTION,,
09-55-27-80,0066-003-003,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),35,MALE,D7,DAR ES SALAAM,YEARS,8,FRIENDS/RELATIVES,,,70000,1,2,100000,1,2,HOUSEHOLD CONSUMPTION,,
99-00-08-27,0066-003-004,NO,,,,,,,,,,,,,,,,,,,,,
03-98-19-65,0066-003-005,NO,,,,,,,,,,,,,,,,,,,,,
39-00-30-36,0066-003-006,NO,,,,,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,38,FEMALE,F4,MBEYA,YEARS,3,M-PESA,,,250000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-27-42-34,0067-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,27,FEMALE,F4,DAR ES SALAAM,YEARS,2,FRIENDS/RELATIVES,,,300000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
33-84-05-95,0067-001-002,YES,1,**CONFIDENTIAL**,SON,30,MALE,F4,ARUSHA,YEARS,3,M-PESA,,,130000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
13-42-14-49,0067-004-001,NO,,,,,,,,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,NO,,,,,,,,,,,,,,,,,,,,,
91-76-63-44,0071-001-001,YES,1,**CONFIDENTIAL**,SON,39,MALE,D7,TANGA,YEARS,39,OTHER (SPECIFY),,,40000,1,2,150000,1,2,HOUSEHOLD CONSUMPTION,,
91-76-63-44,0071-001-001,YES,2,**CONFIDENTIAL**,SON,29,MALE,D7,TANGA,YEARS,3,OTHER (SPECIFY),,,80000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
91-76-63-44,0071-001-001,YES,3,**CONFIDENTIAL**,SON,21,MALE,D1,TANGA,YEARS,2,OTHER (SPECIFY),,,10000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
81-33-13-06,0071-001-003,NO,,,,,,,,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,NO,,,,,,,,,,,,,,,,,,,,,
82-54-53-99,0072-003-001,NO,,,,,,,,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,NO,,,,,,,,,,,,,,,,,,,,,
09-96-03-52,0073-001-002,NO,,,,,,,,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,NO,,,,,,,,,,,,,,,,,,,,,
05-43-63-02,0075-001-003,YES,1,**CONFIDENTIAL**,PARENT,40,FEMALE,D7,TANGA,YEARS,3,TIGO PESA,,,40000,3,,NONE,,,OTHER (SPECIFY),,
69-76-07-75,0077-001-001,YES,1,**CONFIDENTIAL**,SON,32,MALE,D7,DAR ES SALAAM,YEARS,10,TIGO PESA,,,120000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
80-60-48-21,0077-003-001,NO,,,,,,,,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,NO,,,,,,,,,,,,,,,,,,,,,
03-09-85-87,0079-001-001,NO,,,,,,,,,,,,,,,,,,,,,
78-16-68-29,0080-001-001,NO,,,,,,,,,,,,,,,,,,,,,
82-35-18-51,0081-001-001,YES,1,**CONFIDENTIAL**,SON,31,MALE,D6,MJINI/MAGHARIBI UNGUJA,YEARS,10,TIGO PESA,,,300000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
82-35-18-51,0081-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,20,FEMALE,F2,DAR ES SALAAM,YEARS,2,TIGO PESA,,,100000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
24-96-35-07,0081-004-001,NO,,,,,,,,,,,,,,,,,,,,,
61-09-91-34,0082-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,26,FEMALE,F4,DAR ES SALAAM,YEARS,6,FRIENDS/RELATIVES,,,100000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
61-09-91-34,0082-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,28,FEMALE,D7,MOROGORO,YEARS,7,FRIENDS/RELATIVES,,,50000,1,2,120000,1,2,HOUSEHOLD CONSUMPTION,,
65-72-13-93,0082-003-001,NO,,,,,,,,,,,,,,,,,,,,,
43-70-22-69,0082-003-002,NO,,,,,,,,,,,,,,,,,,,,,
69-63-97-41,0082-004-001,YES,1,**CONFIDENTIAL**,FRIEND,49,FEMALE,F6,MOROGORO,YEARS,30,TIGO PESA,AIRTEL MONEY,FRIENDS/RELATIVES,500000,1,,80000,1,,HOUSEHOLD CONSUMPTION,FARMING,
69-63-97-41,0082-004-001,YES,2,**CONFIDENTIAL**,FRIEND,60,MALE,F4,MOROGORO,YEARS,50,OTHER (SPECIFY),,,700000,1,,NONE,,,HOUSEHOLD CONSUMPTION,EDUCATION,HEALTH
69-63-97-41,0082-004-001,YES,3,**CONFIDENTIAL**,FRIEND,55,MALE,D7,MOROGORO,YEARS,55,OTHER (SPECIFY),TIGO PESA,,200000,1,,NONE,,,HOUSEHOLD CONSUMPTION,FARMING,
43-56-83-29,0082-005-001,NO,,,,,,,,,,,,,,,,,,,,,
82-24-69-15,0083-001-001,NO,,,,,,,,,,,,,,,,,,,,,
71-57-99-29,0084-001-001,NO,,,,,,,,,,,,,,,,,,,,,
74-56-02-42,0084-002-001,NO,,,,,,,,,,,,,,,,,,,,,
70-36-26-23,0085-001-001,YES,1,**CONFIDENTIAL**,SON,55,MALE,D7,DAR ES SALAAM,YEARS,30,FRIENDS/RELATIVES,,,300000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
70-36-26-23,0085-001-001,YES,2,**CONFIDENTIAL**,SON,52,MALE,D7,TANGA,YEARS,52,OTHER (SPECIFY),,,10000,1,,150000,1,,HOUSEHOLD CONSUMPTION,,
70-36-26-23,0085-001-001,YES,3,**CONFIDENTIAL**,SON,48,MALE,F4,TANGA,YEARS,48,OTHER (SPECIFY),,,200000,1,,30000,1,,HOUSEHOLD CONSUMPTION,,
70-36-26-23,0085-001-001,YES,4,**CONFIDENTIAL**,SON,40,MALE,D7,TANGA,YEARS,40,OTHER (SPECIFY),,,0,,,150000,1,,,,
70-36-26-23,0085-001-001,YES,5,**CONFIDENTIAL**,SON,35,MALE,D7,TANGA,YEARS,35,OTHER (SPECIFY),,,0,,,100000,1,,,,
70-36-26-23,0085-001-001,YES,6,**CONFIDENTIAL**,DAUGHTER,32,FEMALE,D7,DAR ES SALAAM,YEARS,5,FRIENDS/RELATIVES,,,150000,1,,100000,1,,HOUSEHOLD CONSUMPTION,,
12-34-17-02,0085-002-001,NO,,,,,,,,,,,,,,,,,,,,,
05-51-26-77,0085-003-001,NO,,,,,,,,,,,,,,,,,,,,,
08-61-34-21,0086-001-001,YES,1,**CONFIDENTIAL**,BROTHER,58,MALE,F4,DAR ES SALAAM,YEARS,29,OTHER (SPECIFY),,,0,,,400000,1,,,,
07-11-78-55,0087-001-001,NO,,,,,,,,,,,,,,,,,,,,,
26-78-44-09,0087-001-002,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,34,MALE,D7,TANGA,YEARS,10,FRIENDS/RELATIVES,,,0,,,30000,2,,,,
26-78-44-09,0087-001-002,YES,2,**CONFIDENTIAL**,BROTHER,45,MALE,D7,DAR ES SALAAM,YEARS,20,FRIENDS/RELATIVES,,,70000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
26-78-44-09,0087-001-002,YES,3,**CONFIDENTIAL**,OTHER RELATIVE,27,MALE,D7,TANGA,YEARS,8,FRIENDS/RELATIVES,,,50000,2,5,NONE,,,HOUSEHOLD CONSUMPTION,,
26-78-44-09,0087-001-002,YES,4,**CONFIDENTIAL**,SISTER,50,FEMALE,D7,TANGA,YEARS,10,FRIENDS/RELATIVES,,,20000,2,5,NONE,,,HOUSEHOLD CONSUMPTION,,
74-12-78-76,0088-001-001,NO,,,,,,,,,,,,,,,,,,,,,
47-53-89-65,0089-001-001,NO,,,,,,,,,,,,,,,,,,,,,
67-17-25-56,0089-002-001,NO,,,,,,,,,,,,,,,,,,,,,
11-84-02-64,0089-002-002,NO,,,,,,,,,,,,,,,,,,,,,
13-79-88-08,0090-001-001,NO,,,,,,,,,,,,,,,,,,,,,
43-96-03-62,0090-001-005,NO,,,,,,,,,,,,,,,,,,,,,
42-78-55-98,0091-001-001,NO,,,,,,,,,,,,,,,,,,,,,
01-67-04-36,0092-001-001,NO,,,,,,,,,,,,,,,,,,,,,
18-41-40-51,0093-001-001,NO,,,,,,,,,,,,,,,,,,,,,
70-24-33-41,0096-001-001,YES,1,**CONFIDENTIAL**,BROTHER,40,MALE,D7,DAR ES SALAAM,YEARS,20,TIGO PESA,,,200000,1,,NONE,,,HOUSEHOLD CONSUMPTION,FARMING,
42-11-56-10,0096-002-002,NO,,,,,,,,,,,,,,,,,,,,,
88-19-63-23,0097-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,40,FEMALE,D6,DAR ES SALAAM,YEARS,14,OTHER (SPECIFY),M-PESA,,850000,1,5,600000,1,5,HOUSEHOLD CONSUMPTION,HEALTH,FARMING
88-19-63-23,0097-001-001,YES,2,**CONFIDENTIAL**,SON,32,MALE,D7,DAR ES SALAAM,YEARS,6,M-PESA,OTHER (SPECIFY),,650000,1,5,320000,1,5,HOUSEHOLD CONSUMPTION,FARMING,HEALTH
93-47-38-83,0097-001-003,NO,,,,,,,,,,,,,,,,,,,,,
76-46-87-39,0098-001-001,NO,,,,,,,,,,,,,,,,,,,,,
89-69-28-73,0099-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,26,FEMALE,F4,DAR ES SALAAM,YEARS,6,TIGO PESA,,,250000,1,,550000,1,,HOUSEHOLD CONSUMPTION,,
33-12-11-68,0099-001-004,NO,,,,,,,,,,,,,,,,,,,,,
25-01-61-44,0099-001-006,NO,,,,,,,,,,,,,,,,,,,,,
42-94-75-73,0099-008-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),52,FEMALE,NO EDUCATION,TANGA,YEARS,52,FRIENDS/RELATIVES,,,200000,1,2,300000,1,2,HOUSEHOLD CONSUMPTION,,
73-19-77-82,0100-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,30,MALE,D7,DAR ES SALAAM,YEARS,3,TIGO PESA,,,10000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
07-74-53-75,0101-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,32,FEMALE,F4,TANGA,YEARS,32,OTHER (SPECIFY),,,120000,1,,100000,1,,HOUSEHOLD CONSUMPTION,,
07-74-53-75,0101-001-001,YES,2,**CONFIDENTIAL**,SON,23,MALE,D7,DAR ES SALAAM,YEARS,2,TIGO PESA,,,60000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
07-74-53-75,0101-001-001,YES,3,**CONFIDENTIAL**,BROTHER,62,MALE,D7,DAR ES SALAAM,YEARS,45,TIGO PESA,,,40000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
07-74-53-75,0101-001-001,YES,4,**CONFIDENTIAL**,BROTHER,42,MALE,D7,DAR ES SALAAM,YEARS,28,TIGO PESA,,,25000,1,,NONE,,,HOUSEHOLD CONSUMPTION,FARMING,
07-74-53-75,0101-001-001,YES,5,**CONFIDENTIAL**,BROTHER,38,MALE,D7,DAR ES SALAAM,YEARS,7,TIGO PESA,,,30000,1,,NONE,,,FARMING,,
28-26-05-62,0101-001-002,NO,,,,,,,,,,,,,,,,,,,,,
09-18-15-86,0101-002-001,YES,1,**CONFIDENTIAL**,FRIEND,27,MALE,D7,TANGA,YEARS,5,TIGO PESA,,,3000,1,4,NONE,,,HOUSEHOLD CONSUMPTION,,
09-18-15-86,0101-002-001,YES,2,**CONFIDENTIAL**,BROTHER,29,MALE,D7,TANGA,YEARS,29,FRIENDS/RELATIVES,,,65000,1,4,NONE,,,HOUSEHOLD CONSUMPTION,,
09-18-15-86,0101-002-001,YES,3,**CONFIDENTIAL**,IN-LAW,22,MALE,D7,TANGA,YEARS,22,AIRTEL MONEY,,,3000,1,4,NONE,,,HOUSEHOLD CONSUMPTION,,
48-76-11-58,0101-003-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,20,MALE,D7,DAR ES SALAAM,YEARS,7,TIGO PESA,,,10000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
16-87-89-06,0102-001-001,NO,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,NO,,,,,,,,,,,,,,,,,,,,,
13-27-24-08,0103-001-001,YES,1,**CONFIDENTIAL**,SON,23,MALE,F4,DAR ES SALAAM,YEARS,1,AIRTEL MONEY,,,500000,1,2,250000,1,2,HOUSEHOLD CONSUMPTION,BUSINESS,
13-27-24-08,0103-001-001,YES,2,**CONFIDENTIAL**,SON,27,MALE,F2,MTWARA,YEARS,3,AIRTEL MONEY,M-PESA,,540000,1,2,380000,1,2,HOUSEHOLD CONSUMPTION,BUSINESS,
61-86-51-55,0104-001-001,NO,,,,,,,,,,,,,,,,,,,,,
82-80-49-27,0104-001-006,YES,1,**CONFIDENTIAL**,PARENT,53,FEMALE,D7,KUSINI PEMBA,YEARS,4,EZY PESA,,,10000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
82-80-49-27,0104-001-006,YES,2,**CONFIDENTIAL**,PARENT,56,MALE,D7,TANGA,YEARS,42,FRIENDS/RELATIVES,,,0,,,14000,1,2,,,
45-01-65-38,0104-008-001,NO,,,,,,,,,,,,,,,,,,,,,
56-75-17-70,0105-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,34,FEMALE,D7,DAR ES SALAAM,YEARS,8,AIRTEL MONEY,,,400000,1,2,280000,1,2,HOUSEHOLD CONSUMPTION,FARMING,
03-36-44-51,0105-005-001,NO,,,,,,,,,,,,,,,,,,,,,
83-56-10-16,0106-001-002,NO,,,,,,,,,,,,,,,,,,,,,
72-82-51-97,0106-001-003,NO,,,,,,,,,,,,,,,,,,,,,
11-04-09-01,0107-001-001,YES,1,**CONFIDENTIAL**,SON,45,MALE,D7,TANGA,YEARS,24,TIGO PESA,OTHER (SPECIFY),,940000,1,,400000,1,,HOUSEHOLD CONSUMPTION,HEALTH,FARMING
51-54-44-86,0108-001-001,NO,,,,,,,,,,,,,,,,,,,,,
35-34-97-68,0108-001-002,YES,1,**CONFIDENTIAL**,SON,24,MALE,D7,MOROGORO,YEARS,24,OTHER (SPECIFY),,,100000,1,,250000,1,,HOUSEHOLD CONSUMPTION,,
35-34-97-68,0108-001-002,YES,2,**CONFIDENTIAL**,SISTER,28,FEMALE,D7,MOROGORO,YEARS,28,FRIENDS/RELATIVES,OTHER (SPECIFY),,120000,1,,90000,1,,HOUSEHOLD CONSUMPTION,HEALTH,
