interview__key,sdd_hhid,plotnum,plotname,ag2a_03,ag2a_04,ag2a_05,ag2a_05a,ag2a_06,ag2a_07__Accuracy,ag2a_07__Altitude,ag2a_07__Latitude,ag2a_07__Longitude,ag2a_07__Timestamp,ag2a_07a,ag2a_07b,ag2a_07c_1,ag2a_07c_2,ag2a_07c_3,ag2a_08,ag2a_09,ag2a_10
52-32-57-20,0012-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,4,M3,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
15-20-64-14,0012-001-010,1,**CONFIDENTIAL**,,0.1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
31-30-77-11,0012-003-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,4,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,3.97,MOSTLY CLEAR / MOSTLY SUNNY
18-76-19-96,0013-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.41,CLEAR / SUNNY
18-76-19-96,0013-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
18-76-19-96,0013-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.03,CLEAR / SUNNY
58-42-71-45,0015-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,4,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,3.5,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,3,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,2.7,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,4,M3,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
58-42-71-45,0015-001-001,4,**CONFIDENTIAL**,**CONFIDENTIAL**,0.8,M4,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.7,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,5,**CONFIDENTIAL**,**CONFIDENTIAL**,3,M5,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,3,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,6,**CONFIDENTIAL**,**CONFIDENTIAL**,5,M6,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,3.6,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,7,**CONFIDENTIAL**,**CONFIDENTIAL**,4,M7,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,4,MOSTLY CLEAR / MOSTLY SUNNY
58-42-71-45,0015-001-001,8,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,M8,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.3,MOSTLY CLEAR / MOSTLY SUNNY
89-06-03-18,0016-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
89-06-03-18,0016-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
73-26-58-64,0016-001-002,1,**CONFIDENTIAL**,,1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.3,MOSTLY CLEAR / MOSTLY SUNNY
73-26-58-64,0016-001-002,2,**CONFIDENTIAL**,,2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
73-26-58-64,0016-001-002,3,**CONFIDENTIAL**,,10,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
56-32-76-33,0017-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
56-32-76-33,0017-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.03,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
56-32-76-33,0017-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.12,PARTLY CLOUDY / PARTLY SUNNY
82-18-18-76,0017-002-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
39-47-88-39,0018-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.97,MOSTLY CLEAR / MOSTLY SUNNY
39-47-88-39,0018-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,1.15,CLEAR / SUNNY
39-47-88-39,0018-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
39-47-88-39,0018-001-001,4,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,1,,,,0.01,CLEAR / SUNNY
39-47-88-39,0018-001-001,5,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.03,CLEAR / SUNNY
40-73-12-41,0020-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.87,CLEAR / SUNNY
40-73-12-41,0020-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,5,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,4.91,CLEAR / SUNNY
40-73-12-41,0020-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.47,CLEAR / SUNNY
52-25-14-40,0023-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,50,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
52-25-14-40,0023-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,REFUSED,,
52-25-14-40,0023-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
96-43-78-97,0024-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,3,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,2.29,MOSTLY CLEAR / MOSTLY SUNNY
06-46-18-18,0026-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.3,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,NO,,,,,0.12,PARTLY CLOUDY / PARTLY SUNNY
73-00-55-05,0028-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,NO,,,,,0.02,PARTLY CLOUDY / PARTLY SUNNY
38-25-71-90,0029-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
38-25-71-90,0029-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
38-25-71-90,0029-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.23,PARTLY CLOUDY / PARTLY SUNNY
28-47-21-26,0030-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
71-57-66-15,0031-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
59-86-17-13,0032-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
27-91-28-82,0033-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,NO,,,,,0.7,PARTLY CLOUDY / PARTLY SUNNY
27-91-28-82,0033-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.07,PARTLY CLOUDY / PARTLY SUNNY
96-66-16-43,0034-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
15-50-37-82,0036-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
15-50-37-82,0036-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M2,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
15-50-37-82,0036-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,M3,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
52-00-18-35,0038-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
48-91-62-56,0039-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
69-55-32-84,0040-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.2,CLEAR / SUNNY
96-09-76-36,0041-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,NO,,,,,0.08,COMPLETELY CLOUDY
25-80-02-40,0042-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.4,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
63-16-88-22,0042-001-002,1,**CONFIDENTIAL**,,0.3,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
22-43-84-51,0044-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
73-81-30-49,0045-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
73-81-30-49,0045-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.02,CLEAR / SUNNY
43-77-98-27,0046-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
43-77-98-27,0046-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
24-75-61-52,0047-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,7,M1,YES,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,NO,,,,,10.4,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
24-75-61-52,0047-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,1.5,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,2.97,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
97-60-31-67,0048-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
97-60-31-67,0048-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
97-60-31-67,0048-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,1,,YES,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.73,PARTLY CLOUDY / PARTLY SUNNY
03-68-77-59,0049-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M1,YES,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
