interview__key,sdd_hhid,plotnum,cropid,ag4b_01,ag4b_02,ag4b_03,ag4b_04,ag4b_05,ag4b_06,ag4b_08,ag4b_10_1,ag4b_10_2,ag4b_10a_1,ag4b_10a_2,ag4b_10b,ag4b_10c_1,ag4b_10c_2,ag4b_12,ag4b_13_1,ag4b_13_2,ag4b_17,ag4b_18,ag4b_19,ag4b_20,ag4b_21,ag4b_22,ag4b_23,ag4b_24_1,ag4b_24_2,ag4b_25,ag4b_26,ag4b_27,ag4b_28,ag4b_29,ag4b_30_1,ag4b_30_2
73-41-85-14,0056-001-001,2,28,YES,,,YES,MORE FERTILE FOR THE SOIL,NYEUPE,TRADITIONAL,2,KG,HAKUNA,,,2,KG,3000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,NO,OTHER (SPECIFY),,,,,,,,,,,,
16-64-27-88,0057-001-001,1,1,NO,1/2,WAS DIVIDED,NO,,YA MOSHI,TRADITIONAL,8,KG,8,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,FEBRUARY,FEBRUARY,YES,,,60,30000,2,
34-42-58-96,0058-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,3,KG,HAKUNA,,,3,KG,15000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,2,NO,,JANUARY,FEBRUARY,YES,,,80,64000,1,2
34-42-58-96,0058-001-001,1,17,YES,,,YES,SUBSTITUTE IF EITHER CROP FAILS,ZAMBARAU,TRADITIONAL,7,KG,HAKUNA,,,12600,KG,7,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,2,NO,,MARCH,MARCH,YES,,,30,60000,1,2
34-42-58-96,0058-001-001,2,1,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,DK,"IMPROVED, RECYCLED",2,KG,2,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,DISEASES,NO,DESTRUCTION,,,,,,,,,,,,
34-42-58-96,0058-001-001,2,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,ZAMBARAU,TRADITIONAL,5,KG,HAKUNA,,,5,KG,14400,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,1.5,YES,INSECTS,JANUARY,FEBRUARY,YES,,,12,24000,1,2
34-42-58-96,0058-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,2,KG,8000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.7,NO,,JANUARY,FEBRUARY,YES,,,60,48000,1,2
34-42-58-96,0058-001-001,3,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ZAMBARAU,TRADITIONAL,6,KG,HAKUNA,,,6,KG,10800,JIRANI,NDANI YA KIJIJI/MJI,NO,,YES,,0.7,NO,,FEBRUARY,FEBRUARY,YES,,,45,90000,1,2
77-68-44-59,0059-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHINDI,TRADITIONAL,18,KG,18,KG,TRADITIONAL,HAKUNA,,,,,YES,ANIMALS,NO,DESTRUCTION,,,,,,,,,,,,
20-34-21-50,0062-004-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.4,NO,,MARCH,MARCH,YES,,,60,30000,1,
20-34-21-50,0062-004-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.4,NO,,MARCH,MARCH,YES,,,10,20000,1,
32-51-53-41,0066-003-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,TUMBILI,TRADITIONAL,6,KG,HAKUNA,,,6,KG,30000,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,YES,,1.2,NO,,JANUARY,FEBRUARY,YES,,,216,96000,1,
32-51-53-41,0066-003-001,1,11,NO,1/4,WAS DIVIDED,NO,,MWANAMULWA,TRADITIONAL,45,KG,HAKUNA,,,45,KG,0,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,0.75,NO,,DECEMBER,FEBRUARY,YES,,,120,40000,1,
47-27-42-34,0067-001-001,2,1,NO,1/4,WAS DIVIDED,NO,,MBEGU NDEFU,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.3,NO,,FEBRUARY,FEBRUARY,YES,,,600,300000,1,4
13-42-14-49,0067-004-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,2,KG,2000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.5,NO,,MARCH,MARCH,YES,,,108,48000,1,
13-42-14-49,0067-004-001,2,11,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MWEZI MMOJA,TRADITIONAL,2,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,YES,ANIMALS,YES,,0.2,YES,ANIMALS,MARCH,MAY,YES,,,36,12000,1,
91-76-63-44,0071-001-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,ILONGA,"IMPROVED, RECYCLED",10,KG,10,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,220,65000,1,2
28-76-80-54,0072-001-001,1,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,MBEGU KIENYEJI,TRADITIONAL,4,LARGE CUP,4,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,18,9000,1,
28-76-80-54,0072-001-001,2,1,NO,1/2,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.7,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,108,42000,1,
28-76-80-54,0072-001-001,2,18,NO,1/4,DROUGHT,YES,MORE FERTILE FOR THE SOIL,FAO,TRADITIONAL,1,KG,HAKUNA,,,1,KG,2000,SOKO,KARIBU NA KIJIJI,NO,,NO,DESTRUCTION,,,,,,,,,,,,
86-08-97-34,0073-001-001,1,1,NO,1/4,WAS DIVIDED,NO,,NDEFU,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,NO,,FEBRUARY,FEBRUARY,YES,,,54,15000,1,
64-01-68-39,0074-001-001,4,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,3000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,108,42000,1,
69-76-07-75,0077-001-001,1,1,NO,3/4,WAS DIVIDED,NO,,12,TRADITIONAL,12,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.6,NO,,FEBRUARY,MARCH,YES,,,120,36000,1,
80-60-48-21,0077-003-001,4,1,YES,,,NO,,WAHI,TRADITIONAL,15,KG,HAKUNA,,,15,KG,10000,JIRANI,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
03-09-85-87,0079-001-001,2,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,MARCH,YES,,,400,140000,1,2
78-16-68-29,0080-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3,NO,,FEBRUARY,MARCH,YES,,,800,360000,1,2
82-35-18-51,0081-001-001,1,1,NO,3/4,LACK SEEDS,NO,,NDEFU,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.75,NO,,FEBRUARY,FEBRUARY,YES,,,340,120000,1,2
08-61-34-21,0086-001-001,2,83,YES,,,NO,,ROYAL,IMPROVED,0.3,KG,HAKUNA,,,0.3,KG,32000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,OCTOBER,DECEMBER,YES,,,6000,400000,1,
11-84-02-64,0089-002-002,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,MBEGU FUPI,IMPROVED,2,KG,HAKUNA,,,2,KG,15000,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,54,30000,1,2
70-24-33-41,0096-001-001,2,1,NO,1/4,AG EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,MAHINDI ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,1.5,YES,INSECTS,JANUARY,FEBRUARY,YES,,,216,86400,1,
70-24-33-41,0096-001-001,2,18,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,KUNDE ASILI,TRADITIONAL,1,SMALL CUP,HAKUNA,,,1,SMALL CUP,500,SOKO,KARIBU NA KIJIJI,YES,INSECTS,NO,DESTRUCTION,,,,,,,,,,,,
70-24-33-41,0096-001-001,2,20,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MBAAZI NYEUPE,TRADITIONAL,1,LARGE CUP,HAKUNA,,,1,LARGE CUP,1000,SOKO,KARIBU NA KIJIJI,YES,INSECTS,NO,DESTRUCTION,,,,,,,,,,,,
07-74-53-75,0101-001-001,1,1,NO,1/4,DROUGHT,NO,,SEEDCO,"IMPROVED, RECYCLED",3.5,KG,HAKUNA,,,3.5,KG,3500,SOKO KUU,KARIBU NA KIJIJI,YES,THEFT,YES,,0.4,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,36,18000,1,
44-39-10-22,0134-001-001,1,1,YES,,,NO,,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,5,KG,3500,JIRANI,NDANI YA KIJIJI/MJI,NO,,YES,,0.7,YES,DROUGHT,APRIL,APRIL,YES,,,100,40000,1,2
44-39-10-22,0134-001-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,4,KG,HAKUNA,,,4,KG,2800,JIRANI,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.2,YES,DROUGHT,APRIL,APRIL,YES,,,60,24000,1,2
44-39-10-22,0134-001-001,3,1,YES,,,NO,,KIENYEJI,TRADITIONAL,15,KG,15,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.5,YES,DROUGHT,APRIL,APRIL,YES,,,160,112000,1,2
49-77-74-54,0136-001-001,1,1,NO,3/4,AG EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,1,YES,DROUGHT,APRIL,APRIL,YES,,,140,70000,1,2
49-77-74-54,0136-001-001,1,17,NO,3/4,AG EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,HAKUNA,,,10,KG,20000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.2,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,20,14000,1,2
49-77-74-54,0136-001-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,2,KG,1400,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,YES,,0.1,NO,,APRIL,APRIL,YES,,,20,10000,1,2
21-87-07-74,0137-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3,NO,,APRIL,APRIL,YES,,,160,80000,1,
21-87-07-74,0137-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,SOYA,TRADITIONAL,20,KG,HAKUNA,,,20,KG,40000,GULIO,NDANI YA KIJIJI/MJI,YES,THEFT,YES,,1.5,YES,CROP THEFT,FEBRUARY,MARCH,YES,,,38,57000,1,
21-87-07-74,0137-001-001,2,1,NO,1/2,"OTHER, SPECIFY",YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,7,KG,7,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,2,NO,,MARCH,APRIL,YES,,,160,80000,1,
21-87-07-74,0137-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,2,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.25,YES,INSECTS,FEBRUARY,FEBRUARY,YES,,,22,33000,1,
21-87-07-74,0137-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,3,KG,2,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,NO,OTHER (SPECIFY),,,,,,,,,,,,
21-87-07-74,0137-001-001,4,1,YES,,,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,APRIL,MAY,YES,,,50,25000,1,2
70-42-29-42,0143-001-001,1,17,NO,1/4,LACK OF TOOLS/EQUIPMENTS,NO,,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,1200,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.25,YES,INSECTS,APRIL,APRIL,YES,,,10,18000,1,
83-06-62-27,0208-004-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,KG,1,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,0.4,YES,INSECTS,DECEMBER,FEBRUARY,YES,,,120,60000,1,
83-06-62-27,0208-004-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHARAGE,TRADITIONAL,4,KG,HAKUNA,,,4,KG,8000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,YES,INSECTS,YES,,0.4,YES,INSECTS,DECEMBER,DECEMBER,YES,,,40,60000,1,
29-56-58-07,0249-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHINDI KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
29-56-58-07,0249-001-001,1,18,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KUNDE KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,HAKUNA,,,,,YES,INSECTS,NO,DESTRUCTION,,,,,,,,,,,,
73-36-66-15,0427-001-001,2,11,YES,,,NO,,NYEKUNDU,TRADITIONAL,50,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,2,NO,,NOVEMBER,DECEMBER,YES,,,250,90000,2,3
74-23-57-59,0457-001-001,1,69,YES,,,YES,MORE FERTILE FOR THE SOIL,HIGH BRIDGE,IMPROVED,100,OTHER (SPECIFY),HAKUNA,,,100,OTHER (SPECIFY),20000,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,YES,,0.5,NO,,FEBRUARY,FEBRUARY,YES,,,1050,200000,1,2
74-23-57-59,0457-001-001,1,70,YES,,,YES,MORE FERTILE FOR THE SOIL,HASIRA,IMPROVED,50,OTHER (SPECIFY),HAKUNA,,,50,OTHER (SPECIFY),15000,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,2340,780000,1,2
68-73-60-31,0491-003-001,1,17,YES,,,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,FEBRUARY,FEBRUARY,YES,,,40,40000,1,2
31-15-31-20,0499-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,25,KG,25,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
31-15-31-20,0499-001-001,2,103,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,KIENYEJI,TRADITIONAL,1000,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
31-15-31-20,0499-001-001,3,2,YES,,,NO,,KIENYEJI,TRADITIONAL,25,KG,HAKUNA,,,25,KG,16500,GULIO,KARIBU NA KIJIJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
51-60-75-13,0499-001-004,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,18,KG,18,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,2,NO,,MARCH,APRIL,YES,,,432,144000,1,2
51-60-75-13,0499-001-004,1,2,YES,,,YES,MORE FERTILE FOR THE SOIL,15,TRADITIONAL,15,KG,HAKUNA,,,15,KG,10000,JIRANI,NDANI YA KIJIJI/MJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
51-60-75-13,0499-001-004,1,28,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,FEBRUARY,APRIL,YES,,,180,72000,1,2
98-78-01-38,0499-004-002,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KILIMA,"IMPROVED, RECYCLED",2,KG,2,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
98-78-01-38,0499-004-002,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,6,LARGE CUP,6,LARGE CUP,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,NO,DESTRUCTION,,,,,,,,,,,,
98-78-01-38,0499-004-002,2,1,NO,1/4,DROUGHT,YES,MORE FERTILE FOR THE SOIL,KILOMA,"IMPROVED, RECYCLED",1,KG,1,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
98-78-01-38,0499-004-002,2,11,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,RANGI MBILI,TRADITIONAL,10,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
98-78-01-38,0499-004-002,3,11,YES,,,NO,,RANGI MBILI,TRADITIONAL,2,OTHER (SPECIFY),2,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
53-84-84-32,0557-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,8,LARGE CUP,8,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,MARCH,MARCH,YES,,,126,77000,1,
53-84-84-32,0557-001-001,3,28,YES,,,YES,MORE FERTILE FOR THE SOIL,KARANGA KAHAWIA,TRADITIONAL,3,KG,HAKUNA,,,3,KG,7000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,YES,,0.5,YES,DROUGHT,APRIL,APRIL,YES,,,30,60000,1,
34-75-80-11,0577-001-002,3,17,YES,,,NO,,NJANO,TRADITIONAL,3,20 LITER BUCKET,3,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,JUNE,JUNE,YES,,,480,480000,2,
87-24-38-48,0593-001-001,2,14,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,100,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
23-51-18-38,0593-002-001,2,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,HYBRID,"IMPROVED, RECYCLED",4,LARGE CUP,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.1,NO,,APRIL,APRIL,YES,,,36,10000,1,
23-51-18-38,0593-002-001,2,14,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAGIMBI MEUPE,TRADITIONAL,2,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
23-51-18-38,0593-002-001,2,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,6,LARGE CUP,6,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,NO,,MARCH,MARCH,YES,,,10,6000,1,
23-51-18-38,0593-002-001,3,1,YES,,,NO,,HYBRID,"IMPROVED, RECYCLED",1,20 LITER BUCKET,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.7,NO,,APRIL,MAY,YES,,,1638,455000,1,
99-53-65-08,0593-004-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBREED SEED,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,2,KG,2000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.1,YES,INSECTS,MARCH,APRIL,YES,,,40,12000,1,2
99-53-65-08,0593-004-001,1,14,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,OTHER (SPECIFY),2,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
99-53-65-08,0593-004-001,2,1,YES,,,NO,,HYBREED SEED,"IMPROVED, RECYCLED",5,KG,HAKUNA,,,5,KG,10000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,MARCH,JUNE,YES,,,360,108000,1,2
27-02-40-45,0593-005-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBREED,"IMPROVED, RECYCLED",10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.25,YES,DROUGHT,APRIL,APRIL,YES,,,80,20000,1,2
27-02-40-45,0593-005-001,1,14,NO,1/4,"OTHER, SPECIFY",YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,OTHER (SPECIFY),1,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JULY,JULY,YES,,,15,3000,1,2
27-02-40-45,0593-005-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,30,KG,30,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.25,YES,DROUGHT,MARCH,MARCH,YES,,,30,40000,1,2
27-02-40-45,0593-005-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBREED,"IMPROVED, RECYCLED",1,20 LITER BUCKET,1,20 LITER BUCKET,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,1,YES,INSECTS,MAY,MAY,YES,,,720,180000,1,2
27-02-40-45,0593-005-001,2,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,40,KG,40,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.5,YES,DROUGHT,APRIL,APRIL,YES,,,60,69000,1,2
65-21-27-08,0593-005-008,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBEED,"IMPROVED, RECYCLED",2,KG,2,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.5,NO,,MAY,JUNE,YES,,,120,33000,1,2
65-21-27-08,0593-005-008,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,5,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.25,YES,INSECTS,APRIL,MAY,YES,,,60,60000,1,2
