interview__key,sdd_hhid,cropid,ag5a_01,ag5a_02,ag5a_03,ag5a_04_1,ag5a_04_2,ag5a_05,ag5a_06,ag5a_07_1,ag5a_07_2,ag5a_08,ag5a_09_1,ag5a_09_2,ag5a_10_1,ag5a_10_2,ag5a_11a,ag5a_11_1,ag5a_11_2,ag5a_12,ag5a_13,ag5a_14_1,ag5a_14_2,ag5a_15,ag5a_16_1,ag5a_16_2,ag5a_17_1,ag5a_17_2,ag5a_18,ag5a_19,ag5a_20,ag5a_21,ag5a_22,ag5a_23,ag5a_24,ag5a_25,ag5a_26,ag5a_27,ag5a_28,ag5a_29,ag5a_30,ag5a_31,ag5a_32,ag5a_32a,ag5a_32b,ag5a_32c,ag5a_32d,ag5a_32e,ag5a_33,ag5a_34,ag5a_35,ag5a_36_1a,ag5a_36_1b,ag5a_36_2a,ag5a_36_2b
52-32-57-20,0012-001-001,3,YES,640,160000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,640,160000,AUGUST,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,1440,0,0,160,0,RESIDUE WAS LEFT IN FIELD,,,,,,
31-30-77-11,0012-003-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,320,UNPROTECTED PILE,NO,,FOOD FOR HOUSEHOLD,NO,,,,60,0,0,0,0,CROP PRODUCES NO  RESIDUE,,,,,,
18-76-19-96,0013-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,72,0,0,36,0,RESIDUE WAS LEFT IN FIELD,,,,,,
58-42-71-45,0015-001-001,1,YES,4040,1150000,M/BIASHARA BINAFSI,KARIBU NA MJI,4040,1150000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,360,UNPROTECTED PILE,NO,,TO SELL AT HIGHER PRICE,NO,,,,1680,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
58-42-71-45,0015-001-001,28,YES,1460,600000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1460,600000,JUNE,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,10,30,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
58-42-71-45,0015-001-001,69,YES,792000,150000,M/BIASHARA BINAFSI,KARIBU NA MJI,792000,150000,APRIL,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,8000,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
73-26-58-64,0016-001-002,1,YES,1260,360000,M/BIASHARA BINAFSI,KARIBU NA MJI,1260,360000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,1260,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
73-26-58-64,0016-001-002,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
56-32-76-33,0017-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,INSECTS,1,1500,295,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
39-47-88-39,0018-001-001,26,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,210,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,30,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
39-47-88-39,0018-001-001,28,YES,1395,465000,DUKANI/MCHUUZI,KARIBU NA MJI,1395,465000,JUNE,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
40-73-12-41,0020-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,216,0,0,36,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
40-73-12-41,0020-001-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
40-73-12-41,0020-001-001,28,YES,216,100000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,216,100000,SEPTEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,18,36,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
52-25-14-40,0023-001-001,1,YES,16800,6300000,M/BIASHARA BINAFSI,WILAYA NYINGINE,16800,6300000,NOVEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,240,0,0,2640,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
52-25-14-40,0023-001-001,17,YES,9000,18000000,M/BIASHARA BINAFSI,WILAYA NYINGINE,9000,18000000,DECEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,80,0,0,280,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
96-43-78-97,0024-001-001,1,YES,3132,1096200,SOKO,KARIBU NA MJI,3132,1096200,JANUARY,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,6,1,CAR,58000,YES,216,AIRTIGHT DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,216,0,0,0,0,FOR SALE,300,60000,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI
96-43-78-97,0024-001-001,17,YES,480,720000,SOKO,KARIBU NA MJI,480,720000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,6,1,MOTORCYCLE,8000,YES,40,OTHER (SPECIFY),NO,,FOOD FOR HOUSEHOLD,NO,,,,20,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
06-46-18-18,0026-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,80,0,0,0,0,MULCHED,,,,,,
27-91-28-82,0033-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,10,0,0,8,0,RESIDUE WAS LEFT IN FIELD,,,,,,
69-55-32-84,0040-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,58,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
24-75-61-52,0047-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,380,0,0,100,0,FOR GRAZING OWN ANIMALS,,,,,,
24-75-61-52,0047-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
03-68-77-59,0049-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,70,10,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
03-68-77-59,0049-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,ROTTING,3,70000,200,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
88-71-20-70,0050-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
88-71-20-70,0050-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,ROTTING,4,60000,60,0,0,10,0,FOR GRAZING OWN ANIMALS,,,,,,
88-71-20-70,0050-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,10,5,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
62-93-39-20,0051-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,12,OTHER (SPECIFY),NO,,FOOD FOR HOUSEHOLD,NO,,,,5,0,0,10,0,FOR GRAZING OWN ANIMALS,,,,,,
00-72-79-53,0055-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,18,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
16-64-27-88,0057-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,10,0,25,0,MULCHED,,,,,,
16-64-27-88,0057-001-001,17,YES,10,10000,SOKO,NDANI YA KIJIJI/MJI,10,10000,AUGUST,2018,1,2,,2,,HAPANA,,,,,,,,,,,,YES,3,1,ON FOOT,0,NO,,,,,,NO,,,,15,0,0,0,0,MULCHED,,,,,,
77-68-44-59,0059-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,594,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
44-35-85-32,0060-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-51-53-41,0066-003-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,130,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-51-53-41,0066-003-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,190,0,0,20,0,FEEDING OWN ANIMALS,,,,,,
39-00-30-36,0066-003-006,70,YES,300,120000,GULIO,KARIBU NA KIJIJI,300,120000,JULY,2018,5,1,,1,,HAPANA,,,,,,,,,,,,YES,4,5,BICYCLE,0,NO,,,,,,NO,,,,15,0,0,15,0,RESIDUE WAS LEFT IN FIELD,,,,,,
47-27-42-34,0067-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,252,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,504,40,0,86,0,RESIDUE WAS LEFT IN FIELD,,,,,,
47-27-42-34,0067-001-001,19,YES,352,720000,SOKO,WILAYA NYINGINE,352,720000,SEPTEMBER,2018,1,1,4,1,4,HAPANA,,,,,,,,,,,,YES,56,1,CAR,16000,NO,,,,,,NO,,,,30,0,0,58,0,MULCHED,,,,,,
47-27-42-34,0067-001-001,26,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,65,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
13-42-14-49,0067-004-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,180,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
81-85-31-88,0069-002-001,1,YES,324,72000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,324,72000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,20,SACKS / OPEN DRUM,NO,,SEED FOR PLANTING,NO,,,,280,20,0,24,0,RESIDUE WAS LEFT IN FIELD,,,,,,
91-76-63-44,0071-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,380,40,0,120,0,RESIDUE WAS LEFT IN FIELD,,,,,,
91-76-63-44,0071-001-001,17,YES,80,100000,GULIO,KARIBU NA KIJIJI,80,100000,JULY,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,YES,5,3,ON FOOT,0,NO,,,,,,NO,,,,20,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
28-76-80-54,0072-001-001,1,YES,216,120000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,216,120000,OCTOBER,2018,3,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,198,18,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-54-53-99,0072-003-001,1,YES,836,240000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,836,240000,AUGUST,2018,2,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,648,20,0,540,0,RESIDUE WAS LEFT IN FIELD,,,,,,
86-08-97-34,0073-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,180,35,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
09-96-03-52,0073-001-002,1,YES,60,15000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,60,15000,SEPTEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,YES,INSECTS,2,10000,230,0,0,50,0,RESIDUE WAS LEFT IN FIELD,,,,,,
64-01-68-39,0074-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,18,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
69-76-07-75,0077-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,380,50,0,8,0,RESIDUE WAS LEFT IN FIELD,,,,,,
69-76-07-75,0077-001-001,17,YES,480,720000,GULIO,KARIBU NA MJI,480,720000,OCTOBER,2018,2,2,,2,,HAPANA,,,,,,,,,,,,YES,6,2,MOTORCYCLE,10000,NO,,,,,,NO,,,,80,100,0,20,0,RESIDUE WAS LEFT IN FIELD,,,,,,
80-60-48-21,0077-003-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,144,0,0,48,0,RESIDUE WAS LEFT IN FIELD,,,,,,
80-60-48-21,0077-003-001,70,YES,600,150000,GULIO,KARIBU NA KIJIJI,600,150000,AUGUST,2018,4,2,,1,2,HAPANA,,,,,,,,,,,,YES,10,4,CAR,28000,NO,,,,,,NO,,,,40,0,0,20,0,OTHER (SPECIFY),,,,,,
77-61-09-41,0078-001-001,1,YES,108,60000,GULIO,WILAYA NYINGINE,108,60000,NOVEMBER,2018,3,1,,1,,HAPANA,,,,,,,,,,,,YES,4,3,ON FOOT,0,NO,,,,,,NO,,,,252,18,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
03-09-85-87,0079-001-001,13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,ROTTING,2,30000,40,0,0,10,0,FOR GRAZING OWN ANIMALS,,,,,,
82-35-18-51,0081-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,230,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
24-96-35-07,0081-004-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
24-96-35-07,0081-004-001,17,YES,60,75000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,60,75000,DECEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
71-57-99-29,0084-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,90,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
71-57-99-29,0084-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,0,0,40,0,MULCHED,,,,,,
71-57-99-29,0084-001-001,17,YES,40,50000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,40,50000,NOVEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,40,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
74-56-02-42,0084-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
70-36-26-23,0085-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,100,0,RESIDUE WAS LEFT IN FIELD,,,,,,
05-51-26-77,0085-003-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,18,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
07-11-78-55,0087-001-001,27,YES,1000,2600000,M/BIASHARA BINAFSI,WILAYA NYINGINE,1000,2600000,JULY,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
26-78-44-09,0087-001-002,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,0,0,MULCHED,,,,,,
74-12-78-76,0088-001-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
74-12-78-76,0088-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,30,0,0,0,0,MULCHED,,,,,,
47-53-89-65,0089-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
67-17-25-56,0089-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,90,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
67-17-25-56,0089-002-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
13-79-88-08,0090-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,240,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
13-79-88-08,0090-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
70-24-33-41,0096-001-001,1,YES,324,144000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,324,144000,SEPTEMBER,2018,3,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,540,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
88-19-63-23,0097-001-001,1,YES,3920,1176000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,3920,1176000,NOVEMBER,2018,3,1,5,1,5,HAPANA,,,,,,,,,,,,NO,,,,,YES,560,IMPROVED LOCALLY MADE STRUCTURE,YES,SMOKING,FOOD FOR HOUSEHOLD,NO,,,,150,100,0,260,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
89-69-28-73,0099-001-001,1,YES,432,120000,SOKO,KARIBU NA MJI,1,120000,SEPTEMBER,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,YES,10,2,MOTORCYCLE,8000,NO,,,,,,NO,,,,844,32,0,324,0,RESIDUE WAS LEFT IN FIELD,,,,,,
89-69-28-73,0099-001-001,18,YES,34,34000,JIRANI,NDANI YA KIJIJI/MJI,34,34000,AUGUST,2018,1,2,,2,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,11,0,0,6,0,MULCHED,,,,,,
89-69-28-73,0099-001-001,20,YES,24,12000,JIRANI,NDANI YA KIJIJI/MJI,24,12000,AUGUST,2018,1,2,,2,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,8,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
25-01-61-44,0099-001-006,1,YES,636,180000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,432,120000,SEPTEMBER,2018,2,1,,1,2,NDIYO,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,204,60000,SEPTEMBER,2018,1,1,,1,2,NO,,,,,NO,,,,,,YES,ROTTING,10,60000,324,0,50,110,0,RESIDUE WAS LEFT IN FIELD,,,,,,
25-01-61-44,0099-001-006,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,5,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
07-74-53-75,0101-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,300,0,0,50,0,RESIDUE WAS LEFT IN FIELD,,,,,,
07-74-53-75,0101-001-001,75,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,10,0,CROP PRODUCES NO  RESIDUE,,,,,,
09-18-15-86,0101-002-001,1,YES,540,125000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,540,125000,SEPTEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,1,1,MOTORCYCLE,5000,NO,,,,,,NO,,,,818,10,0,36,0,RESIDUE WAS LEFT IN FIELD,,,,,,
09-18-15-86,0101-002-001,75,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,148,0,0,424,0,MULCHED,,,,,,
16-87-89-06,0102-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,10,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
61-86-51-55,0104-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,360,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
61-86-51-55,0104-001-001,26,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-80-49-27,0104-001-006,1,YES,432,180000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,432,180000,NOVEMBER,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,594,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-80-49-27,0104-001-006,26,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
56-75-17-70,0105-001-001,1,YES,400,160000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,400,160000,OCTOBER,2018,3,1,2,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,120,40,0,40,0,FOR GRAZING OWN ANIMALS,,,,,,
03-36-44-51,0105-005-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,559,15,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
