interview__key,sdd_hhid,hh_i01,hh_i02,hh_i03,hh_i04,hh_i05,hh_i06,hh_i07_1,hh_i07_2,hh_i08,hh_i09,hh_i10,hh_i11,hh_i12,hh_i12a,hh_i12b,hh_i12c,hh_i12d_1,hh_i12d_2,hh_i12d_3,hh_i13,hh_i14,hh_i15,hh_i16,hh_i16_1,hh_i17,hh_i18,hh_i19,hh_i20,hh_i21,hh_i22,hh_i23,hh_i24_1,hh_i24_2,hh_i25,hh_i26,hh_i27,hh_i28,hh_i29,hh_i30,hh_i31,hh_i32,hh_i33,hh_i34_1,hh_i34_2,hh_i35,hh_i36
90-18-72-04,0010-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,3,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,RAINWATER COLLECTION,IN OWN DWELLING,,,,BOIL,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,35,5,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
85-64-65-42,0011-001-001,FREE,,,0,0,0,1,0,POLES AND MUD/MUD AND STONES,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,15,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
52-32-57-20,0012-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,390000,4,4,MUD BRICKS,"GRASS, LEAVES, BAMBOO",EARTH,BURIED IN COMPOUND,NO TOILET,,,,,,,,,BURIED,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,UNPROTECTED DUGWELL,ELSWHERE,2,35,5,USE A WATER FILTER,,UNPROTECTED DUGWELL,0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,125,5,USE A WATER FILTER,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
15-20-64-14,0012-001-010,RENTED,,5000,,0,0,1,0,MUD BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,7,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,TORCH,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,TUBEWELL/BOREHOLE,ELSWHERE,1,32,30,NONE,,TUBEWELL/BOREHOLE,300
31-30-77-11,0012-003-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,3,0,POLES AND MUD/MUD AND STONES,"GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,NO TOILET,,,,,,,,,OTHER (SPECIFY),FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",IN NEIGHBOR'S COMPOUND,2,30,2,USE A WATER FILTER,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,90,1,USE A WATER FILTER,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
18-76-19-96,0013-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,2,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,BURIED ELSEWHERE,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,3,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,1,25,5,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
58-42-71-45,0015-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,100000,0,0,5,7,MUD BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,LET IT STAND AND SETTLE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,45,5,LET IT STAND AND SETTLE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
89-06-03-18,0016-001-001,FREE,,,5000,0,0,1,0,"POLES (INCLUDING BAMBOO), BRANCHES, GRASS","GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,1,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN NEIGHBOR'S COMPOUND,1,1,1,LET IT STAND AND SETTLE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,1,30,5,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
73-26-58-64,0016-001-002,OWNER OCCUPIED,LETTER OR ALLOCATION FROM VILLAGE GOVT,,5000,0,0,1,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,WASHABLE DIAPERS,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,BOIL,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,4,15,5,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
56-32-76-33,0017-001-001,RENTED,,5000,,0,0,3,0,MUD ONLY,"GRASS, LEAVES, BAMBOO",EARTH,BURIED IN COMPOUND,NO TOILET,,,,,,,,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN NEIGHBOR'S COMPOUND,2,10,8,USE A WATER FILTER,,RAINWATER COLLECTION,0,NO,AVAILABILITY,PROTECTED DUGWELL,ELSWHERE,2,45,30,USE A WATER FILTER,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
82-18-18-76,0017-002-001,RENTED,,60000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,3,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1500,YES,,,,,,,,,,
39-47-88-39,0018-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,4,0,MUD BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,2,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,30,5,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
40-73-12-41,0020-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,3,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,UNPROTECTED SPRING,ELSWHERE,2,65,5,USE A WATER FILTER,,RAINWATER COLLECTION,0,YES,,,,,,,,,,
91-29-35-18,0021-001-002,OWNER OCCUPIED,OFFER OF THE RIGHT OF OCCUPANCY,,90000,150000,0,3,5,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,CART WITH SMALL TANK/DRUM,ELSWHERE,5,0,0,NONE,,CART WITH SMALL TANK/DRUM,3500,YES,,,,,,,,,,
52-25-14-40,0023-001-001,RENTED,,300000,,0,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,VIP,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,20000,YES,,,,,,,,,,
96-43-78-97,0024-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,100000,250000,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,POUR FLUSH,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO A TREATMENT PLANT,YES,NO,NO,NO,,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,ELSWHERE,1,90,20,USE A WATER FILTER,,PROTECTED DUGWELL,1000,YES,,,,,,,,,,
06-46-18-18,0026-001-001,OWNER OCCUPIED,OFFER OF THE RIGHT OF OCCUPANCY,,30000,0,200000,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT ELSEWHERE,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,CANDLE,,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,1000,YES,,,,,,,,,,
73-00-55-05,0028-001-001,OWNER OCCUPIED,OFFER OF THE RIGHT OF OCCUPANCY,,120000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,SOLAR,SOLAR PANELS,PIPED WATER,ELSWHERE,1,140,120,NONE,,PIPED WATER,1000,YES,,,,,,,,,,
38-25-71-90,0029-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,100000,0,0,3,4,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN DWELLING,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,PIPED WATER,IN NEIGHBOR'S COMPOUND,2,120,30,NONE,,PIPED WATER,5000
28-47-21-26,0030-001-001,OWNER OCCUPIED,TITLE DEED FOR LAND,,10000,40000,0,6,6,POLES AND MUD/MUD AND STONES,METAL SHEETS (GCI),EARTH,COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,3,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,LAMP OIL,,PIPED WATER,ELSWHERE,1,65,5,NONE,,PIPED WATER,0,YES,,,,,,,,,,
71-57-66-15,0031-001-001,FREE,,,90000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,YES,1,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,PIPED WATER,ELSWHERE,1,30,2,BOIL,,RAINWATER COLLECTION,0,YES,,,,,,,,,,
59-86-17-13,0032-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,10000,0,250000,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),EARTH,COLLECTED BY PRIVATE COMPANY,POUR FLUSH,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,PARAFFIN,,LAMP OIL,,PIPED WATER,ELSWHERE,1,20,5,BOIL,,PROTECTED DUGWELL,1000,YES,,,,,,,,,,
27-91-28-82,0033-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,280000,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,VIP,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,GAS,,OTHER (SPECIFY),,RAINWATER COLLECTION,IN OWN DWELLING,,,,NONE,,CART WITH SMALL TANK/DRUM,700,NO,AVAILABILITY,BOTTLED WATER,IN OWN DWELLING,,,,NONE,,CART WITH SMALL TANK/DRUM,2700
96-66-16-43,0034-001-001,OWNER OCCUPIED,SETTLEMENT PERMIT,,300000,0,0,5,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,PIPED SEWER SYSTEM,,,NO,YES,NO,YES,3,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,6000,YES,,,,,,,,,,
15-50-37-82,0036-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,60000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,PIPED WATER,ELSWHERE,1,30,1,BOIL,,PIPED WATER,0,YES,,,,,,,,,,
52-00-18-35,0038-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,40000,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,SOLAR,SOLAR PANELS,PIPED WATER,ELSWHERE,1,30,10,NONE,,PIPED WATER,0,YES,,,,,,,,,,
48-91-62-56,0039-001-001,FREE,,,20000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,YES,NO,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,CART WITH SMALL TANK/DRUM,ELSWHERE,2,10,10,BOIL,,CART WITH SMALL TANK/DRUM,5000,YES,,,,,,,,,,
69-55-32-84,0040-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,2,0,POLES AND MUD/MUD AND STONES,METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,TORCH,,TUBEWELL/BOREHOLE,IN NEIGHBOR'S COMPOUND,1,30,2,NONE,,TUBEWELL/BOREHOLE,1000,YES,,,,,,,,,,
96-09-76-36,0041-001-001,OWNER OCCUPIED,OTHER TITLE (SPECIFY),,50000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,VIP,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,3,40,20,NONE,,TUBEWELL/BOREHOLE,0,YES,,,,,,,,,,
67-96-69-36,0041-004-001,RENTED,,30000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,YES,NO,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1000,YES,,,,,,,,,,
25-80-02-40,0042-001-001,RENTED,,35000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,6,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,TANKER-TRUCK,IN OWN YARD/PLOT,,,,NONE,,TANKER-TRUCK,4200,YES,,,,,,,,,,
63-16-88-22,0042-001-002,FREE,,,30000,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,PIT LATRINE,DON'T KNOW,,NO,YES,NO,YES,6,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1000,YES,,,,,,,,,,
