interview__key,sdd_hhid,shock_id,hh_r01,hh_r02,hh_r03,hh_r04_1,hh_r04_2
20-72-78-84,0009-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
20-72-78-84,0009-001-001,SEVERE WATER SHORTAGE,NO,,,,
20-72-78-84,0009-001-001,LOSS OF LAND,NO,,,,
20-72-78-84,0009-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
20-72-78-84,0009-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
20-72-78-84,0009-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
20-72-78-84,0009-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
20-72-78-84,0009-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
20-72-78-84,0009-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
20-72-78-84,0009-001-001,OTHER (SPECIFY),NO,,,,
52-32-57-20,0012-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
52-32-57-20,0012-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
52-32-57-20,0012-001-001,LIVESTOCK DIED OR WERE STOLEN,YES,SECOND MOST SEVERE,ASSET LOSS,DID NOT DO ANYTHING,
52-32-57-20,0012-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
52-32-57-20,0012-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
52-32-57-20,0012-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
52-32-57-20,0012-001-001,LARGE RISE IN PRICE OF FOOD,YES,THIRD MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
52-32-57-20,0012-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
52-32-57-20,0012-001-001,SEVERE WATER SHORTAGE,NO,,,,
52-32-57-20,0012-001-001,LOSS OF LAND,NO,,,,
52-32-57-20,0012-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
52-32-57-20,0012-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
52-32-57-20,0012-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
52-32-57-20,0012-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
52-32-57-20,0012-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
52-32-57-20,0012-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
52-32-57-20,0012-001-001,OTHER (SPECIFY),NO,,,,
31-30-77-11,0012-003-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
31-30-77-11,0012-003-001,CROP DISEASE OR CROP PESTS,NO,,,,
31-30-77-11,0012-003-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
31-30-77-11,0012-003-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
31-30-77-11,0012-003-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
31-30-77-11,0012-003-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
31-30-77-11,0012-003-001,LARGE RISE IN PRICE OF FOOD,YES,SECOND MOST SEVERE,NEITHER,RELIED ON OWN-SAVINGS,
31-30-77-11,0012-003-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
31-30-77-11,0012-003-001,SEVERE WATER SHORTAGE,NO,,,,
31-30-77-11,0012-003-001,LOSS OF LAND,NO,,,,
31-30-77-11,0012-003-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
31-30-77-11,0012-003-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
31-30-77-11,0012-003-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
31-30-77-11,0012-003-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
31-30-77-11,0012-003-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
31-30-77-11,0012-003-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
31-30-77-11,0012-003-001,OTHER (SPECIFY),NO,,,,
18-76-19-96,0013-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
18-76-19-96,0013-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
18-76-19-96,0013-001-001,LIVESTOCK DIED OR WERE STOLEN,YES,SECOND MOST SEVERE,LOSS OF BOTH,DID NOT DO ANYTHING,
18-76-19-96,0013-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
18-76-19-96,0013-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
18-76-19-96,0013-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
18-76-19-96,0013-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
18-76-19-96,0013-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
18-76-19-96,0013-001-001,SEVERE WATER SHORTAGE,NO,,,,
18-76-19-96,0013-001-001,LOSS OF LAND,NO,,,,
18-76-19-96,0013-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
18-76-19-96,0013-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
18-76-19-96,0013-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
18-76-19-96,0013-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
18-76-19-96,0013-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
18-76-19-96,0013-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
18-76-19-96,0013-001-001,OTHER (SPECIFY),NO,,,,
58-42-71-45,0015-001-001,DROUGHT OR FLOODS,NO,,,,
58-42-71-45,0015-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
58-42-71-45,0015-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
58-42-71-45,0015-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
58-42-71-45,0015-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
58-42-71-45,0015-001-001,LARGE FALL IN SALE PRICES FOR CROPS,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
58-42-71-45,0015-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
58-42-71-45,0015-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
58-42-71-45,0015-001-001,SEVERE WATER SHORTAGE,NO,,,,
58-42-71-45,0015-001-001,LOSS OF LAND,NO,,,,
58-42-71-45,0015-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
58-42-71-45,0015-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
58-42-71-45,0015-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
58-42-71-45,0015-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
58-42-71-45,0015-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
58-42-71-45,0015-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
58-42-71-45,0015-001-001,OTHER (SPECIFY),NO,,,,
39-47-88-39,0018-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
39-47-88-39,0018-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
39-47-88-39,0018-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
39-47-88-39,0018-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
39-47-88-39,0018-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
39-47-88-39,0018-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
39-47-88-39,0018-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
39-47-88-39,0018-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
39-47-88-39,0018-001-001,SEVERE WATER SHORTAGE,NO,,,,
39-47-88-39,0018-001-001,LOSS OF LAND,NO,,,,
39-47-88-39,0018-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
39-47-88-39,0018-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
39-47-88-39,0018-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
39-47-88-39,0018-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
39-47-88-39,0018-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
39-47-88-39,0018-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
39-47-88-39,0018-001-001,OTHER (SPECIFY),NO,,,,
40-73-12-41,0020-001-001,DROUGHT OR FLOODS,NO,,,,
40-73-12-41,0020-001-001,CROP DISEASE OR CROP PESTS,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
40-73-12-41,0020-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
40-73-12-41,0020-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
40-73-12-41,0020-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
40-73-12-41,0020-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
40-73-12-41,0020-001-001,LARGE RISE IN PRICE OF FOOD,YES,SECOND MOST SEVERE,ASSET LOSS,SOLD LIVESTOCK,
40-73-12-41,0020-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
40-73-12-41,0020-001-001,SEVERE WATER SHORTAGE,NO,,,,
40-73-12-41,0020-001-001,LOSS OF LAND,NO,,,,
40-73-12-41,0020-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
40-73-12-41,0020-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
40-73-12-41,0020-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
40-73-12-41,0020-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
40-73-12-41,0020-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
40-73-12-41,0020-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
40-73-12-41,0020-001-001,OTHER (SPECIFY),NO,,,,
91-29-35-18,0021-001-002,DROUGHT OR FLOODS,NO,,,,
91-29-35-18,0021-001-002,CROP DISEASE OR CROP PESTS,NO,,,,
91-29-35-18,0021-001-002,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
91-29-35-18,0021-001-002,HOUSEHOLD BUSINESS FAILURE,NO,,,,
91-29-35-18,0021-001-002,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
91-29-35-18,0021-001-002,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
91-29-35-18,0021-001-002,LARGE RISE IN PRICE OF FOOD,NO,,,,
91-29-35-18,0021-001-002,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
91-29-35-18,0021-001-002,SEVERE WATER SHORTAGE,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
91-29-35-18,0021-001-002,LOSS OF LAND,NO,,,,
91-29-35-18,0021-001-002,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
91-29-35-18,0021-001-002,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
91-29-35-18,0021-001-002,DEATH OF OTHER FAMILY MEMBER,NO,,,,
91-29-35-18,0021-001-002,BREAK-UP OF THE HOUSEHOLD,NO,,,,
91-29-35-18,0021-001-002,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
91-29-35-18,0021-001-002,"DWELLING DAMAGED, DESTROYED",NO,,,,
91-29-35-18,0021-001-002,OTHER (SPECIFY),NO,,,,
52-25-14-40,0023-001-001,DROUGHT OR FLOODS,NO,,,,
52-25-14-40,0023-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
52-25-14-40,0023-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
52-25-14-40,0023-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
52-25-14-40,0023-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
52-25-14-40,0023-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
52-25-14-40,0023-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
52-25-14-40,0023-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
52-25-14-40,0023-001-001,SEVERE WATER SHORTAGE,NO,,,,
52-25-14-40,0023-001-001,LOSS OF LAND,NO,,,,
52-25-14-40,0023-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
52-25-14-40,0023-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
52-25-14-40,0023-001-001,DEATH OF OTHER FAMILY MEMBER,YES,MOST SEVERE,NEITHER,ENGAGED IN SPIRITUAL EFFORTS,
52-25-14-40,0023-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
52-25-14-40,0023-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
52-25-14-40,0023-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
52-25-14-40,0023-001-001,OTHER (SPECIFY),NO,,,,
73-00-55-05,0028-001-001,DROUGHT OR FLOODS,NO,,,,
73-00-55-05,0028-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
73-00-55-05,0028-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
73-00-55-05,0028-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
73-00-55-05,0028-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
73-00-55-05,0028-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
73-00-55-05,0028-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
73-00-55-05,0028-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
73-00-55-05,0028-001-001,SEVERE WATER SHORTAGE,NO,,,,
73-00-55-05,0028-001-001,LOSS OF LAND,NO,,,,
73-00-55-05,0028-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,YES,MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
73-00-55-05,0028-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
73-00-55-05,0028-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
73-00-55-05,0028-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
73-00-55-05,0028-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
73-00-55-05,0028-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
73-00-55-05,0028-001-001,OTHER (SPECIFY),NO,,,,
38-25-71-90,0029-001-001,DROUGHT OR FLOODS,NO,,,,
38-25-71-90,0029-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
38-25-71-90,0029-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
38-25-71-90,0029-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
38-25-71-90,0029-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
38-25-71-90,0029-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
38-25-71-90,0029-001-001,LARGE RISE IN PRICE OF FOOD,YES,MOST SEVERE,NEITHER,RELIED ON OWN-SAVINGS,
38-25-71-90,0029-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
38-25-71-90,0029-001-001,SEVERE WATER SHORTAGE,NO,,,,
38-25-71-90,0029-001-001,LOSS OF LAND,NO,,,,
38-25-71-90,0029-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
38-25-71-90,0029-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
38-25-71-90,0029-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
38-25-71-90,0029-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
38-25-71-90,0029-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
38-25-71-90,0029-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
38-25-71-90,0029-001-001,OTHER (SPECIFY),NO,,,,
28-47-21-26,0030-001-001,DROUGHT OR FLOODS,NO,,,,
28-47-21-26,0030-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
28-47-21-26,0030-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
28-47-21-26,0030-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
28-47-21-26,0030-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
28-47-21-26,0030-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
28-47-21-26,0030-001-001,LARGE RISE IN PRICE OF FOOD,YES,MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
28-47-21-26,0030-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
28-47-21-26,0030-001-001,SEVERE WATER SHORTAGE,NO,,,,
28-47-21-26,0030-001-001,LOSS OF LAND,NO,,,,
28-47-21-26,0030-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
28-47-21-26,0030-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
28-47-21-26,0030-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
28-47-21-26,0030-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
28-47-21-26,0030-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
28-47-21-26,0030-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
28-47-21-26,0030-001-001,OTHER (SPECIFY),NO,,,,
27-91-28-82,0033-001-001,DROUGHT OR FLOODS,NO,,,,
27-91-28-82,0033-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
27-91-28-82,0033-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
27-91-28-82,0033-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
27-91-28-82,0033-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
27-91-28-82,0033-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
27-91-28-82,0033-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
27-91-28-82,0033-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
27-91-28-82,0033-001-001,SEVERE WATER SHORTAGE,YES,MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
27-91-28-82,0033-001-001,LOSS OF LAND,NO,,,,
27-91-28-82,0033-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
27-91-28-82,0033-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
27-91-28-82,0033-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
27-91-28-82,0033-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
27-91-28-82,0033-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
27-91-28-82,0033-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
27-91-28-82,0033-001-001,OTHER (SPECIFY),NO,,,,
96-09-76-36,0041-001-001,DROUGHT OR FLOODS,NO,,,,
96-09-76-36,0041-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
96-09-76-36,0041-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
96-09-76-36,0041-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
96-09-76-36,0041-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
96-09-76-36,0041-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
96-09-76-36,0041-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
96-09-76-36,0041-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
96-09-76-36,0041-001-001,SEVERE WATER SHORTAGE,YES,MOST SEVERE,NEITHER,DID NOT DO ANYTHING,OTHER (SPECIFY)
96-09-76-36,0041-001-001,LOSS OF LAND,NO,,,,
96-09-76-36,0041-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
96-09-76-36,0041-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
96-09-76-36,0041-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
96-09-76-36,0041-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
96-09-76-36,0041-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
96-09-76-36,0041-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
96-09-76-36,0041-001-001,OTHER (SPECIFY),NO,,,,
22-43-84-51,0044-001-001,DROUGHT OR FLOODS,NO,,,,
22-43-84-51,0044-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
22-43-84-51,0044-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
22-43-84-51,0044-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
