interview__key,sdd_hhid,plotnum,cropid,ag6a_02,ag6a_03,ag6a_04,ag6a_05,ag6a_06,ag6a_06a,ag6a_07_1,ag6a_07_2,ag6a_07_3,ag6a_07_4,ag6a_08_1,ag6a_08_2,ag6a_09,ag6a_10,ag6a_11
28-76-80-54,0072-001-001,2,101,2,2016,1,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
82-54-53-99,0072-003-001,2,55,121,2014,10,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,APRIL,2019,MARCH,1,2,380,NO,
82-54-53-99,0072-003-001,2,57,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,160,NO,
86-08-97-34,0073-001-001,1,53,2,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,AUGUST,1,,28,NO,
86-08-97-34,0073-001-001,1,55,7,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MARCH,2019,AUGUST,1,,30,NO,
86-08-97-34,0073-001-001,1,56,1,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,JULY,1,,60,NO,
86-08-97-34,0073-001-001,3,55,53,2012,0,NO,,YES,2018,OCTOBER,2019,AUGUST,1,,250,NO,
64-01-68-39,0074-001-001,2,53,10,2016,3,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
64-01-68-39,0074-001-001,2,55,60,2006,20,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,2,180,NO,
64-01-68-39,0074-001-001,3,55,45,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,2,72,NO,
64-01-68-39,0074-001-001,3,56,5,2007,2,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,2,240,NO,
05-43-63-02,0075-001-003,1,55,84,2016,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,3,,180,NO,
05-43-63-02,0075-001-003,1,56,2,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2018,OCTOBER,3,,60,NO,
05-43-63-02,0075-001-003,1,57,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,JUNE,3,,120,YES,THEFT
05-43-63-02,0075-001-003,1,58,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
69-76-07-75,0077-001-001,1,53,6,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,280,YES,THEFT
69-76-07-75,0077-001-001,1,55,126,2006,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,AUGUST,1,,600,YES,THEFT
69-76-07-75,0077-001-001,1,56,5,2009,0,NO,,YES,2018,AUGUST,2019,MAY,1,,650,NO,
69-76-07-75,0077-001-001,1,57,5,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,550,NO,
69-76-07-75,0077-001-001,2,53,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,2,,170,YES,THEFT
69-76-07-75,0077-001-001,2,57,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
77-61-09-41,0078-001-001,1,55,80,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,,180,NO,
77-61-09-41,0078-001-001,1,58,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2018,DECEMBER,1,,30,YES,INSECTS
77-61-09-41,0078-001-001,1,102,1,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2018,DECEMBER,1,,60,NO,
77-61-09-41,0078-001-001,2,53,2,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,JANUARY,1,,100,NO,
03-09-85-87,0079-001-001,1,53,2,1980,0,NO,,YES,2018,FEBRUARY,2019,JANUARY,1,2,35,YES,INSECTS
03-09-85-87,0079-001-001,1,56,3,1994,0,NO,,YES,2018,SEPTEMBER,2019,MARCH,1,2,60,YES,THEFT
03-09-85-87,0079-001-001,2,53,1,1987,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2019,MARCH,1,2,60,YES,INSECTS
03-09-85-87,0079-001-001,2,55,5,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JANUARY,2019,JULY,1,2,45,NO,
03-09-85-87,0079-001-001,2,57,2,1987,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,APRIL,1,2,180,YES,BIRDS
78-16-68-29,0080-001-001,1,53,7,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,AUGUST,1,2,80,NO,
78-16-68-29,0080-001-001,1,56,4,2007,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2018,AUGUST,1,2,380,YES,THEFT
78-16-68-29,0080-001-001,4,54,4,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,JULY,1,2,25,YES,THEFT
78-16-68-29,0080-001-001,4,55,37,2007,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2019,AUGUST,1,2,275,NO,
78-16-68-29,0080-001-001,4,56,3,2007,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,JUNE,1,2,100,YES,THEFT
82-35-18-51,0081-001-001,1,55,84,2013,0,NO,,YES,2018,NOVEMBER,2019,JULY,1,2,320,NO,
82-35-18-51,0081-001-001,4,53,3,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
82-35-18-51,0081-001-001,4,56,2,2017,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
82-35-18-51,0081-001-001,4,60,2,2003,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
82-35-18-51,0081-001-001,6,55,174,1900,35,NO,,YES,2018,OCTOBER,2019,AUGUST,1,2,750,NO,
61-09-91-34,0082-001-001,1,54,2,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,MARCH,1,2,80,NO,
61-09-91-34,0082-001-001,1,55,100,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,500,NO,
61-09-91-34,0082-001-001,1,56,1,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,50,NO,
61-09-91-34,0082-001-001,1,58,4,2019,4,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
61-09-91-34,0082-001-001,1,64,2,2004,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,100,NO,
61-09-91-34,0082-001-001,1,103,18,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,50,NO,
65-72-13-93,0082-003-001,2,55,13,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,4,180,NO,
65-72-13-93,0082-003-001,4,55,30,2012,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JULY,1,4,270,NO,
69-63-97-41,0082-004-001,2,55,80,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2018,OCTOBER,1,,200,NO,
69-63-97-41,0082-004-001,4,55,2000,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2018,OCTOBER,1,,800,NO,
82-24-69-15,0083-001-001,1,53,8,1998,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,2000,NO,
82-24-69-15,0083-001-001,1,54,4,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,3,240,NO,
82-24-69-15,0083-001-001,1,55,16,2006,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,7,450,NO,
82-24-69-15,0083-001-001,1,56,8,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JUNE,2019,JUNE,1,2,300,NO,
82-24-69-15,0083-001-001,1,59,50,2017,20,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,JUNE,1,2,20,NO,
82-24-69-15,0083-001-001,2,53,7,1980,0,NO,,YES,2018,JULY,2019,JUNE,1,2,500,NO,
82-24-69-15,0083-001-001,2,54,3,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,120,NO,
82-24-69-15,0083-001-001,2,55,15,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JULY,1,2,600,NO,
82-24-69-15,0083-001-001,2,56,15,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,600,NO,
82-24-69-15,0083-001-001,2,57,3,1980,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
82-24-69-15,0083-001-001,2,59,10,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,10,NO,
71-57-99-29,0084-001-001,1,55,75,1900,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,JULY,1,2,162,NO,
71-57-99-29,0084-001-001,1,56,1,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
74-56-02-42,0084-002-001,1,54,1,2015,0,NO,,YES,2018,JULY,2019,JUNE,1,,35,NO,
74-56-02-42,0084-002-001,1,55,10,2015,0,NO,,YES,2018,JULY,2019,JUNE,1,,100,NO,
74-56-02-42,0084-002-001,1,59,5,2017,0,YES,OTHER (SPECIFY),YES,2018,JULY,2019,SEPTEMBER,1,,10,NO,
74-56-02-42,0084-002-001,2,55,15,2017,0,YES,OTHER (SPECIFY),YES,2018,JULY,2019,JUNE,1,,100,NO,
74-56-02-42,0084-002-001,2,59,15,2017,0,YES,OTHER (SPECIFY),YES,2018,JULY,2019,JUNE,1,,15,NO,
70-36-26-23,0085-001-001,1,55,120,1984,0,NO,,YES,2018,JULY,2019,JUNE,1,,1000,NO,
70-36-26-23,0085-001-001,1,56,20,1995,0,NO,,YES,2018,JULY,2019,JUNE,1,,100,NO,
05-51-26-77,0085-003-001,1,53,1,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
05-51-26-77,0085-003-001,1,55,13,2017,1,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,AUGUST,2019,JULY,1,,42,NO,
05-51-26-77,0085-003-001,1,56,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
05-51-26-77,0085-003-001,1,57,5,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
07-11-78-55,0087-001-001,1,55,3,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JUNE,2019,AUGUST,1,,15,NO,
07-11-78-55,0087-001-001,1,57,3,2018,3,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
07-11-78-55,0087-001-001,1,59,5,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2018,OCTOBER,1,,10,NO,
07-11-78-55,0087-001-001,1,60,2,2018,2,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
07-11-78-55,0087-001-001,1,64,1,2018,1,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
26-78-44-09,0087-001-002,2,53,3,1972,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,5,500,NO,
26-78-44-09,0087-001-002,2,55,20,2003,0,NO,,YES,2018,JULY,2019,JUNE,2,5,200,NO,
26-78-44-09,0087-001-002,2,56,4,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,5,50,NO,
26-78-44-09,0087-001-002,3,55,20,1998,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,5,150,NO,
74-12-78-76,0088-001-001,1,53,1,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,105,NO,
74-12-78-76,0088-001-001,1,54,2,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,25,YES,BIRDS
74-12-78-76,0088-001-001,1,55,30,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,160,NO,
74-12-78-76,0088-001-001,1,103,3,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,15,NO,
74-12-78-76,0088-001-001,2,53,4,1990,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,200,NO,
74-12-78-76,0088-001-001,3,53,2,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
74-12-78-76,0088-001-001,3,55,12,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,28,NO,
74-12-78-76,0088-001-001,4,55,20,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,2,,60,NO,
47-53-89-65,0089-001-001,1,53,2,2010,0,NO,,YES,2018,JULY,2019,JUNE,1,2,200,NO,
47-53-89-65,0089-001-001,1,55,20,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,300,NO,
47-53-89-65,0089-001-001,1,56,1,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
47-53-89-65,0089-001-001,3,59,12,2018,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,20,NO,
67-17-25-56,0089-002-001,1,55,20,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,JULY,1,5,200,NO,
67-17-25-56,0089-002-001,1,58,3,2019,2,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MARCH,2019,JUNE,1,5,15,NO,
67-17-25-56,0089-002-001,2,55,10,2014,0,NO,,YES,2018,JULY,2019,JUNE,1,5,20,NO,
13-79-88-08,0090-001-001,1,53,3,2001,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,600,NO,
13-79-88-08,0090-001-001,1,55,25,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,JUNE,1,2,240,NO,
13-79-88-08,0090-001-001,1,56,6,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,JUNE,1,2,250,NO,
43-96-03-62,0090-001-005,1,57,1,2016,0,NO,,YES,2018,DECEMBER,2019,JANUARY,1,2,2,NO,
43-96-03-62,0090-001-005,1,60,1,2016,0,NO,,NO,,,,,,,,,
43-96-03-62,0090-001-005,1,64,1,2016,1,NO,,YES,2018,JUNE,2018,OCTOBER,1,2,5,NO,
70-24-33-41,0096-001-001,3,55,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
70-24-33-41,0096-001-001,3,85,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2018,NOVEMBER,1,,15,YES,INSECTS
70-24-33-41,0096-001-001,3,102,1,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,,10,NO,
42-11-56-10,0096-002-002,2,57,1,1997,0,NO,,YES,2018,DECEMBER,2019,JANUARY,2,,60,YES,THEFT
88-19-63-23,0097-001-001,1,57,7,2017,0,NO,,NO,,,,,,,,,
93-47-38-83,0097-001-003,1,57,6,2009,0,NO,,YES,2018,DECEMBER,2019,JANUARY,1,2,70,NO,
93-47-38-83,0097-001-003,2,57,4,1900,0,NO,,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,250,NO,
93-47-38-83,0097-001-003,3,53,1,2014,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,2,20,NO,
93-47-38-83,0097-001-003,3,57,1,2014,0,NO,,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,40,NO,
89-69-28-73,0099-001-001,2,57,4,1993,0,NO,,YES,2019,FEBRUARY,2019,APRIL,1,2,1500,YES,THEFT
25-01-61-44,0099-001-006,2,57,6,1999,0,NO,,YES,2018,DECEMBER,2019,FEBRUARY,1,2,75,YES,THEFT
42-94-75-73,0099-008-001,1,55,20,2015,0,NO,,NO,,,,,,,,,
09-18-15-86,0101-002-001,2,57,2,2010,0,NO,,YES,2018,DECEMBER,2019,FEBRUARY,1,,450,YES,THEFT
61-86-51-55,0104-001-001,1,55,57,1994,0,NO,,YES,2018,SEPTEMBER,2019,SEPTEMBER,1,2,240,YES,THEFT
56-75-17-70,0105-001-001,1,57,4,2017,0,NO,,NO,,,,,,,,,
56-75-17-70,0105-001-001,2,57,1,1988,0,NO,,NO,,,,,,,,,
56-75-17-70,0105-001-001,4,60,1,2017,0,NO,,NO,,,,,,,,,
72-82-51-97,0106-001-003,3,55,15,2018,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,3,,42,NO,
72-82-51-97,0106-001-003,3,57,6,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,MARCH,3,,130,NO,
72-82-51-97,0106-001-003,3,85,1,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,3,,50,YES,ANIMALS
72-82-51-97,0106-001-003,3,88,1,1997,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,3,,300,YES,BIRDS
51-54-44-86,0108-001-001,2,57,4,2007,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,5,160,YES,THEFT
51-54-44-86,0108-001-001,2,60,1,2002,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,AUGUST,1,5,30,NO,
35-34-97-68,0108-001-002,1,55,14,2017,0,NO,,NO,,,,,,,,,
47-69-21-93,0109-001-001,2,55,2,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
