interview__key,sdd_hhid,itemcode,hh_j08
50-85-79-66,0003-001-001,H. FATS/OIL,7
50-85-79-66,0003-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
50-85-79-66,0003-001-001,J. SPICES/CONDIMENTS,7
98-30-81-51,0004-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
98-30-81-51,0004-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
98-30-81-51,0004-001-001,C. NUTS AND PULSES,4
98-30-81-51,0004-001-001,D. VEGETABLES,4
98-30-81-51,0004-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
98-30-81-51,0004-001-001,F. FRUITS,4
98-30-81-51,0004-001-001,G. MILK/MILK PRODUCTS,2
98-30-81-51,0004-001-001,H. FATS/OIL,7
98-30-81-51,0004-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
98-30-81-51,0004-001-001,J. SPICES/CONDIMENTS,7
71-75-12-39,0005-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
71-75-12-39,0005-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
71-75-12-39,0005-001-001,C. NUTS AND PULSES,5
71-75-12-39,0005-001-001,D. VEGETABLES,7
71-75-12-39,0005-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
71-75-12-39,0005-001-001,F. FRUITS,0
71-75-12-39,0005-001-001,G. MILK/MILK PRODUCTS,0
71-75-12-39,0005-001-001,H. FATS/OIL,7
71-75-12-39,0005-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
71-75-12-39,0005-001-001,J. SPICES/CONDIMENTS,7
98-53-45-06,0007-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
98-53-45-06,0007-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
98-53-45-06,0007-001-001,C. NUTS AND PULSES,7
98-53-45-06,0007-001-001,D. VEGETABLES,7
98-53-45-06,0007-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
98-53-45-06,0007-001-001,F. FRUITS,0
98-53-45-06,0007-001-001,G. MILK/MILK PRODUCTS,2
98-53-45-06,0007-001-001,H. FATS/OIL,7
98-53-45-06,0007-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
98-53-45-06,0007-001-001,J. SPICES/CONDIMENTS,7
20-72-78-84,0009-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
20-72-78-84,0009-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
20-72-78-84,0009-001-001,C. NUTS AND PULSES,2
20-72-78-84,0009-001-001,D. VEGETABLES,7
20-72-78-84,0009-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
20-72-78-84,0009-001-001,F. FRUITS,0
20-72-78-84,0009-001-001,G. MILK/MILK PRODUCTS,0
20-72-78-84,0009-001-001,H. FATS/OIL,7
20-72-78-84,0009-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
20-72-78-84,0009-001-001,J. SPICES/CONDIMENTS,7
90-18-72-04,0010-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
90-18-72-04,0010-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",6
90-18-72-04,0010-001-001,C. NUTS AND PULSES,3
90-18-72-04,0010-001-001,D. VEGETABLES,7
90-18-72-04,0010-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
90-18-72-04,0010-001-001,F. FRUITS,1
90-18-72-04,0010-001-001,G. MILK/MILK PRODUCTS,0
90-18-72-04,0010-001-001,H. FATS/OIL,7
90-18-72-04,0010-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
90-18-72-04,0010-001-001,J. SPICES/CONDIMENTS,7
85-64-65-42,0011-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
85-64-65-42,0011-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
85-64-65-42,0011-001-001,C. NUTS AND PULSES,0
85-64-65-42,0011-001-001,D. VEGETABLES,7
85-64-65-42,0011-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
85-64-65-42,0011-001-001,F. FRUITS,0
85-64-65-42,0011-001-001,G. MILK/MILK PRODUCTS,0
85-64-65-42,0011-001-001,H. FATS/OIL,7
85-64-65-42,0011-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
85-64-65-42,0011-001-001,J. SPICES/CONDIMENTS,7
52-32-57-20,0012-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
52-32-57-20,0012-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
52-32-57-20,0012-001-001,C. NUTS AND PULSES,2
52-32-57-20,0012-001-001,D. VEGETABLES,4
52-32-57-20,0012-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
52-32-57-20,0012-001-001,F. FRUITS,0
52-32-57-20,0012-001-001,G. MILK/MILK PRODUCTS,0
52-32-57-20,0012-001-001,H. FATS/OIL,0
52-32-57-20,0012-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,1
52-32-57-20,0012-001-001,J. SPICES/CONDIMENTS,7
15-20-64-14,0012-001-010,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
15-20-64-14,0012-001-010,"B. ROOTS, TUBERS, AND PLANTAINS",0
15-20-64-14,0012-001-010,C. NUTS AND PULSES,0
15-20-64-14,0012-001-010,D. VEGETABLES,7
15-20-64-14,0012-001-010,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
15-20-64-14,0012-001-010,F. FRUITS,0
15-20-64-14,0012-001-010,G. MILK/MILK PRODUCTS,0
15-20-64-14,0012-001-010,H. FATS/OIL,7
15-20-64-14,0012-001-010,I. SUGAR/SUGAR PRODUCTS/HONEY,0
15-20-64-14,0012-001-010,J. SPICES/CONDIMENTS,7
31-30-77-11,0012-003-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
31-30-77-11,0012-003-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
31-30-77-11,0012-003-001,C. NUTS AND PULSES,4
31-30-77-11,0012-003-001,D. VEGETABLES,7
31-30-77-11,0012-003-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
31-30-77-11,0012-003-001,F. FRUITS,0
31-30-77-11,0012-003-001,G. MILK/MILK PRODUCTS,0
31-30-77-11,0012-003-001,H. FATS/OIL,7
31-30-77-11,0012-003-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
31-30-77-11,0012-003-001,J. SPICES/CONDIMENTS,7
18-76-19-96,0013-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
18-76-19-96,0013-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
18-76-19-96,0013-001-001,C. NUTS AND PULSES,4
18-76-19-96,0013-001-001,D. VEGETABLES,6
18-76-19-96,0013-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
18-76-19-96,0013-001-001,F. FRUITS,0
18-76-19-96,0013-001-001,G. MILK/MILK PRODUCTS,0
18-76-19-96,0013-001-001,H. FATS/OIL,4
18-76-19-96,0013-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,3
18-76-19-96,0013-001-001,J. SPICES/CONDIMENTS,7
58-42-71-45,0015-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
58-42-71-45,0015-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
58-42-71-45,0015-001-001,C. NUTS AND PULSES,1
58-42-71-45,0015-001-001,D. VEGETABLES,7
58-42-71-45,0015-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
58-42-71-45,0015-001-001,F. FRUITS,0
58-42-71-45,0015-001-001,G. MILK/MILK PRODUCTS,0
58-42-71-45,0015-001-001,H. FATS/OIL,7
58-42-71-45,0015-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
58-42-71-45,0015-001-001,J. SPICES/CONDIMENTS,7
89-06-03-18,0016-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
89-06-03-18,0016-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
89-06-03-18,0016-001-001,C. NUTS AND PULSES,0
89-06-03-18,0016-001-001,D. VEGETABLES,7
89-06-03-18,0016-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
89-06-03-18,0016-001-001,F. FRUITS,0
89-06-03-18,0016-001-001,G. MILK/MILK PRODUCTS,0
89-06-03-18,0016-001-001,H. FATS/OIL,0
89-06-03-18,0016-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
89-06-03-18,0016-001-001,J. SPICES/CONDIMENTS,7
73-26-58-64,0016-001-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
73-26-58-64,0016-001-002,"B. ROOTS, TUBERS, AND PLANTAINS",3
73-26-58-64,0016-001-002,C. NUTS AND PULSES,0
73-26-58-64,0016-001-002,D. VEGETABLES,7
73-26-58-64,0016-001-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
73-26-58-64,0016-001-002,F. FRUITS,0
73-26-58-64,0016-001-002,G. MILK/MILK PRODUCTS,0
73-26-58-64,0016-001-002,H. FATS/OIL,7
73-26-58-64,0016-001-002,I. SUGAR/SUGAR PRODUCTS/HONEY,7
73-26-58-64,0016-001-002,J. SPICES/CONDIMENTS,7
56-32-76-33,0017-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
56-32-76-33,0017-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
56-32-76-33,0017-001-001,C. NUTS AND PULSES,4
56-32-76-33,0017-001-001,D. VEGETABLES,4
56-32-76-33,0017-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
56-32-76-33,0017-001-001,F. FRUITS,1
56-32-76-33,0017-001-001,G. MILK/MILK PRODUCTS,0
56-32-76-33,0017-001-001,H. FATS/OIL,7
56-32-76-33,0017-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
56-32-76-33,0017-001-001,J. SPICES/CONDIMENTS,7
82-18-18-76,0017-002-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
82-18-18-76,0017-002-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
82-18-18-76,0017-002-001,C. NUTS AND PULSES,4
82-18-18-76,0017-002-001,D. VEGETABLES,7
82-18-18-76,0017-002-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
82-18-18-76,0017-002-001,F. FRUITS,0
82-18-18-76,0017-002-001,G. MILK/MILK PRODUCTS,1
82-18-18-76,0017-002-001,H. FATS/OIL,7
82-18-18-76,0017-002-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
82-18-18-76,0017-002-001,J. SPICES/CONDIMENTS,7
39-47-88-39,0018-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
39-47-88-39,0018-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",1
39-47-88-39,0018-001-001,C. NUTS AND PULSES,4
39-47-88-39,0018-001-001,D. VEGETABLES,7
39-47-88-39,0018-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
39-47-88-39,0018-001-001,F. FRUITS,0
39-47-88-39,0018-001-001,G. MILK/MILK PRODUCTS,0
39-47-88-39,0018-001-001,H. FATS/OIL,7
39-47-88-39,0018-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
39-47-88-39,0018-001-001,J. SPICES/CONDIMENTS,7
40-73-12-41,0020-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
40-73-12-41,0020-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",7
40-73-12-41,0020-001-001,C. NUTS AND PULSES,4
40-73-12-41,0020-001-001,D. VEGETABLES,7
40-73-12-41,0020-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
40-73-12-41,0020-001-001,F. FRUITS,0
40-73-12-41,0020-001-001,G. MILK/MILK PRODUCTS,0
40-73-12-41,0020-001-001,H. FATS/OIL,7
40-73-12-41,0020-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
40-73-12-41,0020-001-001,J. SPICES/CONDIMENTS,7
91-29-35-18,0021-001-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
91-29-35-18,0021-001-002,"B. ROOTS, TUBERS, AND PLANTAINS",2
91-29-35-18,0021-001-002,C. NUTS AND PULSES,1
91-29-35-18,0021-001-002,D. VEGETABLES,7
91-29-35-18,0021-001-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
91-29-35-18,0021-001-002,F. FRUITS,3
91-29-35-18,0021-001-002,G. MILK/MILK PRODUCTS,1
91-29-35-18,0021-001-002,H. FATS/OIL,7
91-29-35-18,0021-001-002,I. SUGAR/SUGAR PRODUCTS/HONEY,7
91-29-35-18,0021-001-002,J. SPICES/CONDIMENTS,7
52-25-14-40,0023-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
52-25-14-40,0023-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
52-25-14-40,0023-001-001,C. NUTS AND PULSES,0
52-25-14-40,0023-001-001,D. VEGETABLES,0
52-25-14-40,0023-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
52-25-14-40,0023-001-001,F. FRUITS,0
52-25-14-40,0023-001-001,G. MILK/MILK PRODUCTS,0
52-25-14-40,0023-001-001,H. FATS/OIL,0
52-25-14-40,0023-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
52-25-14-40,0023-001-001,J. SPICES/CONDIMENTS,0
96-43-78-97,0024-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
96-43-78-97,0024-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",3
96-43-78-97,0024-001-001,C. NUTS AND PULSES,5
96-43-78-97,0024-001-001,D. VEGETABLES,7
96-43-78-97,0024-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
96-43-78-97,0024-001-001,F. FRUITS,4
96-43-78-97,0024-001-001,G. MILK/MILK PRODUCTS,2
96-43-78-97,0024-001-001,H. FATS/OIL,7
96-43-78-97,0024-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
96-43-78-97,0024-001-001,J. SPICES/CONDIMENTS,7
06-46-18-18,0026-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
06-46-18-18,0026-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
06-46-18-18,0026-001-001,C. NUTS AND PULSES,0
06-46-18-18,0026-001-001,D. VEGETABLES,0
06-46-18-18,0026-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
06-46-18-18,0026-001-001,F. FRUITS,0
06-46-18-18,0026-001-001,G. MILK/MILK PRODUCTS,0
06-46-18-18,0026-001-001,H. FATS/OIL,0
06-46-18-18,0026-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
06-46-18-18,0026-001-001,J. SPICES/CONDIMENTS,0
73-00-55-05,0028-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
73-00-55-05,0028-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",1
73-00-55-05,0028-001-001,C. NUTS AND PULSES,1
73-00-55-05,0028-001-001,D. VEGETABLES,7
73-00-55-05,0028-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
73-00-55-05,0028-001-001,F. FRUITS,7
73-00-55-05,0028-001-001,G. MILK/MILK PRODUCTS,7
73-00-55-05,0028-001-001,H. FATS/OIL,7
73-00-55-05,0028-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
73-00-55-05,0028-001-001,J. SPICES/CONDIMENTS,7
38-25-71-90,0029-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
38-25-71-90,0029-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",5
38-25-71-90,0029-001-001,C. NUTS AND PULSES,0
38-25-71-90,0029-001-001,D. VEGETABLES,7
38-25-71-90,0029-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
38-25-71-90,0029-001-001,F. FRUITS,5
38-25-71-90,0029-001-001,G. MILK/MILK PRODUCTS,3
38-25-71-90,0029-001-001,H. FATS/OIL,7
38-25-71-90,0029-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
38-25-71-90,0029-001-001,J. SPICES/CONDIMENTS,7
28-47-21-26,0030-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
28-47-21-26,0030-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
28-47-21-26,0030-001-001,C. NUTS AND PULSES,2
28-47-21-26,0030-001-001,D. VEGETABLES,7
28-47-21-26,0030-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
28-47-21-26,0030-001-001,F. FRUITS,3
28-47-21-26,0030-001-001,G. MILK/MILK PRODUCTS,7
28-47-21-26,0030-001-001,H. FATS/OIL,7
28-47-21-26,0030-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
28-47-21-26,0030-001-001,J. SPICES/CONDIMENTS,7
71-57-66-15,0031-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
71-57-66-15,0031-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
71-57-66-15,0031-001-001,C. NUTS AND PULSES,2
71-57-66-15,0031-001-001,D. VEGETABLES,7
71-57-66-15,0031-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
71-57-66-15,0031-001-001,F. FRUITS,2
71-57-66-15,0031-001-001,G. MILK/MILK PRODUCTS,7
71-57-66-15,0031-001-001,H. FATS/OIL,7
71-57-66-15,0031-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
71-57-66-15,0031-001-001,J. SPICES/CONDIMENTS,7
59-86-17-13,0032-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",6
59-86-17-13,0032-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
59-86-17-13,0032-001-001,C. NUTS AND PULSES,0
59-86-17-13,0032-001-001,D. VEGETABLES,0
59-86-17-13,0032-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
59-86-17-13,0032-001-001,F. FRUITS,6
59-86-17-13,0032-001-001,G. MILK/MILK PRODUCTS,0
59-86-17-13,0032-001-001,H. FATS/OIL,0
59-86-17-13,0032-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
59-86-17-13,0032-001-001,J. SPICES/CONDIMENTS,0
27-91-28-82,0033-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",3
27-91-28-82,0033-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
27-91-28-82,0033-001-001,C. NUTS AND PULSES,4
27-91-28-82,0033-001-001,D. VEGETABLES,0
27-91-28-82,0033-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
27-91-28-82,0033-001-001,F. FRUITS,1
27-91-28-82,0033-001-001,G. MILK/MILK PRODUCTS,0
27-91-28-82,0033-001-001,H. FATS/OIL,0
27-91-28-82,0033-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
27-91-28-82,0033-001-001,J. SPICES/CONDIMENTS,0
96-66-16-43,0034-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
96-66-16-43,0034-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
96-66-16-43,0034-001-001,C. NUTS AND PULSES,4
96-66-16-43,0034-001-001,D. VEGETABLES,7
96-66-16-43,0034-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
96-66-16-43,0034-001-001,F. FRUITS,2
96-66-16-43,0034-001-001,G. MILK/MILK PRODUCTS,0
96-66-16-43,0034-001-001,H. FATS/OIL,7
96-66-16-43,0034-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
96-66-16-43,0034-001-001,J. SPICES/CONDIMENTS,7
15-50-37-82,0036-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
15-50-37-82,0036-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
15-50-37-82,0036-001-001,C. NUTS AND PULSES,4
15-50-37-82,0036-001-001,D. VEGETABLES,7
15-50-37-82,0036-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
15-50-37-82,0036-001-001,F. FRUITS,0
15-50-37-82,0036-001-001,G. MILK/MILK PRODUCTS,0
15-50-37-82,0036-001-001,H. FATS/OIL,7
15-50-37-82,0036-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
15-50-37-82,0036-001-001,J. SPICES/CONDIMENTS,7
52-00-18-35,0038-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
52-00-18-35,0038-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
52-00-18-35,0038-001-001,C. NUTS AND PULSES,3
52-00-18-35,0038-001-001,D. VEGETABLES,7
52-00-18-35,0038-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
52-00-18-35,0038-001-001,F. FRUITS,0
52-00-18-35,0038-001-001,G. MILK/MILK PRODUCTS,0
52-00-18-35,0038-001-001,H. FATS/OIL,7
52-00-18-35,0038-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
52-00-18-35,0038-001-001,J. SPICES/CONDIMENTS,7
48-91-62-56,0039-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
48-91-62-56,0039-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
48-91-62-56,0039-001-001,C. NUTS AND PULSES,0
48-91-62-56,0039-001-001,D. VEGETABLES,7
48-91-62-56,0039-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
48-91-62-56,0039-001-001,F. FRUITS,0
48-91-62-56,0039-001-001,G. MILK/MILK PRODUCTS,0
48-91-62-56,0039-001-001,H. FATS/OIL,7
48-91-62-56,0039-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
48-91-62-56,0039-001-001,J. SPICES/CONDIMENTS,7
69-55-32-84,0040-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
69-55-32-84,0040-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
69-55-32-84,0040-001-001,C. NUTS AND PULSES,0
69-55-32-84,0040-001-001,D. VEGETABLES,7
69-55-32-84,0040-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
69-55-32-84,0040-001-001,F. FRUITS,0
69-55-32-84,0040-001-001,G. MILK/MILK PRODUCTS,0
69-55-32-84,0040-001-001,H. FATS/OIL,7
69-55-32-84,0040-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
69-55-32-84,0040-001-001,J. SPICES/CONDIMENTS,7
96-09-76-36,0041-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
96-09-76-36,0041-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
96-09-76-36,0041-001-001,C. NUTS AND PULSES,4
96-09-76-36,0041-001-001,D. VEGETABLES,7
96-09-76-36,0041-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
96-09-76-36,0041-001-001,F. FRUITS,2
96-09-76-36,0041-001-001,G. MILK/MILK PRODUCTS,2
96-09-76-36,0041-001-001,H. FATS/OIL,7
96-09-76-36,0041-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
96-09-76-36,0041-001-001,J. SPICES/CONDIMENTS,7
67-96-69-36,0041-004-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
67-96-69-36,0041-004-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
67-96-69-36,0041-004-001,C. NUTS AND PULSES,2
67-96-69-36,0041-004-001,D. VEGETABLES,7
67-96-69-36,0041-004-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
67-96-69-36,0041-004-001,F. FRUITS,6
67-96-69-36,0041-004-001,G. MILK/MILK PRODUCTS,7
