interview__key,sdd_hhid,lvstckid,lf02_01,lf02_02,lf02_03,lf02_04_1,lf02_04_2,lf02_05,lf02_06,lf02_07,lf02_08,lf02_09,lf02_10,lf02_11,lf02_12,lf02_13,lf02_14,lf02_15,lf02_16,lf02_17,lf02_18,lf02_19,lf02_20,lf02_21,lf02_22,lf02_23,lf02_24,lf02_25,lf02_26,lf02_27_1,lf02_27_2,lf02_28a,lf02_28b,lf02_29,lf02_30,lf02_31,lf02_32,lf02_33,lf02_34a,lf02_34b,lf02_35_1,lf02_35_2
04-61-05-31,0001-001-004,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,BULLS,YES,0,4,4,0,,YES,4,950000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
46-71-56-27,0001-004-001,COWS,YES,0,3,3,0,,YES,3,750000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
46-71-56-27,0001-004-001,STEERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,HEIFERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,MALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,FEMALE CALVES,YES,0,3,3,0,3,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
46-71-56-27,0001-004-001,GOATS,YES,0,5,5,0,0,YES,5,150000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
46-71-56-27,0001-004-001,SHEEP,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,PIGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,CHICKENS,YES,0,2,6,0,18,YES,2,9000,NO,,,NO,,,YES,12,48000,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
46-71-56-27,0001-004-001,DUCKS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,OTHER POULTRY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,HARE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,DOGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,OTHER,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,BULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,STEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,HEIFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,MALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,BULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,STEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,HEIFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,MALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,BULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,STEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,HEIFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,MALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,BULLS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,COWS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,STEERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,HEIFERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,MALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,FEMALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,GOATS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,SHEEP,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,CHICKENS,YES,10,42,38,0,30,NO,,,NO,,,NO,,,NO,,,NO,,,YES,15,15000,YES,5,40000,1,,MFANYA BIASHARA BINAFSI,KARIBU NA KIJIJI,YES,4,2,NONE,,,,,
71-75-12-39,0005-001-001,DUCKS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,OTHER POULTRY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,HARE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,OTHER,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,BULLS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,COWS,YES,1,1,1,0,,YES,1,250000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
98-53-45-06,0007-001-001,STEERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,HEIFERS,YES,1,1,1,0,,YES,1,200000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
98-53-45-06,0007-001-001,MALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,FEMALE CALVES,YES,1,1,1,0,1,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
98-53-45-06,0007-001-001,GOATS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,SHEEP,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,CHICKENS,YES,78,60,11,0,49,NO,,,NO,,,NO,,,YES,41,82000,NO,,,YES,6,18000,NO,,,,,,,YES,2,1,NONE,,,,,
98-53-45-06,0007-001-001,DUCKS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,OTHER POULTRY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,HARE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,OTHER,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,BULLS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,COWS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,STEERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,HEIFERS,YES,1,1,1,0,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
20-72-78-84,0009-001-001,MALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,FEMALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,GOATS,YES,6,6,5,0,0,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,YES,1,20000,1,,MFANYA BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,,,
20-72-78-84,0009-001-001,SHEEP,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,CHICKENS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,DUCKS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,OTHER POULTRY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,HARE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,OTHER,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,BULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,STEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,HEIFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,MALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,BULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,STEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,HEIFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,MALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,FEMALE CALVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,GOATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,CHICKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,DUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,OTHER POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,HARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,DOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,BULLS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,COWS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,STEERS,YES,0,2,2,0,,YES,2,200000,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
52-32-57-20,0012-001-001,HEIFERS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,MALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,FEMALE CALVES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,GOATS,YES,8,1,1,0,0,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,YES,1,40000,1,,MFANYA BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,,,
52-32-57-20,0012-001-001,SHEEP,YES,4,1,1,0,0,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
52-32-57-20,0012-001-001,PIGS,YES,0,2,,1,0,YES,2,100000,NO,,,NO,,,NO,,,NO,,,YES,1,50000,NO,,,,,,,NO,,,,,,,,
52-32-57-20,0012-001-001,CHICKENS,YES,0,4,12,0,8,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,NO,,,,,,,NO,,,,,,,,
52-32-57-20,0012-001-001,DUCKS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,OTHER POULTRY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,HARE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
