interview__key,y5_hhid,y4_hhid,indidy5,male,age,relation_head,head,father_educ,mother_educ,over_12,cur_married,household_num,rural,clusterid,region_name,district_name,satisfy_school_age,read_wri_kiswa,school_exp,never_attend_reason,start_school_age,cur_school,absent_reason,school_lyear,educ_attain,primary,secondary,university,cur_grade,cur_prim,cur_second,cur_univ,public,board,transportation,time_to_school,free_meal_school,miss_school_lasttwo,absent_reason_2w,access_textbook,homework_hour_week_fir,problem_school,problem_school_sec,psle,pass_psle,school_fee,book_mat,uniform_fee,transport_fee,extra_tuition,others,meal_cost,eduction_expendit_12m,adult_literacy_prog
90-92-88-29,1003-001-01,1003-001,2,0,41,SON/DAUGHTER,0,0,,1,0,1003,1,20203304004,arusha,meru,1,0,1,,7,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
90-92-88-29,1003-001-01,1003-001,3,1,22,SON/DAUGHTER,0,0,,1,0,1003,1,20203304004,arusha,meru,1,1,1,,7,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
16-34-22-80,1005-001-01,1005-001,1,1,44,head,1,0,0,1,1,1005,1,20203304004,arusha,meru,1,1,1,,11,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,,0
16-34-22-80,1005-001-01,1005-001,2,0,35,spouse,0,1,0,1,1,1005,1,20203304004,arusha,meru,1,1,1,,9,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
16-34-22-80,1005-001-01,1005-001,3,1,12,SON/DAUGHTER,0,,,1,0,1005,1,20203304004,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,0,0,0,60,0,no,,1,6,0,,,,150000,50000,31000,none,none,none,50000,,
16-34-22-80,1005-001-01,1005-001,4,0,10,SON/DAUGHTER,0,,,0,,1005,1,20203304004,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,3,1,,,,none,none,25000,none,none,4000,22000,,
16-34-22-80,1005-001-01,1005-001,5,1,6,SON/DAUGHTER,0,,,0,,1005,1,20203304004,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,3,1,,,,none,5000,20000,none,none,4000,22000,,
16-34-22-80,1005-001-01,1005-001,6,1,3,SON/DAUGHTER,0,,,0,,1005,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66-03-93-27,1006-001-01,1006-001,1,1,59,head,1,1,0,1,1,1006,1,20203304004,arusha,meru,1,1,1,,13,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
66-03-93-27,1006-001-01,1006-001,2,0,52,spouse,0,1,0,1,1,1006,1,20203304004,arusha,meru,1,1,1,,10,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
66-03-93-27,1006-001-01,1006-001,6,1,16,SON/DAUGHTER,0,,,1,0,1006,1,20203304004,arusha,meru,1,1,1,,8,1,,,,,,,Secondary,0,1,0,1,0,1,20,0,no,,1,6,0,,1,1,,,,,,,,200000,0
66-03-93-27,1006-001-01,1006-001,7,0,14,SON/DAUGHTER,0,,,1,0,1006,1,20203304004,arusha,meru,1,1,1,,7,1,,,,,,,Secondary,0,1,0,1,0,1,20,0,no,,1,7,0,,1,1,,,,,,,,300000,0
71-71-16-36,1006-001-03,1006-001,1,1,31,head,1,,,1,1,1006,1,20203304004,arusha,ARUSHA URBAN,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,0
71-71-16-36,1006-001-03,1006-001,2,0,27,spouse,0,1,1,1,1,1006,1,20203304004,arusha,ARUSHA URBAN,1,1,1,,9,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
71-71-16-36,1006-001-03,1006-001,3,1,3,SON/DAUGHTER,0,,,0,,1006,1,20203304004,arusha,ARUSHA URBAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-03-21-31,1006-001-04,1006-001,1,1,28,head,1,1,1,1,0,1006,1,20203304004,arusha,meru,1,1,1,,8,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
93-03-21-31,1006-001-04,1006-001,2,0,25,spouse,0,,1,1,0,1006,1,20203304004,arusha,meru,1,1,1,,6,0,marriage,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
93-03-21-31,1006-001-04,1006-001,3,1,6,SON/DAUGHTER,0,,,0,,1006,1,20203304004,arusha,meru,1,1,1,,6,1,,,,,,,Primary,1,0,0,1,0,0,60,0,no,,0,none,0,,,,,,,,,,,65000,
93-03-21-31,1006-001-04,1006-001,4,0,1,SON/DAUGHTER,0,,,0,,1006,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-95-83-64,1006-001-05,1006-001,1,1,42,head,1,0,,1,1,1006,1,20203304004,arusha,meru,1,1,1,,6,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
64-95-83-64,1006-001-05,1006-001,2,0,26,spouse,0,1,1,1,1,1006,1,20203304004,arusha,meru,1,1,1,,7,0,marriage,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
64-95-83-64,1006-001-05,1006-001,3,1,2,SON/DAUGHTER,0,,,0,,1006,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-26-09-51,1007-001-01,1007-001,1,1,29,head,1,,,1,1,1007,1,20203304004,arusha,meru,1,1,1,,5,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
54-26-09-51,1007-001-01,1007-001,2,0,28,spouse,0,1,1,1,1,1007,1,20203304004,arusha,meru,1,1,1,,7,0,CARING FOR THE SICK/CHILDREN,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
54-26-09-51,1007-001-01,1007-001,3,0,7,SON/DAUGHTER,0,,,0,,1007,1,20203304004,arusha,meru,1,1,1,,5,1,,,,,,,Primary,1,0,0,1,0,0,60,0,no,,1,none,0,,,,,,,,,,,100000,
54-26-09-51,1007-001-01,1007-001,4,0,4,SON/DAUGHTER,0,,,0,,1007,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-26-09-51,1007-001-01,1007-001,5,1,2,SON/DAUGHTER,0,,,0,,1007,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-42-46-84,1009-001-01,1009-001,1,1,42,head,1,1,1,1,1,1009,1,20203304004,arusha,meru,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
91-42-46-84,1009-001-01,1009-001,2,0,32,spouse,0,,1,1,1,1009,1,20203304004,arusha,meru,1,1,1,,7,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
91-42-46-84,1009-001-01,1009-001,3,1,11,SON/DAUGHTER,0,,,0,,1009,1,20203304004,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,0,1,,,0,yes,SCHOOL CLOSED IN BREAK,1,10,0,,,,1200000,10000,70000,none,none,30000,none,,
91-42-46-84,1009-001-01,1009-001,4,0,6,SON/DAUGHTER,0,,,0,,1009,1,20203304004,arusha,meru,1,0,1,,4,1,,,,,,,Others,0,0,0,0,1,,,0,yes,SCHOOL CLOSED IN BREAK,1,none,0,,,,1200000,10000,70000,none,none,30000,none,,
34-08-29-97,1019-001-01,1019-001,1,0,37,head,1,1,1,1,0,1019,0,20210303304,arusha,meru,1,1,1,,9,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
34-08-29-97,1019-001-01,1019-001,2,0,16,SON/DAUGHTER,0,1,,1,0,1019,0,20210303304,arusha,meru,1,1,1,,6,1,,,,,,,Secondary,0,1,0,1,0,0,45,1,no,,1,none,1,INADEQUATE TEACHERS,1,1,none,64700,69000,none,none,20000,100000,,0
34-08-29-97,1019-001-01,1019-001,3,0,3,SON/DAUGHTER,0,1,,0,,1019,0,20210303304,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-94-08-50,1020-001-01,1020-001,1,1,45,head,1,1,0,1,1,1020,0,20210303304,arusha,meru,1,1,1,,12,0,FINANCIAL CONSTRAINTS,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
25-94-08-50,1020-001-01,1020-001,2,0,36,spouse,0,1,1,1,1,1020,0,20210303304,arusha,meru,1,1,1,,8,0,marriage,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
25-94-08-50,1020-001-01,1020-001,3,1,7,SON/DAUGHTER,0,,,0,,1020,0,20210303304,arusha,meru,1,1,1,,6,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,none,1,,,,none,20000,36000,none,none,10000,27000,,
42-43-09-21,1021-001-01,1021-001,1,1,33,head,1,1,1,1,0,1021,0,20210303304,arusha,meru,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
88-63-59-87,1022-001-01,1022-001,1,1,40,head,1,1,1,1,1,1022,0,20210303304,arusha,meru,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
88-63-59-87,1022-001-01,1022-001,2,0,34,spouse,0,1,1,1,1,1022,0,20210303304,arusha,meru,1,1,1,,7,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
88-63-59-87,1022-001-01,1022-001,3,1,14,SON/DAUGHTER,0,,,1,0,1022,0,20210303304,arusha,meru,1,1,1,,7,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,1,0,,1,1,,,,,,,,100000,0
88-63-59-87,1022-001-01,1022-001,4,0,11,SON/DAUGHTER,0,,,0,,1022,0,20210303304,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,1,0,0,60,0,no,,1,1,0,,,,,,,,,,,none,
88-63-59-87,1022-001-01,1022-001,5,1,4,SON/DAUGHTER,0,,,0,,1022,0,20210303304,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-63-59-87,1022-001-01,1022-001,6,1,0,SON/DAUGHTER,0,,,0,,1022,0,20210303304,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-34-56-15,1023-001-01,1023-001,1,1,34,head,1,,,1,1,1023,0,20210303304,arusha,meru,1,1,1,,8,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,,0
67-34-56-15,1023-001-01,1023-001,2,0,29,spouse,0,,,1,1,1023,0,20210303304,arusha,meru,1,1,1,,9,0,marriage,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
67-34-56-15,1023-001-01,1023-001,3,0,6,SON/DAUGHTER,0,,,0,,1023,0,20210303304,arusha,meru,1,1,1,,4,1,,,,,,,Others,0,0,0,0,0,0,30,1,no,,1,none,1,,,,,,,,,,,276000,
67-34-56-15,1023-001-01,1023-001,4,1,3,SON/DAUGHTER,0,,,0,,1023,0,20210303304,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-09-84-51,1024-001-01,1024-001,1,1,36,head,1,1,1,1,1,1024,0,20210303304,shinyanga,KAHAMA TOWN,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,University,0,0,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
61-09-84-51,1024-001-01,1024-001,2,0,28,spouse,0,1,1,1,1,1024,0,20210303304,shinyanga,KAHAMA TOWN,1,1,1,,6,0,TO WORK/LOOKING FOR WORK,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
61-09-84-51,1024-001-01,1024-001,3,0,2,SON/DAUGHTER,0,,,0,,1024,0,20210303304,shinyanga,KAHAMA TOWN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-38-79-42,1025-001-02,1025-001,2,0,43,head,1,1,0,1,0,1025,0,20210303304,arusha,meru,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
36-53-30-05,1038-001-02,1038-001,2,0,33,head,1,1,1,1,0,1038,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,8,0,TO WORK/LOOKING FOR WORK,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
36-53-30-05,1038-001-02,1038-001,3,1,14,SON/DAUGHTER,0,1,,1,0,1038,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,6,1,,,,,,,Secondary,0,1,0,1,0,0,30,0,no,,1,1,0,,1,1,,,,,,,,250000,0
36-53-30-05,1038-001-02,1038-001,4,1,11,SON/DAUGHTER,0,1,,0,,1038,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,6,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,1,0,,,,,,,,,,,100000,
36-53-30-05,1038-001-02,1038-001,5,0,8,SON/DAUGHTER,0,1,,0,,1038,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,6,1,,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,none,0,,,,,,,,,,,60000,
06-31-99-33,1039-001-01,1039-001,1,1,38,head,1,1,1,1,1,1039,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
06-31-99-33,1039-001-01,1039-001,2,0,40,spouse,0,1,1,1,1,1039,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,8,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
06-31-99-33,1039-001-01,1039-001,3,1,14,SON/DAUGHTER,0,,,1,0,1039,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,OTHER (SPECIFY),1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,48000,0
06-31-99-33,1039-001-01,1039-001,4,1,7,SON/DAUGHTER,0,,,0,,1039,0,20318204003,arusha,ARUSHA URBAN,1,0,0,TOO YOUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-31-99-33,1039-001-01,1039-001,5,1,15,OTHER RELATIVE (SPECIFY),0,,,1,0,1039,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,1,,,,,,,Secondary,0,1,0,1,0,0,30,0,no,,1,5,0,,1,1,,,,,,,,75000,0
98-68-74-00,1041-001-01,1041-001,1,1,76,head,1,1,0,1,0,1041,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,9,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
86-53-32-92,1042-001-01,1042-001,1,1,35,head,1,1,1,1,0,1042,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,8,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
86-53-32-92,1042-001-01,1042-001,3,0,29,spouse,0,1,1,1,0,1042,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,marriage,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
86-53-32-92,1042-001-01,1042-001,4,1,3,SON/DAUGHTER,0,,,0,,1042,0,20318204003,arusha,ARUSHA URBAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-59-99-49,1042-001-02,1042-001,1,0,27,head,1,1,1,1,0,1042,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,5,0,FINANCIAL CONSTRAINTS,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
68-38-43-94,1043-001-01,1043-001,1,1,44,head,1,,,1,1,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,14,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,0
68-38-43-94,1043-001-01,1043-001,2,0,44,spouse,0,0,0,1,1,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,8,0,TO WORK/LOOKING FOR WORK,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
68-38-43-94,1043-001-01,1043-001,3,0,20,SON/DAUGHTER,0,,,1,0,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
68-38-43-94,1043-001-01,1043-001,4,0,18,SON/DAUGHTER,0,,,1,0,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,1,,,,,,,Secondary,0,1,0,0,1,,,1,yes,SCHOOL CLOSED IN BREAK,1,none,0,,1,1,,,,,,,,2300000,0
68-38-43-94,1043-001-01,1043-001,5,1,10,SON/DAUGHTER,0,,,0,,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,1,,,,,,,Primary,1,0,0,0,0,1,20,1,no,,1,none,0,,,,,,,,,,,1800000,
68-38-43-94,1043-001-01,1043-001,6,1,9,SON/DAUGHTER,0,,,0,,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,1,,,,,,,Primary,1,0,0,0,0,1,20,1,no,,1,none,0,,,,,,,,,,,1800000,
68-38-43-94,1043-001-01,1043-001,10,0,5,SON/DAUGHTER,0,,,0,,1043,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,5,1,,,,,,,Others,0,0,0,0,0,1,20,1,no,,1,none,0,,,,,,,,,,,1200000,
68-38-43-94,1043-001-01,1043-001,11,0,3,SON/DAUGHTER,0,,,0,,1043,0,20318204003,arusha,ARUSHA URBAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-52-11-49,1044-001-01,1044-001,1,1,47,head,1,1,1,1,0,1044,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
51-52-11-49,1044-001-01,1044-001,4,0,15,SON/DAUGHTER,0,,1,1,0,1044,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,6,1,,,,,,,Secondary,0,1,0,1,1,,,0,no,,1,none,0,,1,1,,,,,,,,600000,0
51-52-11-49,1044-001-01,1044-001,5,1,13,SON/DAUGHTER,0,,1,1,0,1044,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,5,0,satisfied,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,
36-76-76-33,1045-001-01,1045-001,1,1,57,head,1,0,0,1,1,1045,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,7,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
36-76-76-33,1045-001-01,1045-001,2,1,35,OTHER NON- RELATIVES (SPECIFY),0,1,0,1,0,1045,0,20318204003,arusha,ARUSHA URBAN,1,1,1,,5,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
68-51-31-95,1058-001-01,1058-001,1,1,33,head,1,1,0,1,1,1058,1,20406105001,katavi,mpimbwe,1,1,1,,9,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
68-51-31-95,1058-001-01,1058-001,2,0,30,spouse,0,1,0,1,1,1058,1,20406105001,katavi,mpimbwe,1,1,1,,7,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
68-51-31-95,1058-001-01,1058-001,3,1,7,SON/DAUGHTER,0,,,0,,1058,1,20406105001,katavi,mpimbwe,1,1,1,,6,1,,,,,,,Primary,1,0,0,1,0,0,30,0,yes,SCHOOL CLOSED IN BREAK,1,none,1,INADEQUATE TEACHERS,,,none,8500,15000,none,none,none,none,,
