interview__key,sdd_hhid,sdd_indid,hh_c01,hh_c01_1,hh_c01_2,hh_c02,hh_c03,hh_c03_1,hh_c04,hh_c05,hh_c05a,hh_c06,hh_c07,hh_c08,hh_c09,hh_c10,hh_c11,hh_c12,hh_c13,hh_c14,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19,hh_c20_1,hh_c20_2,hh_c21_1,hh_c21_2,hh_c22,hh_c23,hh_c24,hh_c25,hh_c26,hh_c27,hh_c28_0,hh_c28_1,hh_c28_2,hh_c28_3,hh_c28_4,hh_c28_5,hh_c28_6,hh_c28_7,hh_c28_8,hh_c29,hh_c30,hh_c01_3
71-75-12-39,0005-001-001,1,YES,YES,,NO,YES,,8,NO,SICKNESS,NO,D4,DON'T KNOW,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WATU WAZIMA WALIOCHANGANYIKA JINSI NA WATOTO
71-75-12-39,0005-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1998,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WATU WAZIMA WALIOCHANGANYIKA JINSI NA WATOTO
71-75-12-39,0005-001-001,3,YES,YES,,KISWAHILI & ENGLISH,YES,,7,YES,,,,,F2,F1,YES,CENTRAL GOVERNMENT,NO,BY BIKE,60,NO,NO,,SOME OWNED BY HOUSEHOLD,2,30,INADEQUATE TEACHERS,,YES,PASS,,,,,BREAKDOWN,NONE,40000,69000,NONE,35000,NONE,NONE,,NEVER ATTENDED,,UWEPO WA WANAUME
71-75-12-39,0005-001-001,4,YES,YES,,KISWAHILI,YES,,7,YES,,,,,D6,D5,YES,CENTRAL GOVERNMENT,NO,ON FOOT,7,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",NONE,NONE,NO PROBLEMS (SATISFIED),INADEQUATE TEACHERS,NO,,,,,,BREAKDOWN,NONE,4500,28000,NONE,NONE,1200,NONE,,NEVER ATTENDED,,UWEPO WA WATU WAZIMA WALIOCHANGANYIKA JINSI NA WATOTO
71-75-12-39,0005-001-001,5,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D3,D2,YES,CENTRAL GOVERNMENT,NO,ON FOOT,7,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,3500,13000,NONE,NONE,1200,36000,,NEVER ATTENDED,,
71-75-12-39,0005-001-001,7,YES,NO,2,NO,NO,TOO YOUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,
98-53-45-06,0007-001-001,1,YES,NO,2,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,
98-53-45-06,0007-001-001,2,YES,YES,,KISWAHILI,YES,,9,NO,MARITAL OBLIGATION,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
98-53-45-06,0007-001-001,3,YES,NO,2,KISWAHILI,YES,,7,NO,OTHER (SPECIFY),YES,,,,D6,NO,,,,,,,,,,,,,YES,DON'T KNOW,,,,,TOTAL,,,,,,,,45500,NEVER ATTENDED,,
98-53-45-06,0007-001-001,4,YES,NO,2,KISWAHILI,YES,,9,YES,,,,,D3,D2,YES,LOCAL GOVERNMENT,NO,ON FOOT,75,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,10,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,6000,22500,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
98-53-45-06,0007-001-001,5,YES,NO,2,KISWAHILI,YES,,6,YES,,,,,D3,D2,YES,LOCAL GOVERNMENT,NO,ON FOOT,75,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,8,30,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,5600,19000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
98-53-45-06,0007-001-001,6,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,1,YES,NO,2,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,
20-72-78-84,0009-001-001,2,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
20-72-78-84,0009-001-001,3,YES,NO,2,KISWAHILI,YES,,7,NO,SICKNESS,NO,D6,DON'T KNOW,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
20-72-78-84,0009-001-001,4,YES,NO,2,KISWAHILI,YES,,7,NO,SICKNESS,NO,D6,DON'T KNOW,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
20-72-78-84,0009-001-001,5,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D5,D4,YES,CENTRAL GOVERNMENT,NO,ON FOOT,30,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,INADEQUATE BOOKS/TOOLS,,NO,,,,,,TOTAL,,,,,,,,30000,NEVER ATTENDED,,
90-18-72-04,0010-001-001,1,YES,YES,,KISWAHILI,YES,,8,NO,JOB/WORK,NO,D7,1985,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
90-18-72-04,0010-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,1986,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-64-65-42,0011-001-001,1,YES,YES,,KISWAHILI,YES,,10,NO,DOMESTIC OBLIGATION,NO,D7,2009,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-64-65-42,0011-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,DOMESTIC OBLIGATION,NO,D7,2014,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
52-32-57-20,0012-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,MARITAL OBLIGATION,NO,D7,1983,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAWAKE
52-32-57-20,0012-001-001,2,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAUME
52-32-57-20,0012-001-001,3,YES,YES,,NO,NO,DOES NOT HAVE INTEREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAUME
52-32-57-20,0012-001-001,4,YES,YES,,NO,NO,TOO FAR AWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAUME
52-32-57-20,0012-001-001,8,YES,NO,1,KISWAHILI,YES,,6,YES,,,,,D4,D3,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",1,30,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,15000,35000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
52-32-57-20,0012-001-001,9,YES,NO,1,NO,YES,,7,YES,,,,,D1,PP,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,4500,25000,NONE,NONE,10000,NONE,,NEVER ATTENDED,,
52-32-57-20,0012-001-001,11,YES,NO,2,NO,YES,,6,YES,,,,,D1,PP,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,3500,30000,NONE,NONE,10000,NONE,,NEVER ATTENDED,,
52-32-57-20,0012-001-001,12,YES,NO,3,KISWAHILI,YES,,8,NO,LACK OF MONEY,NO,D6,2010,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
52-32-57-20,0012-001-001,13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,1,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
31-30-77-11,0012-003-001,1,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
31-30-77-11,0012-003-001,2,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
31-30-77-11,0012-003-001,3,YES,NO,1,NO,YES,,6,NO,OTHER (SPECIFY),NO,PP,2019,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
31-30-77-11,0012-003-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,1,YES,YES,,NO,YES,,12,NO,TOO OLD TO ATTEND,NO,D4,1961,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-42-71-45,0015-001-001,1,YES,YES,,KISWAHILI,YES,,11,NO,JOB/WORK,NO,D7,1991,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-42-71-45,0015-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,1994,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-42-71-45,0015-001-001,3,YES,NO,2,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,DON'T KNOW,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
58-42-71-45,0015-001-001,4,YES,NO,2,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,DON'T KNOW,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
58-42-71-45,0015-001-001,5,YES,NO,2,KISWAHILI & ENGLISH,YES,,7,YES,,,,,F3,F2,YES,PRIVATE ORG,YES,,,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,7,NONE,NO PROBLEMS (SATISFIED),,YES,PASS,,,,,TOTAL,,,,,,,,2050000,NEVER ATTENDED,,
58-42-71-45,0015-001-001,6,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D5,D4,YES,CENTRAL GOVERNMENT,NO,ON FOOT,15,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,4,NONE,INADEQUATE BOOKS/TOOLS,,NO,,,,,,TOTAL,,,,,,,,45000,NEVER ATTENDED,,
58-42-71-45,0015-001-001,7,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D1,PP,YES,CENTRAL GOVERNMENT,NO,ON FOOT,15,NO,NO,,NO TEXTBOOKS USED,NONE,NONE,INADEQUATE BOOKS/TOOLS,,NO,,,,,,TOTAL,,,,,,,,35000,NEVER ATTENDED,,
58-42-71-45,0015-001-001,8,YES,YES,,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,2013,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-42-71-45,0015-001-001,9,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,1,YES,YES,,KISWAHILI,YES,,12,NO,TOO OLD TO ATTEND,NO,D6,DON'T KNOW,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
73-26-58-64,0016-001-002,1,YES,YES,,KISWAHILI,NO,LACK OF MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
73-26-58-64,0016-001-002,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,4,YES,NO,1,NO,NO,LACK OF MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,
73-26-58-64,0016-001-002,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,1,YES,YES,,KISWAHILI,YES,,8,NO,DOMESTIC OBLIGATION,NO,D7,2005,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
56-32-76-33,0017-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,DOMESTIC OBLIGATION,NO,D7,2005,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
56-32-76-33,0017-001-001,3,YES,NO,2,NO,YES,,6,YES,,,,,D1,PP,YES,LOCAL GOVERNMENT,NO,ON FOOT,20,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,POOR TEACHING,INADEQUATE TEACHERS,NO,,,,,,BREAKDOWN,NONE,2500,12000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
56-32-76-33,0017-001-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,1,YES,YES,,KISWAHILI,YES,,8,NO,DOMESTIC OBLIGATION,NO,D7,2006,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
82-18-18-76,0017-002-001,3,YES,YES,,KISWAHILI,YES,,9,NO,DOMESTIC OBLIGATION,NO,D7,2001,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
82-18-18-76,0017-002-001,4,YES,NO,1,KISWAHILI,YES,,9,YES,,,,,D3,D2,YES,LOCAL GOVERNMENT,NO,ON FOOT,20,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,3000,15000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
82-18-18-76,0017-002-001,5,YES,NO,1,NO,NO,SEPARATION OF PARENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,
39-47-88-39,0018-001-001,1,YES,YES,,KISWAHILI,YES,,8,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1993,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
39-47-88-39,0018-001-001,2,YES,YES,,KISWAHILI,YES,,6,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1999,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
39-47-88-39,0018-001-001,3,YES,NO,1,KISWAHILI,YES,,6,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,2016,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
39-47-88-39,0018-001-001,5,YES,NO,1,KISWAHILI,YES,,7,YES,,,,,D5,D4,YES,CENTRAL GOVERNMENT,NO,ON FOOT,15,NO,YES,SCHOOL CLOSED (IN BREAK),"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",NONE,NONE,INADEQUATE BOOKS/TOOLS,OVERCROWDED CLASSROOMS,NO,,,,,,BREAKDOWN,NONE,12000,NONE,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
39-47-88-39,0018-001-001,6,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D2,D1,YES,CENTRAL GOVERNMENT,NO,ON FOOT,15,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,2000,NONE,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
39-47-88-39,0018-001-001,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,1,YES,YES,,NO,NO,DOES NOT HAVE INTEREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
40-73-12-41,0020-001-001,2,YES,YES,,NO,NO,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAUME
40-73-12-41,0020-001-001,3,YES,YES,,NO,NO,ILLNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WATU WAZIMA MCHANGANYIKO WA JINSI
40-73-12-41,0020-001-001,4,YES,YES,,KISWAHILI,YES,,6,YES,,,,,D6,D5,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",1,NONE,TOO EXPENSIVE,,NO,,,,,,BREAKDOWN,NONE,24000,20000,NONE,NONE,10000,NONE,,NEVER ATTENDED,,UWEPO WA WATU WAZIMA MCHANGANYIKO WA JINSI
40-73-12-41,0020-001-001,5,YES,NO,2,NO,YES,,7,YES,,,,,D1,PP,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,7500,15000,NONE,NONE,5000,NONE,,NEVER ATTENDED,,
40-73-12-41,0020-001-001,6,YES,NO,2,NO,YES,,7,YES,,,,,PP,NOT YET STARTED,YES,CENTRAL GOVERNMENT,NO,ON FOOT,60,NO,NO,,NO TEXTBOOKS USED,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,6000,NEVER ATTENDED,,
40-73-12-41,0020-001-001,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,YES,YES,,KISWAHILI & ENGLISH,YES,,9,NO,DOMESTIC OBLIGATION,NO,F4,2010,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2010,NOT FOUND,FAIL,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
91-29-35-18,0021-001-002,3,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,DOMESTIC OBLIGATION,NO,F4,2012,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2012,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
91-29-35-18,0021-001-002,4,YES,NO,2,KISWAHILI & ENGLISH,YES,,7,YES,,,,,F2,F1,YES,CENTRAL GOVERNMENT,NO,ON FOOT,20,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,14,NONE,NO PROBLEMS (SATISFIED),,YES,PASS,,,,,TOTAL,,,,,,,,45000,NEVER ATTENDED,,
91-29-35-18,0021-001-002,5,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,DOMESTIC OBLIGATION,NO,F4,2010,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2010,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
91-29-35-18,0021-001-002,6,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,1,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,YES,,,,U5&+,NO,,,,,,,,,,,,,YES,PASS,,,,,TOTAL,,,,,,,,NONE,NEVER ATTENDED,,PEKE YAKE
52-25-14-40,0023-001-001,2,YES,NO,1,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,U5&+,2010,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 6",2006,NOT FOUND,DIVISION 2,,,,,,,,,,NEVER ATTENDED,,
